RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_MODIFICA_LA resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_modifica_la NP00000 1
párrafo párrafo NCMS000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
Vigésimo_Transitorio_de_la_Ley_Federal_de_Telecomunicaciones vigésimo_transitorio_de_la_ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
para para SP 0.999834
establecer establecer VMN0000 1
que que CS 0.449861
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
interconexión interconexión NCFS000 1
determinadas determinar VMP00PF 1
en en SP 1
la el DA0FS0 0.98926
resolución resolución NCFS000 1
de de SP 0.999961
desacuerdo desacuerdo NCMS000 0.97619
reclamada reclamar VMP00SF 1
en en SP 1
el el DA0MS0 1
presente presente AQ0CS00 0.524254
juicio juicio NCMS000 1
sólo sólo RG 1
pueden poder VMIP3P0 1
tener tener VMN0000 1
efectos efecto NCMP000 1
a_partir_de a_partir_de SP 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
emitió emitir VMIS3S0 1
dicha decir VMP00SF 0.819767
resolución resolución NCFS000 1
. . Fp 1

Sobre sobre SP 0.997804
el el DA0MS0 1
particular particular NCCS000 0.172131
, , Fc 1
el el DA0MS0 1
Alto_Tribunal alto_tribunal NP00000 1
, , Fc 1
en en SP 1
la el DA0FS0 0.98926
ejecutoria ejecutoria NCFS000 0.338898
que que PR0CN00 0.550139
se se P00CN00 0.494509
cumplimenta cumplimentar VMIP3S0 0.989241
, , Fc 1
a a SP 1
el el DA0MS0 1
resolver resolver VMN0000 1
el el DA0MS0 1
citado citar VMP00SM 1
amparo amparo NCMS000 0.986111
en en SP 1
revisión revisión NCFS000 1
, , Fc 1
836/2016 836/2016 Z 1
, , Fc 1
determinó determinar VMIS3S0 1
que que CS 0.449861
el el DA0MS0 1
vigésimo 20 AO0MS00 1
transitorio transitorio AQ0MS00 1
, , Fc 1
segundo 2 AO0MS00 0.901147
párrafo párrafo NCMS000 1
, , Fc 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
debe deber VMIP3S0 0.998712
interpretar interpretar VMN0000 1
se se PP3CN00 1
en en SP 1
el el DA0MS0 1
sentido sentido NCMS000 0.940835
de de SP 0.999961
que que CS 0.449861
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
que que PR0CN00 0.550139
llegara llegar VMSI3S0 0.65
a a SP 0.998775
fijar fijar VMN0000 1
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
a a SP 1
el el DA0MS0 1
resolver resolver VMN0000 1
un uno DI0MS0 0.99698
desacuerdo desacuerdo NCMS000 0.97619
de de SP 0.999961
interconexión interconexión NCFS000 1
sobre sobre SP 0.997804
tarifas tarifa NCFP000 0.992958
para para SP 0.999834
el el DA0MS0 1
año_dos_mil_quince [??:??/??/2015:??.??:??] W 1
tiene tener VMIP3S0 1
efectos efecto NCMP000 1
o o CC 0.999864
generan generar VMIP3P0 1
consecuencias consecuencia NCFP000 1
desde desde SP 1
el el DA0MS0 1
primero 1 AO0MS00 0.686916
de de SP 0.999961
enero_de_dos_mil_quince [??:??/1/2015:??.??:??] W 1
, , Fc 1
es ser VSIP3S0 1
decir decir VMN0000 0.998575
, , Fc 1
por por SP 1
todo todo DI0MS0 0.6662
el el DA0MS0 1
periodo periodo NCMS000 1
sobre sobre SP 0.997804
el el DA0MS0 1
que que PR0CN00 0.550139
versó versar VMIS3S0 1
la el DA0FS0 0.98926
negociación negociación NCFS000 1
, , Fc 1
debiendo deber VMG0000 1
se se PP3CN00 1
realizar realizar VMN0000 1
, , Fc 1
cuando cuando CS 0.86298
así así RG 0.999409
corresponda corresponder VMSP3S0 0.634863
“ “ Fra 1
el el DA0MS0 1
pago pago NCMS000 0.995283
por por SP 1
diferencias diferencia NCFP000 0.996454
” ” Frc 1
para para SP 0.999834
los el DA0MP0 0.992728
montos monto NCMP000 1
que que PR0CN00 0.550139
ya ya RG 0.999785
fueron ser VSIS3P0 0.933213
cobrados cobrar VMP00PM 1
a a SP 0.998775
efecto efecto NCMS000 1
que que PR0CN00 0.550139
durante durante SP 1
todo todo DI0MS0 0.6662
dos_mil_quince 2015 Z 1
, , Fc 1
se se P00CN00 0.494509
cobren cobrar VMSP3P0 0.941964
efectivamente efectivamente RG 1
las el DA0FP0 0.988184
nuevas nuevo AQ0FP00 0.998891
condiciones condición NCFP000 0.998418
, , Fc 1
ya_que ya_que CS 1
ellos ellos PP3MP00 1
es ser VSIP3S0 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
resulta resultar VMIP3S0 0.993808
más más RG 0.99993
armónico armónico AQ0MS00 0.661294
no no RN 0.999297
solo solo AQ0MS00 0.787529
con con SP 1
la el DA0FS0 0.98926
libertad libertad NCFS000 0.998188
de de SP 0.999961
negociación negociación NCFS000 1
que que PR0CN00 0.550139
rigen regir VMIP3P0 1
entre entre SP 0.980341
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
sino sino CC 0.999154
también también RG 1
con con SP 1
el el DA0MS0 1
principio principio NCMS000 0.997238
de de SP 0.999961
libertad libertad NCFS000 0.998188
tarifaria tarifario AQ0FS00 1
pues pues CS 0.999049
permite permitir VMIP3S0 0.997312
que que CS 0.449861
las el DA0FP0 0.988184
nuevas nuevo AQ0FP00 0.998891
condiciones condición NCFP000 0.998418
tengan tener VMSP3P0 0.78169
efectos efecto NCMP000 1
o o CC 0.999864
generen generar VMSP3P0 0.941964
consecuencias consecuencia NCFP000 1
por por SP 1
todo todo DI0MS0 0.6662
el el DA0MS0 1
periodo periodo NCMS000 1
sobre sobre SP 0.997804
el el DA0MS0 1
que que PR0CN00 0.550139
versó versar VMIS3S0 1
la el DA0FS0 0.98926
negociación negociación NCFS000 1
. . Fp 1

La el DA0FS0 0.98926
parte parte NCCS000 0.977711
conducente conducente AQ0CS00 1
de de SP 0.999961
dicha dicha NCFS000 0.180233
ejecutoria ejecutorio AQ0FS00 0.661102
dice decir VMIP3S0 1
: : Fd 1
“ “ Fra 1
62 62 Z 1
. . Fp 1

Constitucionalidad constitucionalidad NP00000 0.331016
de de SP 0.999961
los el DA0MP0 0.992728
artículos artículo NCMP000 1
131 131 Z 1
, , Fc 1
137 137 Z 1
y y CC 0.999989
vigésimo 20 AO0MS00 1
transitorio transitorio AQ0MS00 1
, , Fc 1
segundo 2 AO0MS00 0.901147
párrafo párrafo NCMS000 1
, , Fc 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
. . Fp 1

[ [ Fca 1
… … Fz 1
] ] Fct 1
74 74 Z 1
. . Fp 1

Con con SP 1
base base NCCS000 0.963722
en en SP 1
lo el DA00S0 0.665165
antedicho antedecir VMP00SM 1
, , Fc 1
este este DD0MS0 0.949201
Tribunal_Constitucional tribunal_constitucional NP00000 1
determina determinar VMIP3S0 0.989241
que que CS 0.449861
los el DA0MP0 0.992728
preceptos precepto NCMP000 1
reclamados reclamar VMP00PM 1
no no RN 0.999297
adolecen adolecer VMIP3P0 1
de de SP 0.999961
la el DA0FS0 0.98926
deficiencia deficiencia NCFS000 1
legislativa legislativo AQ0FS00 1
que que PR0CN00 0.550139
les le PP3CPD0 1
atribuye atribuir VMIP3S0 0.980769
la el DA0FS0 0.98926
quejosa quejoso AQ0FS00 1
, , Fc 1
quien quien PR0CS00 1
principalmente principalmente RG 1
se se P00CN00 0.494509
queja quejar VMIP3S0 0.333333
de de SP 0.999961
que que CS 0.449861
en en SP 1
ellos ellos PP3MP00 1
, , Fc 1
el el DA0MS0 1
legislador legislador NCMS000 0.97619
omitió omitir VMIS3S0 1
referir referir VMN0000 1
se se PP3CN00 1
a a SP 0.998775
la el DA0FS0 0.98926
vigencia vigencia NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
terminación terminación NCFS000 1
de de SP 1
el el DA0MS0 1
servicio servicio NCMS000 1
local local AQ0CS00 0.798805
en en SP 1
usuarios usuario NCMP000 0.78169
fijos fijo AQ0MP00 1
de de SP 0.999961
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
que que PR0CN00 0.550139
hayan haber VASP3P0 0.994792
sido ser VSP00SM 1
declarados declarar VMP00PM 1
agentes agente NCCP000 0.998155
económicos económico AQ0MP00 1
preponderantes preponderante AQ0CP00 1
y y CC 0.999989
que que PR0CN00 0.550139
deban deber VMSP3P0 0.941964
pagar pagar VMN0000 1
a a SP 0.998775
otros otro DI0MP0 0.745978
concesionarios concesionario NCMP000 0.62798
, , Fc 1
pues pues CS 0.999049
ello ello PD00S00 1
propició propiciar VMIS3S0 1
que que CS 0.449861
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
estableciera establecer VMSI3S0 0.65
plazos plazo NCMP000 1
diferenciados diferenciar VMP00PM 1
en en SP 1
la el DA0FS0 0.98926
vigencia vigencia NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
, , Fc 1
provocando provocar VMG0000 1
inequidad inequidad NCFS000 0.638706
y y CC 0.999989
, , Fc 1
por_ende por_ende RG 1
, , Fc 1
un uno DI0MS0 0.99698
trato trato NCMS000 0.838542
discriminatorio discriminatorio AQ0MS00 1
, , Fc 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
claramente claramente RG 1
se se P00CN00 0.494509
corrobora corroborar VMIP3S0 0.989241
con con SP 1
la el DA0FS0 0.98926
resolución resolución NCFS000 1
que que PR0CN00 0.550139
resolvió resolver VMIS3S0 1
el el DA0MS0 1
desacuerdo desacuerdo NCMS000 0.97619
de de SP 0.999961
interconexión interconexión NCFS000 1
entre entre SP 0.980341
la el DA0FS0 0.98926
quejosa quejoso AQ0FS00 1
y y CC 0.999989
la el DA0FS0 0.98926
tercero 3 AO0MS00 0.993421
interesada interesado NCFS000 0.0192308
. . Fp 1

75 75 Z 1
. . Fp 1

En en SP 1
efecto efecto NCMS000 1
, , Fc 1
la el DA0FS0 0.98926
quejosa quejoso AQ0FS00 1
parte parte NCCS000 0.977711
de de SP 0.999961
la el DA0FS0 0.98926
idea idea NCFS000 0.994163
equivocada equivocar VMP00SF 1
de de SP 0.999961
que que CS 0.449861
en en SP 1
la el DA0FS0 0.98926
Ley ley NP00000 1
reclamada reclamar VMP00SF 1
debía deber VMII3S0 0.65
establecer establecer VMN0000 1
se se PP3CN00 1
la el DA0FS0 0.98926
vigencia vigencia NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
que que PR0CN00 0.550139
deben deber VMIP3P0 1
pagar pagar VMN0000 1
se se PP3CN00 1
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
como como CS 0.967153
consecuencia consecuencia NCFS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
interconexión interconexión NCFS000 1
; ; Fx 1
sin sin SP 1
embargo embargo NCMS000 0.995283
, , Fc 1
esa ese DD0FS0 0.964505
exigencia exigencia NCFS000 1
no no RN 0.999297
puede poder VMIP3S0 0.999693
estar estar VMN0000 0.999154
contenida contener VMP00SF 1
en en SP 1
el el DA0MS0 1
ordenamiento ordenamiento NCMS000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
examina examinar VMIP3S0 0.976198
, , Fc 1
porque porque CS 1
ello ello PD00S00 1
es ser VSIP3S0 1
propio propio AQ0MS00 0.998575
de de SP 1
el el DA0MS0 1
convenio convenio NCMS000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
que que PR0CN00 0.550139
, , Fc 1
en en SP 1
términos término NCMP000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
129 129 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
propia propio AQ0FS00 1
Ley ley NP00000 1
, , Fc 1
deben deber VMIP3P0 1
suscribir suscribir VMN0000 1
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
que que PR0CN00 0.550139
operen operar VMSP3P0 0.941964
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
quienes quien PR0CP00 1
están estar VMIP3P0 0.99949
obligados obligar VMP00PM 0.991071
a a SP 0.998775
interconectar interconectar VMN0000 1
sus su DP3CPN 0.999903
redes red NCFP000 0.990196
, , Fc 1
supuesto suponer VMP00SM 0.932099
en en SP 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
ese ese DD0MS0 0.966694
precepto precepto NCMS000 1
ordena ordenar VMIP3S0 0.97619
que que CS 0.449861
deberán deber VMIF3P0 1
suscribir suscribir VMN0000 1
un uno DI0MS0 0.99698
convenio convenio NCMS000 1
en en SP 1
un uno DI0MS0 0.99698
plazo plazo NCMS000 1
no no RN 0.999297
mayor mayor AQ0CS00 0.9995
de de SP 0.999961
sesenta_días TM_d:60 Zu 1
naturales natural AQ0CP00 0.991803
contados contar VMP00PM 0.623747
a_partir_de a_partir_de SP 1
que que CS 0.449861
alguno alguno PI0MS00 0.706612
de de SP 0.999961
ellos ellos PP3MP00 1
lo lo PP3MSA0 0.334764
solicite solicitar VMSP3S0 0.634863
; ; Fx 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
a a SP 0.998775
su su DP3CSN 1
vez vez NCFS000 1
está estar VMIP3S0 0.999398
relacionado relacionar VMP00SM 1
con con SP 1
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
en en SP 1
el el DA0MS0 1
diverso diverso AQ0MS00 0.586149
126 126 Z 1
que que PR0CN00 0.550139
dispone disponer VMIP3S0 1
que que CS 0.449861
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
de de SP 0.999961
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
acordarán acordar VMIF3P0 1
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
bajo bajo SP 0.909179
las el DA0FP0 0.988184
cuales cual PR0CP00 1
se se P00CN00 0.494509
llevará_a_cabo llevar_a_cabo VMIF3S0 1
la el DA0FS0 0.98926
interconexión interconexión NCFS000 1
de de SP 0.999961
sus su DP3CPN 0.999903
redes red NCFP000 0.990196
, , Fc 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
las el DA0FP0 0.988184
disposiciones disposición NCFP000 1
legales legal AQ0CP00 0.993827
, , Fc 1
reglamentarias reglamentario AQ0FP00 1
, , Fc 1
planes plan NCMP000 1
técnicos técnico AQ0MP00 0.287234
fundamentales fundamental AQ0CP00 0.992958
y y CC 0.999989
demás demás DI0CP0 0.280093
normas norma NCFP000 1
y y CC 0.999989
metodologías metodología NCFP000 1
aplicables aplicable AQ0CP00 1
. . Fp 1

76 76 Z 1
. . Fp 1

Lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
significa significar VMIP3S0 0.996575
que que CS 0.449861
esa ese DD0FS0 0.964505
obligación obligación NCFS000 1
de de SP 0.999961
interconectar interconectar VMN0000 1
; ; Fx 1
por por SP 1
constituir constituir VMN0000 1
una uno DI0FS0 0.951973
de de SP 0.999961
las el DA0FP0 0.988184
obligaciones obligación NCFP000 1
a_cargo_de a_cargo_de SP 1
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
expresamente expresamente RG 1
señalada señalar VMP00SF 1
en en SP 1
la el DA0FS0 0.98926
ley ley NCFS000 1
, , Fc 1
debe deber VMIP3S0 0.998712
quedar quedar VMN0000 1
plasmada plasmar VMP00SF 1
en en SP 1
un uno DI0MS0 0.99698
convenio convenio NCMS000 1
y y CC 0.999989
observando observar VMG0000 1
el el DA0MS0 1
principio principio NCMS000 0.997238
de de SP 0.999961
libertad libertad NCFS000 0.998188
tarifaria tarifario AQ0FS00 1
y y CC 0.999989
de de SP 0.999961
libertad libertad NCFS000 0.998188
contractual contractual AQ0CS00 1
, , Fc 1
se se P00CN00 0.494509
entiendo entender VMIP1S0 1
que que CS 0.449861
le le PP3CSD0 1
plazo plazo NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
vigencia vigencia NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
necesariamente necesariamente RG 1
queda quedar VMIP3S0 0.945755
a a SP 1
el el DA0MS0 1
acuerdo acuerdo NCMS000 0.999311
de de SP 0.999961
las el DA0FP0 0.988184
partes parte NCCP000 0.997076
, , Fc 1
es ser VSIP3S0 1
decir decir VMN0000 0.998575
, , Fc 1
a a SP 0.998775
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
que que PR0CN00 0.550139
fijen fijar VMSP3P0 0.941964
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
. . Fp 1

77 77 Z 1
. . Fp 1

No no RN 0.999263
se se P00CN00 0.494509
desconoce desconocer VMIP3S0 0.986111
que que CS 0.449861
la el DA0FS0 0.98926
libertad libertad NCFS000 0.998188
tarifaria tarifario AQ0FS00 1
no no RN 0.999297
es ser VSIP3S0 1
absoluta absoluto AQ0FS00 1
, , Fc 1
pues pues CS 0.999049
su su DP3CSN 1
determinación determinación NCFS000 1
se se P00CN00 0.494509
rige regir VMIP3S0 0.97619
por por SP 1
disposiciones disposición NCFP000 1
de de SP 0.999961
orden orden NCCS000 1
público público AQ0MS00 0.409696
; ; Fx 1
empero empero CC 1
, , Fc 1
también también RG 1
prevalece prevalecer VMIP3S0 0.989239
la el DA0FS0 0.98926
libertad libertad NCFS000 0.998188
contractual contractual AQ0CS00 1
o o CC 0.999864
de de SP 0.999961
negociación negociación NCFS000 1
, , Fc 1
ya_que ya_que CS 1
el el DA0MS0 1
ordenamiento ordenamiento NCMS000 1
no no RN 0.999297
restringe restringir VMIP3S0 0.981741
el el DA0MS0 1
derecho derecho NCMS000 0.882166
de de SP 0.999961
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
de de SP 0.999961
convenir convenir VMN0000 1
en_cuanto_a en_cuanto_a SP 1
la el DA0FS0 0.98926
forma forma NCFS000 0.987798
, , Fc 1
contenido contenido NCMS000 0.993421
, , Fc 1
términos término NCMP000 1
y y CC 0.999989
condiciones condición NCFP000 0.998418
que que PR0CN00 0.550139
llevará_a_cabo llevar_a_cabo VMIF3S0 1
la el DA0FS0 0.98926
interconexión interconexión NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
redes red NCFP000 0.990196
. . Fp 1

Esto este PD00S00 1
explica explicar VMIP3S0 0.934783
que que CS 0.449861
en en SP 1
los el DA0MP0 0.992728
preceptos precepto NCMP000 1
reclamados reclamar VMP00PM 1
no no RN 0.999297
se se P00CN00 0.494509
contenga contener VMSP3S0 0.634863
un uno DI0MS0 0.99698
supuesto supuesto NCMS000 0.0679012
normativo normativo AQ0MS00 1
como como CS 0.967153
el el DA0MS0 1
que que PR0CN00 0.550139
exige exigir VMIP3S0 0.994505
la el DA0FS0 0.98926
quejosa quejoso AQ0FS00 1
, , Fc 1
pues pues CS 0.999049
prevalece prevalecer VMIP3S0 0.989239
la el DA0FS0 0.98926
libertad libertad NCFS000 0.998188
contractual contractual AQ0CS00 1
y y CC 0.999989
sólo sólo RG 1
en en SP 1
el el DA0MS0 1
caso caso NCMS000 0.999445
de de SP 0.999961
que que CS 0.449861
exista existir VMSP3S0 0.497942
un uno DI0MS0 0.99698
desacuerdo desacuerdo NCMS000 0.97619
de de SP 0.999961
interconexión interconexión NCFS000 1
es ser VSIP3S0 1
que que CS 0.449861
interviene intervenir VMIP3S0 1
la el DA0FS0 0.98926
autoridad autoridad NCFS000 1
administrativa administrativo AQ0FS00 0.661294
para para SP 0.999834
emitir emitir VMN0000 1
resolución resolución NCFS000 1
en en SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
establezca establecer VMSP3S0 0.484863
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
a a SP 0.998775
observar observar VMN0000 1
. . Fp 1

78 78 Z 1
. . Fp 1

Cabe caber VMIP3S0 0.975904
señalar señalar VMN0000 1
que que CS 0.449861
lo el DA00S0 0.665165
razonado razonar VMP00SM 1
respecto_de respecto_de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
131 131 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
reclamada reclamar VMP00SF 1
, , Fc 1
sólo sólo RG 1
corresponde corresponder VMIP3S0 0.996183
a a SP 0.998775
la el DA0FS0 0.98926
deficiencia deficiencia NCFS000 1
por por SP 1
omisión omisión NCFS000 1
legislativa legislativo AQ0FS00 1
que que CS 0.449861
la el DA0FS0 0.98926
quejosa quejoso AQ0FS00 1
le le PP3CSD0 1
atribuyó atribuir VMIS3S0 1
a a SP 0.998775
esa ese DD0FS0 0.964505
disposición disposición NCFS000 1
, , Fc 1
ya_que ya_que CS 1
en en SP 1
su su DP3CSN 1
opinión opinión NCFS000 1
debía deber VMII3S0 0.65
prever prever VMN0000 1
el el DA0MS0 1
plazo plazo NCMS000 1
de de SP 0.999961
vigencia vigencia NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
; ; Fx 1
en_consecuencia en_consecuencia RG 1
, , Fc 1
esta este DD0FS0 0.978817
Segunda_Sala segunda_sala NP00000 1
en en SP 1
esta este DD0FS0 0.978817
ejecutoria ejecutoria NCFS000 0.338898
, , Fc 1
no no RN 0.999297
está estar VAIP3S0 0.000200642
formulando formular VMG0000 1
pronunciamiento pronunciamiento NCMS000 1
alguno alguno PI0MS00 0.706612
sobre sobre SP 0.997804
las el DA0FP0 0.988184
restantes restante AQ0CP00 0.916667
hipótesis hipótesis NCFN000 1
de de SP 0.999961
la el DA0FS0 0.98926
norma norma NCFS000 1
. . Fp 1

79 79 Z 1
. . Fp 1

Ahora_bien ahora_bien RG 1
, , Fc 1
como como CS 0.967153
se se P00CN00 0.494509
apuntó apuntar VMIS3S0 1
, , Fc 1
la el DA0FS0 0.98926
quejosa quejoso AQ0FS00 1
denuncia denuncia NCFS000 0.846154
un uno DI0MS0 0.99698
problema problema NCMS000 1
de de SP 0.999961
vigencia vigencia NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
y y CC 0.999989
la el DA0FS0 0.98926
forma forma NCFS000 0.987798
en en SP 1
que que CS 0.449861
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
resolvió resolver VMIS3S0 1
ese ese DD0MS0 0.966694
aspecto aspecto NCMS000 1
en en SP 1
el el DA0MS0 1
desacuerdo desacuerdo NCMS000 0.97619
de de SP 0.999961
interconexión interconexión NCFS000 1
, , Fc 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
la el DA0FS0 0.98926
autoridad autoridad NCFS000 1
llevó_a_cabo llevar_a_cabo VMIS3S0 1
con con SP 1
apoyo apoyo NCMS000 0.998982
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
vigésimo 20 AO0MS00 1
transitorio transitorio AQ0MS00 1
, , Fc 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
reclama reclamar VMIP3S0 0.993421
, , Fc 1
disposición disposición NCFS000 1
que que PR0CN00 0.550139
esta este DD0FS0 0.978817
Segunda_Sala segunda_sala NP00000 1
ha haber VAIP3S0 0.999889
interpretado interpretar VMP00SM 1
, , Fc 1
en en SP 1
su su DP3CSN 1
segundo 2 AO0MS00 0.901147
párrafo párrafo NCMS000 1
, , Fc 1
para para SP 0.999834
establecer establecer VMN0000 1
que que CS 0.449861
no no RN 0.999297
es ser VSIP3S0 1
inconstitucional inconstitucional AQ0CS00 1
, , Fc 1
pero pero CC 0.999902
sobre sobre SP 0.997804
todo todo PI0MS00 0.327644
, , Fc 1
ha haber VAIP3S0 0.999889
determinado determinar VMP00SM 1
la el DA0FS0 0.98926
forma forma NCFS000 0.987798
en en SP 1
que que PR0CN00 0.550139
debe deber VMIP3S0 0.998712
interpretar interpretar VMN0000 1
se se PP3CN00 1
. . Fp 1

80 80 Z 1
. . Fp 1

En en SP 1
efecto efecto NCMS000 1
, , Fc 1
a a SP 1
el el DA0MS0 1
resolver resolver VMN0000 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
en en SP 1
revisión329/2016 revisión329/2016 Z 1
, , Fc 1
esta este DD0FS0 0.978817
Sala sala NP00000 1
consideró considerar VMIS3S0 1
que que CS 0.449861
la el DA0FS0 0.98926
disposición disposición NCFS000 1
en en SP 1
esa ese DD0FS0 0.964505
porción porción NCFS000 1
normativa normativa NCFS000 0.992424
es ser VSIP3S0 1
constitucional constitucional AQ0CS00 1
porque porque CS 1
: : Fd 1
a a SP 0.998775
) ) Fpt 1
permite permitir VMIP3S0 0.997312
que que CS 0.449861
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
ejerzan ejercer VMSP3P0 0.941964
su su DP3CSN 1
libertad libertad NCFS000 0.998188
de de SP 0.999961
comercio comercio NCMS000 0.996689
consistente consistente AQ0CS00 1
en en SP 1
la el DA0FS0 0.98926
fijación fijación NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
interconexión interconexión NCFS000 1
; ; Fx 1
b b NCFS000 1
) ) Fpt 1
porque porque CS 1
permite permitir VMIP3S0 0.997312
que que CS 0.449861
el el DA0MS0 1
órgano órgano NCMS000 1
regulador regulador AQ0MS00 0.97619
despliegue desplegar VMSP3S0 0.0135135
y y CC 0.999989
ejerza ejercer VMSP1S0 0.634863
de de SP 0.999961
manera manera NCFS000 1
plena pleno AQ0FS00 1
las el DA0FP0 0.988184
facultades facultad NCFP000 1
que que PR0CN00 0.550139
constitucional constitucional AQ0CS00 1
y y CC 0.999989
legalmente legalmente RG 1
tiene tener VMIP3S0 1
asignadas asignar VMP00PF 1
; ; Fx 1
c c NCFS000 1
) ) Fpt 1
porque porque CS 1
dota dotar VMIP3S0 0.989241
de de SP 0.999961
certeza certeza NCFS000 1
tanto tanto RG 0.806143
a a SP 0.998775
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
, , Fc 1
como como CS 0.967153
a a SP 0.998775
las el DA0FP0 0.988184
autoridades autoridad NCFP000 1
y y CC 0.999989
usuarios usuario NCMP000 0.78169
en en SP 1
general general NCCS000 0.173788
, , Fc 1
respecto_de respecto_de SP 1
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
que que PR0CN00 0.550139
deben deber VMIP3P0 1
aplicar aplicar VMN0000 1
se se PP3CN00 1
hasta hasta SP 0.922749
que que CS 0.449861
se se P00CN00 0.494509
suscriba suscribir VMSP3S0 0.634863
un uno DI0MS0 0.99698
convenio convenio NCMS000 1
o o CC 0.999864
el el DA0MS0 1
órgano órgano NCMS000 1
regulador regulador AQ0MS00 0.97619
fije fijar VMSP3S0 0.634859
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
de de SP 0.999961
interconexión interconexión NCFS000 1
no no RN 0.999297
convenidas convenir VMP00PF 1
, , Fc 1
por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
genera generar VMIP3S0 0.98913
un uno DI0MS0 0.99698
