RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_OTORGA_A_FAVOR_DE_EL_GOBIERNO_DE_EL_ESTADO_DE_MICHOACÁN_DE_OCAMPO_UNA_CONCESIÓN_PARA_USAR_Y_APROVECHAR_BANDAS_DE_FRECUENCIA_DE_EL_ESPECTRO_RADIOELÉCTRICO_PARA_USO_PÚBLICO resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_otorga_a_favor_de_el_gobierno_de_el_estado_de_michoacán_de_ocampo_una_concesión_para_usar_y_aprovechar_bandas_de_frecuencia_de_el_espectro_radioeléctrico_para_uso_público NP00000 1
de de SP 0.999961
un uno DI0MS0 0.99698
Consejo_Ciudadano consejo_ciudadano NP00000 1
y y CC 0.999989
de de SP 0.999961
cuyo cuyo PR0MS00 1
contenido contenido NCMS000 0.993421
se se P00CN00 0.494509
advierte advertir VMIP3S0 0.991071
que que CS 0.449861
el el DA0MS0 1
Sistema_Michoacano sistema_michoacano NP00000 1
contará contar VMIF3S0 1
con con SP 1
el el DA0MS0 1
referido referir VMP00SM 1
consejo consejo NCMS000 1
con con SP 1
el el DA0MS0 1
objeto objeto NCMS000 0.996183
de de SP 0.999961
asegurar asegurar VMN0000 1
su su DP3CSN 1
independencia independencia NCFS000 1
y y CC 0.999989
una uno DI0FS0 0.951973
política político AQ0FS00 0.261038
editorial editorial NCCS000 0.746914
imparcial imparcial AQ0CS00 0.97619
y y CC 0.999989
objetiva objetivo AQ0FS00 0.806485
en en SP 1
su su DP3CSN 1
gestión gestión NCFS000 1
, , Fc 1
para para SP 0.999834
lo el DA00S0 0.665165
cual cual PR0CS00 0.930743
contará contar VMIF3S0 1
con con SP 1
facultades facultad NCFP000 1
de de SP 0.999961
opinión opinión NCFS000 1
y y CC 0.999989
asesoría asesoría NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
acciones acción NCFP000 0.998534
, , Fc 1
políticas política NCFP000 0.305633
, , Fc 1
programas programa NCMP000 0.996795
y y CC 0.999989
proyectos proyecto NCMP000 1
que que PR0CN00 0.550139
desarrolle desarrollar VMSP3S0 0.634863
el el DA0MS0 1
Sistema_Michoacano sistema_michoacano NP00000 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
señala señalar VMIP3S0 0.997076
que que CS 0.449861
el el DA0MS0 1
consejo consejo NCMS000 1
se se P00CN00 0.494509
integrará integrar VMIF3S0 1
por por SP 1
cinco 5 Z 0.999454
consejeros consejero NCMP000 0.980769
que que PR0CN00 0.550139
serán ser VSIF3P0 1
elegidos elegir VMP00PM 0.403846
mediante mediante SP 0.99763
una uno DI0FS0 0.951973
consulta consulta NCFS000 0.980583
pública público AQ0FS00 1
y y CC 0.999989
a_través_de a_través_de SP 1
una uno DI0FS0 0.951973
convocatoria convocatoria NCFS000 0.993827
abierta abrir VMP00SF 1
por por SP 1
el el DA0MS0 1
voto voto NCMS000 0.997159
de de SP 0.999961
dos 2 Z 0.999868
terceras 3 AO0FP00 0.97619
partes parte NCCP000 0.997076
de de SP 0.999961
los el DA0MP0 0.992728
miembros miembro NCMP000 0.998938
de de SP 0.999961
la el DA0FS0 0.98926
Junta_de_Gobierno_de_el_Sistema_Michoacano junta_de_gobierno_de_el_sistema_michoacano NP00000 1
. . Fp 1

A a SP 1
el el DA0MS0 1
respecto respecto NCMS000 0.989726
, , Fc 1
indica indicar VMIP3S0 0.995495
que que CS 0.449861
el el DA0MS0 1
cargo cargo NCMS000 0.998084
de de SP 0.999961
consejero consejero NCMS000 0.893836
será ser VSIF3S0 1
por por SP 1
tres 3 Z 1
años año NCMP000 1
y y CC 0.999989
se se P00CN00 0.494509
desempeñará desempeñar VMIF3S0 1
de de SP 0.999961
manera manera NCFS000 1
honorífica honorífico AQ0FS00 1
y y CC 0.999989
escalonada escalonar VMP00SF 1
, , Fc 1
por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
anualmente anualmente RG 1
serán ser VSIF3P0 1
sustituidos sustituir VMP00PM 1
los el DA0MP0 0.992728
dos 2 Z 0.999868
de de SP 0.999961
mayor mayor AQ0CS00 0.9995
antigüedad antigüedad NCFS000 1
en en SP 1
el el DA0MS0 1
cargo cargo NCMS000 0.998084
, , Fc 1
salvo salvo SP 0.850649
que que CS 0.449861
fuesen ser VSSI3P0 0.622222
ratificados ratificar VMP00PM 1
por por SP 1
la el DA0FS0 0.98926
Junta_de_Gobierno junta_de_gobierno NP00000 1
para para SP 0.999834
un uno DI0MS0 0.99698
segundo 2 AO0MS00 0.901147
periodo periodo NCMS000 1
. . Fp 1

Por_otro_lado por_otro_lado RG 1
, , Fc 1
señala señalar VMIP3S0 0.997076
que que CS 0.449861
el el DA0MS0 1
consejo consejo NCMS000 1
en en SP 1
su su DP3CSN 1
primera 1 AO0FS00 0.995242
sesión sesión NCFS000 1
emitirá emitir VMIF3S0 1
sus su DP3CPN 0.999903
lineamientos lineamiento NCMP000 1
. . Fp 1

De de SP 0.999961
igual igual AQ0CS00 0.592493
manera manera NCFS000 1
, , Fc 1
el el DA0MS0 1
solicitante solicitante NCCS000 0.97619
enuncia enunciar VMIP3S0 0.989241
como como CS 0.967153
requisitos requisito NCMP000 0.98913
para para SP 0.999834
ser ser VSN0000 0.959637
consejero consejero NCMS000 0.893836
, , Fc 1
entre entre SP 0.980341
otros otro PI0MP00 0.254022
, , Fc 1
ser ser VSN0000 0.959637
ciudadano ciudadano NCMS000 0.922535
mexicano mexicano AQ0MS00 0.780172
en en SP 1
pleno pleno AQ0MS00 0.375776
goce goce NCMS000 0.862289
de de SP 0.999961
sus su DP3CPN 0.999903
derechos derecho NCMP000 0.996795
, , Fc 1
tener tener VMN0000 1
treinta_y_cinco 35 Z 1
años año NCMP000 1
cumplidos cumplir VMP00PM 0.623747
, , Fc 1
contar contar VMN0000 1
con con SP 1
una uno DI0FS0 0.951973
experiencia experiencia NCFS000 1
comprobada comprobar VMP00SF 1
de de SP 0.999961
por_lo_menos por_lo_menos RG 1
cinco 5 Z 0.999454
años año NCMP000 1
en_materia_de en_materia_de SP 1
medios medio NCMP000 0.997344
públicos público AQ0MP00 0.974537
, , Fc 1
tener tener VMN0000 1
de de SP 0.999961
preferencia preferencia NCFS000 1
una uno DI0FS0 0.951973
profesión profesión NCFS000 1
o o CC 0.999864
licenciatura licenciatura NCFS000 1
relacionada relacionar VMP00SF 1
con con SP 1
los el DA0MP0 0.992728
medios medio NCMP000 0.997344
de de SP 0.999961
comunicación comunicación NCFS000 1
, , Fc 1
no no RN 0.999297
desempeñar desempeñar VMN0000 1
ni ni RN 0.165147
haber haber VAN0000 0.987521
desempeñado desempeñar VMP00SM 1
cargos cargo NCMP000 1
de de SP 0.999961
dirección dirección NCFS000 1
nacional nacional AQ0CS00 1
, , Fc 1
estatal estatal AQ0CS00 1
o o CC 0.999864
municipal municipal AQ0CS00 1
en en SP 1
algún alguno DI0MS0 1
partido partido NCMS000 0.99971
o o CC 0.999864
agrupación agrupación NCFS000 1
política político AQ0FS00 0.261038
en en SP 1
los el DA0MP0 0.992728
dos 2 Z 0.999868
años año NCMP000 1
anteriores anterior AQ0CP00 1
a a SP 0.998775
su su DP3CSN 1
designación designación NCFS000 1
y y CC 0.999989
no no RN 0.999297
desempeñar desempeñar VMN0000 1
ni ni RN 0.165147
haber haber VAN0000 0.987521
desempeñado desempeñar VMP00SM 1
cargos cargo NCMP000 1
de de SP 0.999961
Secretario_de_Estado secretario_de_estado NP00000 1
, , Fc 1
Procurador_General_de_el_Estado procurador_general_de_el_estado NP00000 1
, , Fc 1
diputado diputado NCMS000 0.997382
local local AQ0CS00 0.798805
o o CC 0.999864
federal federal AQ0CS00 1
o o CC 0.999864
senador senador NCMS000 1
en en SP 1
el el DA0MS0 1
año año NCMS000 1
anterior anterior AQ0CS00 1
a a SP 0.998775
su su DP3CSN 1
nombramiento nombramiento NCMS000 1
. . Fp 1

Por_otro_lado por_otro_lado RG 1
, , Fc 1
el el DA0MS0 1
solicitante solicitante NCCS000 0.97619
señala señalar VMIP3S0 0.997076
como como CS 0.967153
funciones función NCFP000 0.994186
de de SP 1
el el DA0MS0 1
Consejo_Ciudadano consejo_ciudadano NP00000 1
, , Fc 1
entre entre SP 0.980341
otras otro PI0FP00 0.134592
, , Fc 1
proponer proponer VMN0000 1
a a SP 0.998775
la el DA0FS0 0.98926
Junta_de_Gobierno junta_de_gobierno NP00000 1
los el DA0MP0 0.992728
criterios criterio NCMP000 1
que que PR0CN00 0.550139
deberán deber VMIF3P0 1
seguir seguir VMN0000 1
se se PP3CN00 1
con con SP 1
el el DA0MS0 1
fin fin NCMS000 1
de de SP 0.999961
asegurar asegurar VMN0000 1
la el DA0FS0 0.98926
independencia independencia NCFS000 1
y y CC 0.999989
una uno DI0FS0 0.951973
política político AQ0FS00 0.261038
editorial editorial NCCS000 0.746914
imparcial imparcial AQ0CS00 0.97619
y y CC 0.999989
objetiva objetivo AQ0FS00 0.806485
, , Fc 1
así_como así_como CC 1
las el DA0FP0 0.988184
reglas regla NCFP000 0.994505
para para SP 0.999834
la el DA0FS0 0.98926
expresión expresión NCFS000 1
de de SP 0.999961
diversidades diversidad NCFP000 1
ideológicas ideológico AQ0FP00 1
, , Fc 1
étnicas étnico AQ0FP00 1
y y CC 0.999989
culturales cultural AQ0CP00 1
; ; Fx 1
elaborar elaborar VMN0000 1
mecanismos mecanismo NCMP000 1
de de SP 0.999961
participación participación NCFS000 1
ciudadana ciudadano AQ0FS00 0.738095
a_fin_de a_fin_de SP 1
atender atender VMN0000 1
las el DA0FP0 0.988184
inquietudes inquietud NCFP000 1
y y CC 0.999989
propuestas propuesta NCFP000 0.963576
de de SP 0.999961
los el DA0MP0 0.992728
radioescuchas radioescucha NCCP000 1
y y CC 0.999989
televidentes televidente NCCP000 1
y y CC 0.999989
vigilar vigilar VMN0000 1
y y CC 0.999989
emitir emitir VMN0000 1
informes informe NCMP000 0.984962
públicos público AQ0MP00 0.974537
sobre sobre SP 0.997804
el el DA0MS0 1
cumplimiento cumplimiento NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Junta_de_Gobierno junta_de_gobierno NP00000 1
a a SP 0.998775
los el DA0MP0 0.992728
criterios criterio NCMP000 1
establecidos establecer VMP00PM 1
para para SP 0.999834
asegurar asegurar VMN0000 1
la el DA0FS0 0.98926
independencia independencia NCFS000 1
y y CC 0.999989
una uno DI0FS0 0.951973
política político AQ0FS00 0.261038
editorial editorial NCCS000 0.746914
imparcial imparcial AQ0CS00 0.97619
y y CC 0.999989
objetiva objetivo AQ0FS00 0.806485
. . Fp 1

Finalmente finalmente RG 1
, , Fc 1
cabe caber VMIP3S0 0.975904
señalar señalar VMN0000 1
que que CS 0.449861
de_acuerdo_con de_acuerdo_con SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
3 3 Z 1
, , Fc 1
fracción fracción NCFS000 1
XII xii NP00000 1
, , Fc 1
de de SP 1
el el DA0MS0 1
Decreto_Administrativo decreto_administrativo NP00000 1
publicado publicar VMP00SM 1
el el DA0MS0 1
31_de_diciembre_de_2001 [??:31/12/2001:??.??:??] W 1
en en SP 1
el el DA0MS0 1
Periódico_Oficial_de_el_Gobierno_de_el_Estado_de_Michoacán_de_Ocampo periódico_oficial_de_el_gobierno_de_el_estado_de_michoacán_de_ocampo NP00000 1
, , Fc 1
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
reforma reformar VMIP3S0 0.00155521
integralmente integralmente RG 1
el el DA0MS0 1
diverso diverso AQ0MS00 0.586149
publicado publicar VMP00SM 1
el el DA0MS0 1
12_de_julio_de_1984 [??:12/7/1984:??.??:??] W 1
en en SP 1
el el DA0MS0 1
mismo mismo AQ0MS00 0.802208
medio medio NCMS000 0.21966
de de SP 0.999961
publicación publicación NCFS000 1
, , Fc 1
el el DA0MS0 1
Sistema_Michoacano sistema_michoacano NP00000 1
tiene tener VMIP3S0 1
como como CS 0.967153
función función NCFS000 1
fomentar fomentar VMN0000 1
la el DA0FS0 0.98926
participación participación NCFS000 1
ciudadana ciudadano AQ0FS00 0.738095
en en SP 1
la el DA0FS0 0.98926
definición definición NCFS000 1
de de SP 0.999961
su su DP3CSN 1
programación programación NCFS000 1
, , Fc 1
funciones función NCFP000 0.994186
y y CC 0.999989
objetivos objetivo NCMP000 0.962329
. . Fp 1

Lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
SÍ sí NP00000 1
resulta resultar VMIP3S0 0.993808
adecuado adecuar VMP00SM 1
en en SP 1
términos término NCMP000 1
de de SP 0.999961
la el DA0FS0 0.98926
LFTR lftr NP00000 1
y y CC 0.999989
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
. . Fp 1

2 2 Z 1
. . Fp 1

Reglas regla NCFP000 0.989071
claras claro AQ0FP00 0.990196
para para SP 0.999834
la el DA0FS0 0.98926
transparencia transparencia NCFS000 1
y y CC 0.999989
rendición rendición NCFS000 1
de de SP 0.999961
cuentas cuenta NCFP000 0.997449
. . Fp 1

El el DA0MS0 1
solicitante solicitante NCCS000 0.97619
indica indicar VMIP3S0 0.995495
que que CS 0.449861
en en SP 1
concordancia concordancia NCFS000 1
a a SP 0.998775
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
3 3 Z 1
, , Fc 1
fracción fracción NCFS000 1
XXII xxii NP00000 1
y y CC 0.999989
36 36 Z 1
, , Fc 1
fracción fracción NCFS000 1
I i NP00000 1
, , Fc 1
incisos inciso AQ0MP00 0.66108
g gramo NCMN000 0.632571
) ) Fpt 1
y y CC 0.999989
h h NCFS000 0.625496
) ) Fpt 1
, , Fc 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_de_Transparencia ley_de_transparencia NP00000 1
, , Fc 1
Acceso acceso NP00000 1
a a SP 0.998775
la el DA0FS0 0.98926
información información NCFS000 1
Pública pública NP00000 1
y y CC 0.999989
Protección_de_Datos_Personales_de_el_Estado_de_Michoacán_de_Ocampo protección_de_datos_personales_de_el_estado_de_michoacán_de_ocampo NP00000 1
, , Fc 1
se se P00CN00 0.494509
están estar VAIP3P0 0.000509684
creando crear VMG0000 1
los el DA0MP0 0.992728
hipervínculos hipervínculos NCMP000 0.978256
y y CC 0.999989
la el DA0FS0 0.98926
integración integración NCFS000 1
de de SP 1
el el DA0MS0 1
link link NCMN000 1
a a SP 0.998775
su su DP3CSN 1
plataforma plataforma NCFS000 1
digital digital AQ0CS00 0.986111
que que PR0CN00 0.550139
contendrá contener VMIF3S0 1
información información NCFS000 1
relativa relativo AQ0FS00 1
a a SP 0.998775
la el DA0FS0 0.98926
normatividad normatividad NCFS000 1
jurídica jurídico AQ0FS00 1
que que PR0CN00 0.550139
le le PP3CSD0 1
resulta resultar VMIP3S0 0.993808
aplicable aplicable AQ0CS00 1
, , Fc 1
los el DA0MP0 0.992728
convenios convenio NCMP000 0.991071
, , Fc 1
los el DA0MP0 0.992728
contratos contrato NCMP000 1
que que PR0CN00 0.550139
firman firmar VMIP3P0 1
con con SP 1
diversas diverso DI0FP0 0.805344
personas persona NCFP000 0.999585
físicas físico AQ0FP00 0.962264
y y CC 0.999989
/ / Fh 1
o o CC 0.999864
morales moral AQ0CP00 0.640816
y y CC 0.999989
el el DA0MS0 1
presupuesto presupuesto NCMS000 0.988439
asignado asignar VMP00SM 0.623747
para para SP 0.999834
la el DA0FS0 0.98926
operatividad operatividad NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
estaciones estación NCFP000 0.992424
de de SP 0.999961
televisión televisión NCFS000 1
y y CC 0.999989
radio radio NCCS000 0.994505
en en SP 1
conjunto conjunto NCMS000 0.866375
. . Fp 1

Lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
SÍ sí NP00000 1
resulta resultar VMIP3S0 0.993808
adecuado adecuar VMP00SM 1
en en SP 1
términos término NCMP000 1
de de SP 0.999961
la el DA0FS0 0.98926
LFTR lftr NP00000 1
y y CC 0.999989
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
. . Fp 1

3 3 Z 1
. . Fp 1

Defensa defensa NP00000 0.331016
de de SP 0.999961
sus su DP3CPN 0.999903
contenidos contenido NCMP000 0.743902
. . Fp 1

El el DA0MS0 1
solicitante solicitante NCCS000 0.97619
presenta presentar VMIP3S0 0.995868
un uno DI0MS0 0.99698
modelo modelo NCCS000 0.99763
de de SP 0.999961
estatuto estatuto NCMS000 1
de de SP 1
el el DA0MS0 1
defensor defensor NCMS000 0.980769
de de SP 0.999961
la el DA0FS0 0.98926
audiencia audiencia NCFS000 1
, , Fc 1
en en SP 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
se se P00CN00 0.494509
advierten advertir VMIP3P0 1
, , Fc 1
entre entre SP 0.980341
otros otro DI0MP0 0.745978
puntos punto NCMP000 1
, , Fc 1
que que CS 0.449861
la el DA0FS0 0.98926
Dirección_General_de_el_Sistema_Michoacano dirección_general_de_el_sistema_michoacano NP00000 1
creará crear VMIF3S0 1
dicha decir VMP00SF 0.819767
figura figura NCFS000 0.568905
con con SP 1
la el DA0FS0 0.98926
intención intención NCFS000 1
de de SP 0.999961
atender atender VMN0000 1
y y CC 0.999989
respetar respetar VMN0000 1
los el DA0MP0 0.992728
derechos derecho NCMP000 0.996795
de de SP 0.999961
las el DA0FP0 0.988184
audiencias audiencia NCFP000 1
en en SP 1
radio radio NCCS000 0.994505
y y CC 0.999989
televisión televisión NCFS000 1
, , Fc 1
estimular estimular VMN0000 1
la el DA0FS0 0.98926
cultura cultura NCFS000 1
de de SP 1
el el DA0MS0 1
reconocimiento reconocimiento NCMS000 1
y y CC 0.999989
de de SP 0.999961
la el DA0FS0 0.98926
corrección corrección NCFS000 1
de de SP 0.999961
errores error NCMP000 1
y y CC 0.999989
servir servir VMN0000 1
como como CS 0.967153
guía guía NCCS000 0.968254
de de SP 0.999961
dialogo dialogar VMIP1S0 1
entre entre SP 0.980341
la el DA0FS0 0.98926
televisión televisión NCFS000 1
, , Fc 1
radio radio NCCS000 0.994505
y y CC 0.999989
la el DA0FS0 0.98926
audiencia audiencia NCFS000 1
. . Fp 1

Asimismo asimismo RG 1
se se P00CN00 0.494509
advierte advertir VMIP3S0 0.991071
que que CS 0.449861
el el DA0MS0 1
defensor defensor NCMS000 0.980769
será ser VSIF3S0 1
el el DA0MS0 1
responsable responsable NCCS000 0.758303
de de SP 0.999961
recibir recibir VMN0000 1
, , Fc 1
documentar documentar VMN0000 1
, , Fc 1
procesar procesar VMN0000 1
y y CC 0.999989
dar dar VMN0000 1
seguimiento seguimiento NCMS000 1
a a SP 0.998775
las el DA0FP0 0.988184
observaciones observación NCFP000 1
, , Fc 1
quejas queja NCFP000 0.983871
, , Fc 1
sugerencias sugerencia NCFP000 1
, , Fc 1
peticiones petición NCFP000 0.987805
o o CC 0.999864
señalamientos señalamiento NCMP000 1
de de SP 0.999961
las el DA0FP0 0.988184
personas persona NCFP000 0.999585
que que PR0CN00 0.550139
componen componer VMIP3P0 1
la el DA0FS0 0.98926
audiencia audiencia NCFS000 1
, , Fc 1
con con SP 1
independencia independencia NCFS000 1
y y CC 0.999989
autonomía autonomía NCFS000 1
y y CC 0.999989
ajustando ajustar VMG0000 1
se se PP3CN00 1
a a SP 0.998775
los el DA0MP0 0.992728
criterios criterio NCMP000 1
de de SP 0.999961
imparcialidad imparcialidad NCFS000 1
, , Fc 1
así_como así_como CC 1
estimular estimular VMN0000 1
la el DA0FS0 0.98926
participación participación NCFS000 1
ciudadana ciudadano AQ0FS00 0.738095
en en SP 1
la el DA0FS0 0.98926
configuración configuración NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
contenidos contenido NCMP000 0.743902
y y CC 0.999989
la el DA0FS0 0.98926
programación programación NCFS000 1
de de SP 1
el el DA0MS0 1
medio medio NCMS000 0.21966
. . Fp 1

De de SP 0.999961
igual igual AQ0CS00 0.592493
manera manera NCFS000 1
, , Fc 1
se se P00CN00 0.494509
precisan precisar VMIP3P0 1
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
para para SP 0.999834
ser ser VSN0000 0.959637
defensor defensor NCMS000 0.980769
y y CC 0.999989
los el DA0MP0 0.992728
procedimientos procedimiento NCMP000 1
para para SP 0.999834
su su DP3CSN 1
nombramiento nombramiento NCMS000 1
y y CC 0.999989
para para SP 0.999834
la el DA0FS0 0.98926
atención atención NCFS000 0.997312
de de SP 0.999961
reclamaciones reclamación NCFP000 1
, , Fc 1
sugerencias sugerencia NCFP000 1
, , Fc 1
quejas queja NCFP000 0.983871
o o CC 0.999864
cuestionamientos cuestionamiento NCMP000 1
de de SP 0.999961
televidentes televidente NCCP000 1
y y CC 0.999989
radioescuchas radioescucha NCCP000 1
. . Fp 1

Por_otro_lado por_otro_lado RG 1
, , Fc 1
el el DA0MS0 1
solicitante solicitante NCCS000 0.97619
anexa anexo AQ0FS00 0.806485
un uno DI0MS0 0.99698
proyecto proyecto NCMS000 0.999084
de de SP 0.999961
código código NCMS000 1
de de SP 0.999961
ética ética NCFS000 0.696078
y y CC 0.999989
de de SP 0.999961
conducta conducta NCFS000 1
de de SP 1
el el DA0MS0 1
Sistema_Michoacano sistema_michoacano NP00000 1
. . Fp 1

Lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
SÍ sí NP00000 1
resulta resultar VMIP3S0 0.993808
adecuado adecuar VMP00SM 1
en en SP 1
términos término NCMP000 1
de de SP 0.999961
la el DA0FS0 0.98926
LFTR lftr NP00000 1
y y CC 0.999989
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
, , Fc 1
sin sin SP 1
embargo embargo NCMS000 0.995283
, , Fc 1
en_caso_de en_caso_de SP 1
que que CS 0.449861
se se P00CN00 0.494509
autorice autorizar VMSP3S0 0.634858
la el DA0FS0 0.98926
concesión concesión NCFS000 1
que que PR0CN00 0.550139
nos nos PP1CP00 0.810258
ocupa ocupar VMIP3S0 0.99505
, , Fc 1
se se P00CN00 0.494509
recomienda recomendar VMIP3S0 0.97619
a a SP 0.998775
la el DA0FS0 0.98926
Unidad unidad NP00000 1
a a SP 0.998775
su su DP3CSN 1
cargo cargo NCMS000 0.998084
enfatizar enfatizar VMN0000 1
a a SP 1
el el DA0MS0 1
solicitante solicitante NCCS000 0.97619
que que PR0CN00 0.550139
deberá deber VMIF3S0 1
cumplir cumplir VMN0000 1
íntegramente íntegramente RG 1
con con SP 1
la el DA0FS0 0.98926
normatividad normatividad NCFS000 1
aplicable aplicable AQ0CS00 1
, , Fc 1
misma mismo PI0FS00 0.18316
que que PR0CN00 0.550139
se se P00CN00 0.494509
desprende desprender VMIP3S0 0.980769
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
, , Fc 1
la el DA0FS0 0.98926
LFTR lftr NP00000 1
y y CC 0.999989
los el DA0MP0 0.992728
Lineamientos_Generales lineamientos_generales NP00000 1
sobre sobre SP 0.997804
la el DA0FS0 0.98926
Defensa_de_las_Audiencias defensa_de_las_audiencias NP00000 1
autorizados autorizar VMP00PM 1
por por SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
. . Fp 1

En en SP 1
conclusión conclusión NCFS000 1
, , Fc 1
debe deber VMIP3S0 0.998712
precisar precisar VMN0000 1
se se PP3CN00 1
que que CS 0.449861
esta este DD0FS0 0.978817
Unidad unidad NP00000 1
considera considerar VMIP3S0 0.998721
que que CS 0.449861
las el DA0FP0 0.988184
manifestaciones manifestación NCFP000 1
de de SP 1
el el DA0MS0 1
solicitante solicitante NCCS000 0.97619
, , Fc 1
así_como así_como CC 1
la el DA0FS0 0.98926
información información NCFS000 1
proporcionada proporcionar VMP00SF 1
, , Fc 1
sí sí PP3CNO0 0.336127
resultan resultar VMIP3P0 1
adecuadas adecuar VMP00PF 1
conforme_a conforme_a SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
establece establecer VMIP3S0 0.992424
la el DA0FS0 0.98926
LFTR lftr NP00000 1
, , Fc 1
sin sin SP 1
que que CS 0.449861
con con SP 1
ello ello PD00S00 1
se se P00CN00 0.494509
prejuzgue prejuzgar VMSP3S0 0.634863
sobre sobre SP 0.997804
el el DA0MS0 1
cumplimiento cumplimiento NCMS000 1
formal formal AQ0CS00 1
y y CC 0.999989
acreditable acreditable AQ0CS00 1
que que CS 0.449861
el el DA0MS0 1
Sistema_Michoacano sistema_michoacano NP00000 1
dé dar VMSP3S0 0.498099
a a SP 1
el el DA0MS0 1
contenido contenido NCMS000 0.993421
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
86 86 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
norma norma NCFS000 1
invocada invocar VMP00SF 1
. . Fp 1
) ) Fpt 1
” ” Frc 1
2 2 Z 1
. . Fp 1

Análisis_de_los_Mecanismos análisis_de_los_mecanismos NP00000 1
. . Fp 1

Ahora_bien ahora_bien RG 1
, , Fc 1
en en SP 1
relación relación NCFS000 1
con con SP 1
lo el DA00S0 0.665165
expuesto exponer VMP00SM 1
por por SP 1
la el DA0FS0 0.98926
UMCA umca NP00000 1
, , Fc 1
este este DD0MS0 0.949201
Instituto instituto NP00000 1
considera considerar VMIP3S0 0.998721
que que CS 0.449861
los el DA0MP0 0.992728
mecanismos mecanismo NCMP000 1
ahí ahí RG 1
descritos describir VMP00PM 1
resultan resultar VMIP3P0 1
adecuados adecuar VMP00PM 1
para para SP 0.999834
garantizar garantizar VMN0000 1
mediante mediante SP 0.99763
su su DP3CSN 1
implementación implementación NCFS000 1
los el DA0MP0 0.992728
objetivos objetivo NCMP000 0.962329
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
el el DA0MS0 1
artículo artículo NCMS000 1
86 86 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
, , Fc 1
y y CC 0.999989
8 8 Z 1
fracción fracción NCFS000 1
IV_de_los_Lineamientos_Generales_para_el_Otorgamiento_de_las_Concesiones iv_de_los_lineamientos_generales_para_el_otorgamiento_de_las_concesiones NP00000 1
en en SP 1
los el DA0MP0 0.992728
términos término NCMP000 1
siguientes siguiente AQ0CP00 1
: : Fd 1
A. a. NP00000 1
- - Fg 1
Independencia independencia NCFS000 0.668984
editorial editorial AQ0CS00 0.253086
. . Fp 1

Para para SP 0.999834
asegurar asegurar VMN0000 1
su su DP3CSN 1
independencia independencia NCFS000 1
editorial editorial AQ0CS00 0.253086
y y CC 0.999989
el el DA0MS0 1
adecuado adecuar VMP00SM 1
cumplimiento cumplimiento NCMS000 1
de de SP 0.999961
legalidad legalidad NCFS000 1
, , Fc 1
honradez honradez NCFS000 1
, , Fc 1
lealtad lealtad NCFS000 1
, , Fc 1
imparcialidad imparcialidad NCFS000 1
y y CC 0.999989
eficacia eficacia NCFS000 1
que que PR0CN00 0.550139
rigen regir VMIP3P0 1
el el DA0MS0 1
servicio servicio NCMS000 1
público público AQ0MS00 0.409696
, , Fc 1
de_acuerdo_con de_acuerdo_con SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
107 107 Z 1
y y CC 0.999989
109 109 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_de_el_Estado_de_Michoacán constitución_de_el_estado_de_michoacán NP00000 1
, , Fc 1
en en SP 1
concordancia concordancia NCFS000 1
con con SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
