RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_NIEGA_A_NOKIA_SOLUTIONS_AND_NETWORKS resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_niega_a_nokia_solutions_and_networks NP00000 1
arrendamiento arrendamiento NCMS000 1
y y CC 0.999989
de de SP 0.999961
un uno DI0MS0 0.99698
par par NCMS000 0.990196
de de SP 0.999961
hilos hilo NCMP000 1
de de SP 0.999961
fibra fibra NCFS000 1
óptica óptico AQ0FS00 0.526641
de de SP 0.999961
la el DA0FS0 0.98926
red red NCFS000 1
troncal troncal AQ0CS00 1
referida referir VMP00SF 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
Décimo_Quinto_Transitorio décimo_quinto_transitorio NP00000 1
de de SP 1
el el DA0MS0 1
mismo mismo AQ0MS00 0.802208
Decreto decreto NP00000 1
” ” Frc 1
. . Fp 1

Por_otro_lado por_otro_lado RG 1
, , Fc 1
el el DA0MS0 1
12_de_diciembre_de_2016 [??:12/12/2016:??.??:??] W 1
el el DA0MS0 1
Organismo_Promotor_de_Inversiones organismo_promotor_de_inversiones NP00000 1
en en SP 1
Telecomunicaciones telecomunicaciones NP00000 1
presentó presentar VMIS3S0 1
ante ante SP 0.999744
el el DA0MS0 1
Instituto instituto NP00000 1
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
para para SP 0.999834
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
para para SP 0.999834
usar usar VMN0000 1
, , Fc 1
aprovechar aprovechar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
en en SP 1
los el DA0MP0 0.992728
rangos rango NCMP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
703-748 703-748 Z 1
MHz mhz NP00000 1
y y CC 0.999989
758-803 758-803 Z 1
MHz mhz NP00000 1
, , Fc 1
con con SP 1
el el DA0MS0 1
objeto objeto NCMS000 0.996183
de de SP 0.999961
dar dar VMN0000 1
complimiento complimiento NCMS000 1
a a SP 0.998775
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
por por SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
Décimo_Sexto_Transitorio_de_el_Decreto_de_Reforma_Constitucional décimo_sexto_transitorio_de_el_decreto_de_reforma_constitucional NP00000 1
. . Fp 1

Cuarto cuarto NCMS000 0.343537
. . Fp 1
- - Fg 1
Marco marco NCMS000 0.993808
normativo normativo AQ0MS00 1
aplicable aplicable AQ0CS00 1
a a SP 1
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
concesiones concesión NCFP000 1
de de SP 0.999961
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
privado privar VMP00SM 0.99569
, , Fc 1
con con SP 1
propósitos propósito NCMP000 1
de de SP 0.999961
experimentación experimentación NCFS000 1
, , Fc 1
comprobación comprobación NCFS000 1
de de SP 0.999961
viabilidad viabilidad NCFS000 1
técnica técnico AQ0FS00 0.294798
y y CC 0.999989
económica económico AQ0FS00 1
de de SP 0.999961
tecnologías tecnología NCFP000 1
en en SP 1
desarrollo desarrollo NCMS000 0.99884
o o CC 0.999864
pruebas prueba NCFP000 0.997881
temporales temporal AQ0CP00 0.97619
de de SP 0.999961
equipos equipo NCMP000 1
. . Fp 1

De de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
55 55 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
, , Fc 1
las el DA0FP0 0.988184
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
se se P00CN00 0.494509
clasifican clasificar VMIP3P0 1
en en SP 1
determinado determinar VMP00SM 1
, , Fc 1
libre libre AQ0CS00 0.957522
, , Fc 1
protegido proteger VMP00SM 0.473747
y y CC 0.999989
reservado reservar VMP00SM 0.623747
; ; Fx 1
siendo ser VSG0000 1
que que CS 0.449861
el el DA0MS0 1
espectro espectro NCMS000 1
determinado determinar VMP00SM 1
comprende comprender VMIP3S0 0.738095
a a SP 0.998775
aquellas aquel DD0FP0 0.819767
bandas banda NCFP000 1
de de SP 0.999961
frecuencia frecuencia NCFS000 1
que que PR0CN00 0.550139
pueden poder VMIP3P0 1
ser ser VSN0000 0.959637
utilizadas utilizar VMP00PF 1
para para SP 0.999834
los el DA0MP0 0.992728
servicios servicio NCMP000 1
atribuidos atribuir VMP00PM 1
en en SP 1
el el DA0MS0 1
Cuadro_Nacional_de_Atribución_de_Frecuencias cuadro_nacional_de_atribución_de_frecuencias NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
concesiones concesión NCFP000 1
para para SP 0.999834
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
, , Fc 1
social social AQ0CS00 0.998783
, , Fc 1
privado privar VMP00SM 0.99569
y y CC 0.999989
público público AQ0MS00 0.409696
. . Fp 1

En en SP 1
ese ese DD0MS0 0.966694
sentido sentido NCMS000 0.940835
, , Fc 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
76 76 Z 1
fracción fracción NCFS000 1
III iii NP00000 1
inciso inciso AQ0MS00 0.66114
b b NCFS000 1
) ) Fpt 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
, , Fc 1
la el DA0FS0 0.98926
concesión concesión NCFS000 1
sobre sobre SP 0.997804
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
privado privar VMP00SM 0.99569
confiere conferir VMIP3S0 0.989239
el el DA0MS0 1
derecho derecho NCMS000 0.882166
para para SP 0.999834
usar usar VMN0000 1
y y CC 0.999989
aprovechar aprovechar VMN0000 1
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
de de SP 0.999961
uso uso NCMS000 0.998047
determinado determinar VMP00SM 1
con con SP 1
propósitos propósito NCMP000 1
de de SP 0.999961
experimentación experimentación NCFS000 1
, , Fc 1
comprobación comprobación NCFS000 1
de de SP 0.999961
viabilidad viabilidad NCFS000 1
técnica técnico AQ0FS00 0.294798
y y CC 0.999989
económica económico AQ0FS00 1
de de SP 0.999961
tecnologías tecnología NCFP000 1
en en SP 1
desarrollo desarrollo NCMS000 0.99884
o o CC 0.999864
pruebas prueba NCFP000 0.997881
temporales temporal AQ0CP00 0.97619
de de SP 0.999961
equipo equipo NCMS000 0.999728
, , Fc 1
entre entre SP 0.980341
otros otro PI0MP00 0.254022
. . Fp 1

Adicionalmente adicionalmente RG 1
, , Fc 1
se se P00CN00 0.494509
señala señalar VMIP3S0 0.997076
que que CS 0.449861
este este DD0MS0 0.949201
tipo tipo NCMS000 1
de de SP 0.999961
concesiones concesión NCFP000 1
no no RN 0.999297
confiere conferir VMIP3S0 0.989239
el el DA0MS0 1
derecho derecho NCMS000 0.882166
de de SP 0.999961
usar usar VMN0000 1
, , Fc 1
aprovechar aprovechar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
comercialmente comercialmente RG 1
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
de de SP 0.999961
uso uso NCMS000 0.998047
determinado determinar VMP00SM 1
. . Fp 1

Por por SP 1
su su DP3CSN 1
parte parte NCCS000 0.977711
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
82 82 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
establece establecer VMIP3S0 0.992424
, , Fc 1
entre entre SP 0.980341
otras otro DI0FP0 0.865408
cosas cosa NCFP000 0.999049
, , Fc 1
que que CS 0.449861
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
privado privar VMP00SM 0.99569
con con SP 1
propósitos propósito NCMP000 1
de de SP 0.999961
experimentación experimentación NCFS000 1
, , Fc 1
comprobación comprobación NCFS000 1
de de SP 0.999961
viabilidad viabilidad NCFS000 1
técnica técnico AQ0FS00 0.294798
y y CC 0.999989
económica económico AQ0FS00 1
de de SP 0.999961
tecnologías tecnología NCFP000 1
en en SP 1
desarrollo desarrollo NCMS000 0.99884
o o CC 0.999864
pruebas prueba NCFP000 0.997881
temporales temporal AQ0CP00 0.97619
de de SP 0.999961
equipos equipo NCMP000 1
, , Fc 1
se se P00CN00 0.494509
concesionará concesionará VMIF3S0 1
directamente directamente RG 1
, , Fc 1
hasta hasta RG 0.0772506
por por SP 1
un uno DI0MS0 0.99698
plazo plazo NCMS000 1
de de SP 0.999961
improrrogable improrrogable AQ0CS00 1
de de SP 0.999961
dos 2 Z 0.999868
años año NCMP000 1
; ; Fx 1
señalando señalar VMG0000 1
además además RG 1
que que CS 0.449861
este este DD0MS0 0.949201
tipo tipo NCMS000 1
de de SP 0.999961
concesiones concesión NCFP000 1
serán ser VSIF3P0 1
intransferibles intransferible AQ0CP00 1
. . Fp 1

En en SP 1
apego apego NCMS000 1
a a SP 0.998775
lo el DA00S0 0.665165
señalado señalar VMP00SM 1
por por SP 1
el el DA0MS0 1
propio propio AQ0MS00 0.998575
artículo artículo NCMS000 1
82 82 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
estableció establecer VMIS3S0 1
mediante mediante SP 0.99763
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
, , Fc 1
los el DA0MP0 0.992728
términos término NCMP000 1
y y CC 0.999989
requisitos requisito NCMP000 0.98913
que que PR0CN00 0.550139
deben deber VMIP3P0 1
acreditar acreditar VMN0000 1
los el DA0MP0 0.992728
interesados interesar VMP00PM 0.980769
en en SP 1
obtener obtener VMN0000 1
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
previstas prever VMP00PF 1
en en SP 1
la el DA0FS0 0.98926
Ley ley NP00000 1
. . Fp 1

Para para SP 0.999834
el el DA0MS0 1
caso caso NCMS000 0.999445
de de SP 0.999961
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
para para SP 0.999834
uso uso NCMS000 0.998047
privado privar VMP00SM 0.99569
con con SP 1
propósitos propósito NCMP000 1
previstos prever VMP00PM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
76 76 Z 1
fracción fracción NCFS000 1
III iii NP00000 1
inciso inciso AQ0MS00 0.66114
b b NCFS000 1
) ) Fpt 1
, , Fc 1
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
se se P00CN00 0.494509
señalan señalar VMIP3P0 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
8 8 Z 1
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
. . Fp 1

Quinto quinto NCMS000 0.262887
. . Fp 1
- - Fg 1
Análisis_de_la_Solicitud análisis_de_la_solicitud NP00000 1
. . Fp 1

Como como CS 0.967153
quedó quedar VMIS3S0 1
señalado señalar VMP00SM 1
en en SP 1
el el DA0MS0 1
Considerando considerando NP00000 1
anterior anterior AQ0CS00 1
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
8 8 Z 1
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
establece establecer VMIP3S0 0.992424
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
de de SP 0.999961
procedencia procedencia NCFS000 1
para para SP 0.999834
resolver resolver VMN0000 1
sobre sobre SP 0.997804
una uno DI0FS0 0.951973
solicitud solicitud NCFS000 1
de de SP 0.999961
concesión concesión NCFS000 1
sobre sobre SP 0.997804
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
privado privar VMP00SM 0.99569
con con SP 1
propósitos propósito NCMP000 1
, , Fc 1
entre entre SP 0.980341
otros otro PI0MP00 0.254022
, , Fc 1
de de SP 0.999961
pruebas prueba NCFP000 0.997881
temporales temporal AQ0CP00 0.97619
de de SP 0.999961
equipos equipo NCMP000 1
. . Fp 1

Por por SP 1
ello ello PD00S00 1
, , Fc 1
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
Dirección_General_de_Concesiones_de_Telecomunicaciones dirección_general_de_concesiones_de_telecomunicaciones NP00000 1
, , Fc 1
revisó revisar VMIS3S0 1
y y CC 0.999989
evaluó evaluar VMIS3S0 1
la el DA0FS0 0.98926
Solicitud solicitud NP00000 1
, , Fc 1
observando observar VMG0000 1
que que CS 0.449861
Nokia nokia NP00000 1
presentó presentar VMIS3S0 1
el el DA0MS0 1
Formato_IFT-Concesión_Espectro_Radioeléctrico_Tipo_B formato_ift-concesión_espectro_radioeléctrico_tipo_b NP00000 1
, , Fc 1
acompañando acompañar VMG0000 1
lo lo PP3MSA0 1
por por SP 1
diversa diverso DI0FS0 0.413851
documentación documentación NCFS000 1
, , Fc 1
conforme_a conforme_a SP 1
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
I._Datos i._datos NP00000 1
generales general AQ0CP00 0.916449
de de SP 1
el el DA0MS0 1
Interesado interesado NP00000 1
. . Fp 1

a a SP 0.998775
) ) Fpt 1
Identidad identidad NP00000 1
y y CC 0.999989
Nacionalidad nacionalidad NP00000 1
. . Fp 1

Nokia nokia NP00000 1
acreditó acreditar VMIS3S0 1
ser ser VSN0000 0.959637
una uno DI0FS0 0.951973
empresa empresa NCFS000 1
constituida constituir VMP00SF 1
bajo bajo SP 0.909179
las el DA0FP0 0.988184
leyes ley NCFP000 1
mexicanas mexicano AQ0FP00 0.980769
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
presentación presentación NCFS000 1
de de SP 0.999961
copia copia NCFS000 0.874645
certificada certificar VMP00SF 1
de de SP 0.999961
la el DA0FS0 0.98926
escritura escritura NCFS000 0.874644
pública público AQ0FS00 1
127,947 127.947 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
7_de_abril_de_2016 [??:7/4/2016:??.??:??] W 1
perteneciente perteneciente AQ0CS00 1
a a SP 1
el el DA0MS0 1
protocolo protocolo NCMS000 0.980769
de de SP 1
el el DA0MS0 1
Notario_Público notario_público NP00000 1
número número NCMS000 1
89 89 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ciudad_de_México ciudad_de_méxico NP00000 1
, , Fc 1
inscrita inscribir VMP00SF 1
en en SP 1
el el DA0MS0 1
Registro_Público_de_la_Propiedad registro_público_de_la_propiedad NP00000 1
y y CC 0.999989
de de SP 1
el el DA0MS0 1
Comercio_de_la_Ciudad_de_México comercio_de_la_ciudad_de_méxico NP00000 1
en en SP 1
el el DA0MS0 1
folio folio NCMS000 0.989726
mercantil mercantil AQ0CS00 1
electrónico electrónico AQ0MS00 1
número número NCMS000 1
264545 264545 Z 1
con con SP 1
fecha fecha NCFS000 0.990741
26_de_abril_de_2016 [??:26/4/2016:??.??:??] W 1
. . Fp 1

b b NCFS000 1
) ) Fpt 1
Domicilio domicilio NP00000 1
en en SP 1
el el DA0MS0 1
territorio territorio NCMS000 1
nacional nacional AQ0CS00 1
. . Fp 1

Nokia nokia NP00000 1
señaló señalar VMIS3S0 1
un uno DI0MS0 0.99698
domicilio domicilio NCMS000 0.995868
en en SP 1
territorio territorio NCMS000 1
nacional nacional AQ0CS00 1
y y CC 0.999989
lo lo PP3MSA0 0.334764
acreditó acreditar VMIS3S0 1
con con SP 1
copia copia NCFS000 0.874645
simple simple AQ0CS00 0.997312
de de SP 1
el el DA0MS0 1
comprobante comprobante NCMS000 1
correspondiente correspondiente AQ0CS00 0.993421
. . Fp 1

II ii NP00000 0.47288
. . Fp 1

Características_Generales_de_el_Proyecto características_generales_de_el_proyecto NP00000 1
. . Fp 1

A_través_de a_través_de SP 1
el el DA0MS0 1
Formato_IFT-Concesión_Espectro_Radioeléctrico_Tipo_B. formato_ift-concesión_espectro_radioeléctrico_tipo_b. NP00000 1
, , Fc 1
Nokia nokia NP00000 1
detalló detallar VMIS3S0 1
su su DP3CSN 1
proyecto proyecto NCMS000 0.999084
, , Fc 1
anexando anexar VMG0000 1
información información NCFS000 1
relativa relativo AQ0FS00 1
a a SP 0.998775
la el DA0FS0 0.98926
descripción descripción NCFS000 1
de de SP 1
el el DA0MS0 1
mismo mismo AQ0MS00 0.802208
, , Fc 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
consiste consistir VMIP3S0 0.993421
en en SP 1
llevar_a_cabo llevar_a_cabo VMN0000 1
mediciones medición NCFP000 1
en en SP 1
campo campo NCMS000 0.99867
en en SP 1
diversas diverso DI0FP0 0.805344
localidades localidad NCFP000 1
de de SP 1
el el DA0MS0 1
país país NCMS000 1
, , Fc 1
durante durante SP 1
un uno DI0MS0 0.99698
periodo periodo NCMS000 1
de de SP 0.999961
seis 6 Z 1
meses mes NCMP000 0.999436
, , Fc 1
cubriendo cubrir VMG0000 1
ambientes ambiente NCMP000 0.68093
diversos diverso AQ0MP00 0.0614035
como como CS 0.967153
son ser VSIP3P0 0.995197
zonas zona NCFP000 1
urbanas urbano AQ0FP00 1
, , Fc 1
rurales rural AQ0CP00 1
y y CC 0.999989
rurales rural AQ0CP00 1
montañosas montañoso AQ0FP00 1
, , Fc 1
para para SP 0.999834
posteriormente posteriormente RG 1
poder poder VMN0000 0.393475
calibrar calibrar VMN0000 1
su su DP3CSN 1
modelo modelo NCCS000 0.99763
de de SP 0.999961
propagación propagación NCFS000 1
para para SP 0.999834
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 0.999961
700 700 Z 1
MHz mhz NP00000 1
. . Fp 1

Dentro_de dentro_de SP 1
los el DA0MP0 0.992728
requerimientos requerimiento NCMP000 1
de de SP 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
Nokia nokia NP00000 1
señala señalar VMIP3S0 0.997076
que que CS 0.449861
emplearía emplear VMIC3S0 0.649993
dos 2 Z 0.999868
segmentos segmento NCMP000 1
de de SP 0.999961
20 20 Z 1
MHz mhz NP00000 1
cada cada DI0CS0 1
uno uno PI0MS00 0.981709
en en SP 1
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
700 700 Z 1
MHz mhz NP00000 1
, , Fc 1
el el DA0MS0 1
primero 1 AO0MS00 0.686916
de de SP 0.999961
715 715 Z 1
a a SP 0.998775
735 735 Z 1
MHz mhz NP00000 1
y y CC 0.999989
el el DA0MS0 1
segundo segundo NCMS000 0.09797
de de SP 0.999961
770 770 Z 1
a a SP 0.998775
790 790 Z 1
MHz mhz NP00000 1
, , Fc 1
es ser VSIP3S0 1
decir decir VMN0000 0.998575
, , Fc 1
solicita solicitar VMIP3S0 0.989241
se se P00CN00 0.494509
le le PP3CSD0 1
conceda conceder VMSP3S0 0.634861
el el DA0MS0 1
uso uso NCMS000 0.998047
de de SP 0.999961
40 40 Z 1
MHz mhz NP00000 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
presentó presentar VMIS3S0 1
la el DA0FS0 0.98926
relación relación NCFS000 1
de de SP 0.999961
equipos equipo NCMP000 1
que que PR0CN00 0.550139
conformarán conformar VMIF3P0 1
la el DA0FS0 0.98926
red red NCFS000 1
, , Fc 1
siendo ser VSG0000 1
tres 3 Z 1
equipos equipo NCMP000 1
generadores generador AQ0MP00 0.381292
de de SP 0.999961
onda onda NCFS000 1
continua continuo AQ0FS00 1
y y CC 0.999989
diversos diverso DI0MP0 0.938596
equipos equipo NCMP000 1
receptores receptor AQ0MP00 0.436294
, , Fc 1
los el DA0MP0 0.992728
cuales cual PR0CP00 1
estarán estar VMIF3P0 0.994505
montados montar VMP00PM 0.623641
a_bordo a_bordo RG 1
de de SP 0.999961
vehículos vehículo NCMP000 1
de de SP 0.999961
baja bajo AQ0FS00 0.414835
velocidad velocidad NCFS000 1
con con SP 1
los el DA0MP0 0.992728
cuales cual PR0CP00 1
se se P00CN00 0.494509
pretende pretender VMIP3S0 0.996894
cubrir cubrir VMN0000 1
las el DA0FP0 0.988184
localidades localidad NCFP000 1
que que PR0CN00 0.550139
menciona mencionar VMIP3S0 0.989241
en en SP 1
su su DP3CSN 1
proyecto proyecto NCMS000 0.999084
. . Fp 1

Lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
se se P00CN00 0.494509
acompaña acompañar VMIP3S0 0.989241
de de SP 0.999961
la el DA0FS0 0.98926
cotización cotización NCFS000 1
para para SP 0.999834
la el DA0FS0 0.98926
adquisición adquisición NCFS000 1
de de SP 0.999961
dichos decir VMP00PM 0.97619
equipos equipo NCMP000 1
, , Fc 1
la el DA0FS0 0.98926
cual cual PR0CS00 0.930743
fue ser VSIS3S0 0.980739
emitida emitir VMP00SF 1
dentro_de dentro_de SP 1
el el DA0MS0 1
lapso lapso NCMS000 1
de de SP 0.999961
los el DA0MP0 0.992728
seis 6 Z 1
meses mes NCMP000 0.999436
que que PR0CN00 0.550139
señalan señalar VMIP3P0 1
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
. . Fp 1

III iii NP00000 1
. . Fp 1

Capacidad capacidad NP00000 0.331016
jurídica jurídico AQ0FS00 1
, , Fc 1
técnica técnico AQ0FS00 0.294798
/ / Fh 1
administrativa administrativo AQ0FS00 0.661294
y y CC 0.999989
económica económico AQ0FS00 1
. . Fp 1

a a SP 0.998775
) ) Fpt 1
Capacidad capacidad NP00000 1
jurídica jurídico AQ0FS00 1
. . Fp 1

La el DA0FS0 0.98926
acreditación acreditación NCFS000 1
de de SP 0.999961
este este DD0MS0 0.949201
requisito requisito NCMS000 0.983871
quedó quedar VMIS3S0 1
satisfecha satisfacer VMP00SF 1
con con SP 1
la el DA0FS0 0.98926
presentación presentación NCFS000 1
tanto tanto RG 0.806143
de de SP 1
el el DA0MS0 1
documento documento NCMS000 0.997159
enunciado enunciar VMP00SM 0.604598
en en SP 1
el el DA0MS0 1
numeral numeral NCMS000 0.349312
I i NP00000 1
, , Fc 1
inciso inciso AQ0MS00 0.66114
a a SP 0.998775
) ) Fpt 1
de de SP 1
el el DA0MS0 1
presente presente AQ0CS00 0.524254
Considerando considerando NP00000 1
, , Fc 1
como como CS 0.967153
con con SP 1
la el DA0FS0 0.98926
copia copia NCFS000 0.874645
certificada certificar VMP00SF 1
de de SP 0.999961
la el DA0FS0 0.98926
escritura escritura NCFS000 0.874644
pública público AQ0FS00 1
128,100 128.1 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
26_de_abril_de_2016 [??:26/4/2016:??.??:??] W 1
perteneciente perteneciente AQ0CS00 1
a a SP 1
el el DA0MS0 1
protocolo protocolo NCMS000 0.980769
de de SP 1
el el DA0MS0 1
Notario_Público notario_público NP00000 1
número número NCMS000 1
89 89 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ciudad_de_México ciudad_de_méxico NP00000 1
, , Fc 1
que que PR0CN00 0.550139
contiene contener VMIP3S0 1
la el DA0FS0 0.98926
acreditación acreditación NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
representantes representante NCCP000 0.998221
legales legal AQ0CP00 0.993827
de de SP 0.999961
Nokia nokia NP00000 1
. . Fp 1

b b NCFS000 1
) ) Fpt 1
Capacidad capacidad NP00000 1
técnica técnico AQ0FS00 0.294798
/ / Fh 1
administrativa administrativo AQ0FS00 0.661294
. . Fp 1

Nokia nokia NP00000 1
acreditó acreditar VMIS3S0 1
este este DD0MS0 0.949201
requisito requisito NCMS000 0.983871
a a SP 1
el el DA0MS0 1
ser ser VSN0000 0.959637
uno uno PI0MS00 0.981709
de de SP 0.999961
los el DA0MP0 0.992728
principales principal AQ0CP00 0.998252
fabricantes fabricante NCCP000 0.98913
de de SP 0.999961
equipos equipo NCMP000 1
que que PR0CN00 0.550139
han haber VAIP3P0 0.999845
participado participar VMP00SM 1
en en SP 1
diversos diverso DI0MP0 0.938596
proyectos proyecto NCMP000 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
en en SP 1
nuestro nuestro DP1MSP 0.957064
país país NCMS000 1
como como CS 0.967153
proveedor proveedor NCMS000 1
de de SP 0.999961
diversos diverso DI0MP0 0.938596
operadores operador NCMP000 0.992958
. . Fp 1

c c NCFS000 1
) ) Fpt 1
Capacidad capacidad NP00000 1
económica económico AQ0FS00 1
. . Fp 1

Nokia nokia NP00000 1
acreditó acreditar VMIS3S0 1
contar contar VMN0000 1
con con SP 1
solvencia solvencia NCFS000 1
económica económico AQ0FS00 1
para para SP 0.999834
la el DA0FS0 0.98926
implementación implementación NCFS000 1
y y CC 0.999989
desarrollo desarrollo NCMS000 0.99884
de de SP 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
mediante mediante SP 0.99763
la el DA0FS0 0.98926
presentación presentación NCFS000 1
de de SP 0.999961
su su DP3CSN 1
última último AO0FS00 1
declaración declaración NCFS000 1
anual anual AQ0CS00 1
de de SP 1
el el DA0MS0 1
Impuesto_Sobre_la_Renta impuesto_sobre_la_renta NP00000 1
. . Fp 1

IV iv NP00000 0.47288
. . Fp 1

Pago pago NCMS000 0.99061
por por SP 1
análisis análisis NCMN000 1
de de SP 0.999961
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
. . Fp 1

Nokia nokia NP00000 1
acreditó acreditar VMIS3S0 1
el el DA0MS0 1
pago pago NCMS000 0.995283
por por SP 1
estudio estudio NCMS000 0.97043
de de SP 0.999961
su su DP3CSN 1
solicitud solicitud NCFS000 1
y y CC 0.999989
expedición expedición NCFS000 1
de de SP 1
el el DA0MS0 1
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
, , Fc 1
en en SP 1
cumplimiento cumplimiento NCMS000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
173 173 Z 1
apartado apartado NCMS000 0.663043
B b NP00000 1
, , Fc 1
fracción fracción NCFS000 1
II ii NP00000 1
, , Fc 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Derechos ley_federal_de_derechos NP00000 1
, , Fc 1
por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
de de SP 0.999961
igual igual AQ0CS00 0.592493
forma forma NCFS000 0.987798
se se P00CN00 0.494509
tiene tener VMIP3S0 1
por por SP 1
acreditado acreditar VMP00SM 0.623747
este este DD0MS0 0.949201
requisito requisito NCMS000 0.983871
. . Fp 1

No_obstante no_obstante CC 1
el el DA0MS0 1
cumplimiento cumplimiento NCMS000 1
de de SP 0.999961
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
anteriores anterior AQ0CP00 1
, , Fc 1
por por SP 1
