ACUERDO_MEDIANTE_EL_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES acuerdo_mediante_el_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
acordar acordar VMN0000 1
entre entre SP 0.980341
otros otro DI0MP0 0.745978
elementos elemento NCMP000 1
, , Fc 1
las el DA0FP0 0.988184
ciudades ciudad NCFP000 1
, , Fc 1
los el DA0MP0 0.992728
puntos punto NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
IP ip NP00000 1
, , Fc 1
los el DA0MP0 0.992728
volúmenes volumen NCMP000 1
de de SP 0.999961
tráfico tráfico NCMS000 1
, , Fc 1
el el DA0MS0 1
calendario calendario NCMS000 1
de de SP 0.999961
migración migración NCFS000 1
y y CC 0.999989
los el DA0MP0 0.992728
demás demás PI0CP00 0.719907
que que PR0CN00 0.550139
sean ser VSSP3P0 0.996689
necesarios necesario AQ0MP00 1
para para SP 0.999834
el el DA0MS0 1
correcto correcto AQ0MS00 1
funcionamiento funcionamiento NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
interconexión interconexión NCFS000 1
mediante mediante SP 0.99763
protocolo protocolo NCMS000 0.980769
IP ip NP00000 1
. . Fp 1

En en SP 1
este este DD0MS0 0.949201
sentido sentido NCMS000 0.940835
, , Fc 1
es ser VSIP3S0 1
importante importante AQ0CS00 1
que que CS 0.449861
a_efecto_de a_efecto_de SP 1
que que CS 0.449861
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
que que PR0CN00 0.550139
operan operar VMIP3P0 1
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
participen participar VMSP3P0 0.97619
de de SP 0.999961
manera manera NCFS000 1
efectiva efectivo AQ0FS00 1
en en SP 1
la el DA0FS0 0.98926
definición definición NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
diversos diverso DI0MP0 0.938596
aspectos aspecto NCMP000 1
técnicos técnico AQ0MP00 0.287234
concernientes concerniente AQ0CP00 1
a a SP 1
el el DA0MS0 1
Comité_Técnico comité_técnico NP00000 1
, , Fc 1
designen designar VMSP3P0 0.941964
personas persona NCFP000 0.999585
que que PR0CN00 0.550139
representen representar VMSP3P0 0.941964
sus su DP3CPN 0.999903
intereses interés NCMP000 0.99763
, , Fc 1
por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
se se P00CN00 0.494509
requiere requerir VMIP3S0 0.945545
que que CS 0.449861
dichos decir VMP00PM 0.97619
nombramientos nombramiento NCMP000 1
sean ser VSSP3P0 0.996689
realizados realizar VMP00PM 1
por por SP 1
su su DP3CSN 1
representante representante NCCS000 0.996689
legal legal AQ0CS00 1
. . Fp 1

Razón razón NP00000 0.331016
por por SP 1
la el DA0FS0 0.98926
cual cual PR0CS00 0.930743
es ser VSIP3S0 1
necesario necesario AQ0MS00 1
establecer establecer VMN0000 1
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
que que PR0CN00 0.550139
deberán deber VMIF3P0 1
de de SP 0.999961
ser ser VSN0000 0.959637
cubiertos cubrir VMP00PM 0.738095
para para SP 0.999834
regular regular VMN0000 0.5
el el DA0MS0 1
funcionamiento funcionamiento NCMS000 1
de de SP 0.999961
dicho decir VMP00SM 0.997159
Comité comité NP00000 1
, , Fc 1
que que PR0CN00 0.550139
para para SP 0.999834
su su DP3CSN 1
instalación instalación NCFS000 1
deberán deber VMIF3P0 1
ser ser VSN0000 0.959637
convocados convocar VMP00PM 1
por por SP 1
el el DA0MS0 1
Presidente_de_el_Comité presidente_de_el_comité NP00000 1
quién quién PT0CS00 0.997449
suscribirá suscribir VMIF3S0 1
la el DA0FS0 0.98926
convocatoria convocatoria NCFS000 0.993827
invitando invitar VMG0000 1
a a SP 0.998775
todos todo DI0MP0 0.70665
y y CC 0.999989
cada cada DI0CS0 1
uno uno PI0MS00 0.981709
de de SP 0.999961
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
que que PR0CN00 0.550139
operen operar VMSP3P0 0.941964
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
. . Fp 1

El el DA0MS0 1
Instituto instituto NP00000 1
podrá poder VMIF3S0 1
revocar revocar VMN0000 1
los el DA0MP0 0.992728
acuerdos acuerdo NCMP000 1
de de SP 1
el el DA0MS0 1
Comité comité NP00000 1
, , Fc 1
cuando cuando CS 0.86298
estos este PD0MP00 0.0279912
vayan ir VMSP3P0 0.986111
en_contra_de en_contra_de SP 1
el el DA0MS0 1
desarrollo desarrollo NCMS000 0.99884
eficiente eficiente AQ0CS00 1
de de SP 0.999961
las el DA0FP0 0.988184
telecomunicaciones telecomunicación NCFP000 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
lo el DA00S0 0.665165
señalado señalar VMP00SM 1
en en SP 1
la el DA0FS0 0.98926
normatividad normatividad NCFS000 1
aplicable aplicable AQ0CS00 1
o o CC 0.999864
cuando cuando CS 0.86298
se se P00CN00 0.494509
afecte afectar VMSP1S0 0.634863
la el DA0FS0 0.98926
competencia competencia NCFS000 1
y y CC 0.999989
la el DA0FS0 0.98926
libre libre AQ0CS00 0.957522
concurrencia concurrencia NCFS000 1
. . Fp 1

En en SP 1
este este DD0MS0 0.949201
sentido sentido NCMS000 0.940835
, , Fc 1
a_efecto_de a_efecto_de SP 1
que que CS 0.449861
el el DA0MS0 1
Instituto instituto NP00000 1
ejerza ejercer VMSP1S0 0.634863
las el DA0FP0 0.988184
funciones función NCFP000 0.994186
de de SP 0.999961
presidir presidir VMN0000 1
y y CC 0.999989
coordinar coordinar VMN0000 1
el el DA0MS0 1
multicitado multicitado VMP00SM 1
Comité_Técnico comité_técnico NP00000 1
, , Fc 1
es ser VSIP3S0 1
necesario necesario AQ0MS00 1
contar contar VMN0000 1
con con SP 1
reglas regla NCFP000 0.994505
de de SP 0.999961
operación operación NCFS000 1
que que PR0CN00 0.550139
otorguen otorgar VMSP3P0 0.941964
claridad claridad NCFS000 1
en en SP 1
la el DA0FS0 0.98926
toma toma NCFS000 0.551913
de de SP 0.999961
decisiones decisión NCFP000 1
y y CC 0.999989
resolución resolución NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
temas tema NCMP000 0.99505
tratados tratar VMP00PM 0.303922
, , Fc 1
con con SP 1
la el DA0FS0 0.98926
finalidad finalidad NCFS000 1
de de SP 0.999961
permitir permitir VMN0000 1
un uno DI0MS0 0.99698
funcionamiento funcionamiento NCMS000 1
ordenado ordenar VMP00SM 1
de de SP 0.999961
los el DA0MP0 0.992728
integrantes integrante NCCP000 0.598039
de de SP 1
el el DA0MS0 1
Comité comité NP00000 1
, , Fc 1
que que PR0CN00 0.550139
promueva promover VMSP3S0 0.634863
el el DA0MS0 1
consenso consenso NCMS000 1
y y CC 0.999989
otorgando otorgar VMG0000 1
con con SP 1
ello ello PD00S00 1
certeza certeza NCFS000 1
a a SP 0.998775
sus su DP3CPN 0.999903
decisiones decisión NCFP000 1
. . Fp 1

Por por SP 1
lo el DA00S0 0.665165
antes antes RG 1
expuesto exponer VMP00SM 1
y y CC 0.999989
con con SP 1
fundamento fundamento NCMS000 0.97619
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
6 6 Z 1
y y CC 0.999989
28 28 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
; ; Fx 1
1 1 Z 1
, , Fc 1
2 2 Z 1
, , Fc 1
3 3 Z 1
, , Fc 1
7 7 Z 1
, , Fc 1
15 15 Z 1
fracciones fracción NCFP000 0.998103
I i NP00000 1
y y CC 0.999989
IX ix NP00000 1
, , Fc 1
16 16 Z 1
, , Fc 1
17 17 Z 1
fracción fracción NCFS000 1
I i NP00000 1
, , Fc 1
120 120 Z 1
, , Fc 1
127 127 Z 1
y y CC 0.999989
137 137 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
1 1 Z 1
, , Fc 1
4 4 Z 1
fracción fracción NCFS000 1
I i NP00000 1
, , Fc 1
6 6 Z 1
fracciones fracción NCFP000 0.998103
I i NP00000 1
y y CC 0.999989
IV iv NP00000 1
y y CC 0.999989
14 14 Z 1
fracción fracción NCFS000 1
VIII_de_el_Estatuto_Orgánico_de_el_Instituto_Federal_de_Telecomunicaciones viii_de_el_estatuto_orgánico_de_el_instituto_federal_de_telecomunicaciones NP00000 1
, , Fc 1
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
emite emitir VMIP3S0 0.989238
los el DA0MP0 0.992728
siguientes siguiente AQ0CP00 1
: : Fd 1
ACUERDOS_PRIMERO acuerdos_primero NP00000 1
. . Fp 1
- - Fg 1
El el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
establece establecer VMIP3S0 0.992424
el el DA0MS0 1
Comité_Técnico comité_técnico NP00000 1
para para SP 0.999834
la el DA0FS0 0.98926
migración migración NCFS000 1
de de SP 0.999961
interconexiones interconexión NCFP000 1
entre entre SP 0.980341
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
mediante mediante SP 0.99763
protocolo protocolo NCMS000 0.980769
de de SP 0.999961
señalización señalización NCFS000 1
PAUSI-MX pausi-mx NP00000 1
a a SP 0.998775
interconexiones interconexión NCFP000 1
mediante mediante SP 0.99763
protocolo protocolo NCMS000 0.980769
de de SP 0.999961
señalización señalización NCFS000 1
SIP-IP sip-ip NP00000 1
. . Fp 1

SEGUNDO 2 AO0MS00 0.900353
. . Fp 1
- - Fg 1
El el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
expide expedir VMIP3S0 0.989241
las el DA0FP0 0.988184
Reglas_de_Operación_de_el_Comité_Técnico reglas_de_operación_de_el_comité_técnico NP00000 1
para para SP 0.999834
la el DA0FS0 0.98926
migración migración NCFS000 1
de de SP 0.999961
interconexiones interconexión NCFP000 1
mediante mediante SP 0.99763
protocolo protocolo NCMS000 0.980769
de de SP 0.999961
señalización señalización NCFS000 1
PAUSI-MX pausi-mx NP00000 1
a a SP 0.998775
interconexiones interconexión NCFP000 1
mediante mediante SP 0.99763
protocolo protocolo NCMS000 0.980769
de de SP 0.999961
señalización señalización NCFS000 1
SIP sip NP00000 1
, , Fc 1
en en SP 1
términos término NCMP000 1
de de SP 1
el el DA0MS0 1
Anexo anexo NP00000 1
1 1 Z 1
de de SP 1
el el DA0MS0 1
presente presente AQ0CS00 0.524254
Acuerdo acuerdo NP00000 1
. . Fp 1

TERCERO 3 AO0MS00 0.986928
. . Fp 1
- - Fg 1
El el DA0MS0 1
Comisionado_Presidente_de_el_Instituto_Federal_de_Telecomunicaciones comisionado_presidente_de_el_instituto_federal_de_telecomunicaciones NP00000 1
designará designar VMIF3S0 1
a a SP 1
el el DA0MS0 1
Presidente presidente NP00000 1
y y CC 0.999989
a a SP 1
el el DA0MS0 1
secretario secretario NCMS000 1
de de SP 1
el el DA0MS0 1
Comité_Técnico comité_técnico NP00000 1
para para SP 0.999834
la el DA0FS0 0.98926
migración migración NCFS000 1
de de SP 0.999961
interconexiones interconexión NCFP000 1
mediante mediante SP 0.99763
protocolo protocolo NCMS000 0.980769
de de SP 0.999961
señalización señalización NCFS000 1
PAUSI-MX pausi-mx NP00000 1
a a SP 0.998775
interconexiones interconexión NCFP000 1
mediante mediante SP 0.99763
protocolo protocolo NCMS000 0.980769
de de SP 0.999961
señalización señalización NCFS000 1
SIP sip NP00000 1
, , Fc 1
así_como así_como CC 1
a a SP 0.998775
sus su DP3CPN 0.999903
respectivos respectivo AQ0MP00 1
suplentes suplente NCCP000 0.638706
. . Fp 1

El el DA0MS0 1
presente presente NCMS000 0.244403
Acuerdo acuerdo NP00000 1
fue ser VSIS3S0 0.980739
aprobado aprobar VMP00SM 0.958015
por por SP 1
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
en en SP 1
su su DP3CSN 1
I_Sesión_Ordinaria i_sesión_ordinaria NP00000 1
celebrada celebrar VMP00SF 1
el el DA0MS0 1
17_de_enero_de_2018 [??:17/1/2018:??.??:??] W 1
, , Fc 1
por por SP 1
unanimidad unanimidad NCFS000 1
de de SP 0.999961
votos voto NCMP000 1
de de SP 0.999961
los el DA0MP0 0.992728
Comisionados_Gabriel_Oswaldo_Contreras_Saldívar comisionados_gabriel_oswaldo_contreras_saldívar NP00000 1
, , Fc 1
Adriana_Sofía_Labardini_Inzunza adriana_sofía_labardini_inzunza NP00000 1
, , Fc 1
María_Elena_Estavillo_Flores maría_elena_estavillo_flores NP00000 1
, , Fc 1
Mario_Germán_Fromow_Rangel mario_germán_fromow_rangel NP00000 1
, , Fc 1
Adolfo_Cuevas_Teja adolfo_cuevas_teja NP00000 1
, , Fc 1
Javier_Juárez_Mojica javier_juárez_mojica NP00000 1
y y CC 0.999989
Arturo_Robles_Rovalo arturo_robles_rovalo NP00000 1
; ; Fx 1
con con SP 1
fundamento fundamento NCMS000 0.97619
en en SP 1
los el DA0MP0 0.992728
párrafos párrafo NCMP000 1
vigésimo 20 AO0MS00 1
, , Fc 1
fracciones fracción NCFP000 0.998103
I i NP00000 1
y y CC 0.999989
III iii NP00000 1
; ; Fx 1
y y CC 0.999989
vigésimo 20 AO0MS00 1
primero 1 AO0MS00 0.686916
, , Fc 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
28 28 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
; ; Fx 1
artículos artículo NCMP000 1
7 7 Z 1
, , Fc 1
16 16 Z 1
y y CC 0.999989
45 45 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
; ; Fx 1
así_como así_como CC 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
1 1 Z 1
, , Fc 1
7 7 Z 1
, , Fc 1
8 8 Z 1
y y CC 0.999989
12 12 Z 1
de de SP 1
el el DA0MS0 1
Estatuto_Orgánico_de_el_Instituto_Federal_de_Telecomunicaciones estatuto_orgánico_de_el_instituto_federal_de_telecomunicaciones NP00000 1
, , Fc 1
mediante mediante SP 0.99763
Acuerdo acuerdo NP00000 1
P/IFT/170118/3 P/IFT/170118/3 Z 1
. . Fp 1

ANEXO anexo NCMS000 0.622706
1 1 Z 1
REGLAS_DE_OPERACIÓN_DE_EL_COMITÉ_TÉCNICO_PARA_LA_MIGRACIÓN_DE_INTERCONEXIONES_ENTRE_REDES_PÚBLICAS_DE_TELECOMUNICACIONES_MEDIANTE_PROTOCOLO_DE_SEÑALIZACIÓN_PAUSI-MX_A_INTERCONEXIONES_MEDIANTE_PROTOCOLO_DE_SEÑALIZACIÓN_SIP-IP_CAPÍTULO_I_DE_LAS_DISPOSICIONES_GENERALES_Regla_Primera reglas_de_operación_de_el_comité_técnico_para_la_migración_de_interconexiones_entre_redes_públicas_de_telecomunicaciones_mediante_protocolo_de_señalización_pausi-mx_a_interconexiones_mediante_protocolo_de_señalización_sip-ip_capítulo_i_de_las_disposiciones_generales_regla_primera NP00000 1
. . Fp 1

Las el DA0FP0 0.988184
presentes presente AQ0CP00 0.856209
Reglas reglas NP00000 1
tienen tener VMIP3P0 1
como como CS 0.967153
objeto objeto NCMS000 0.996183
establecer establecer VMN0000 1
la el DA0FS0 0.98926
estructura estructura NCFS000 0.954373
y y CC 0.999989
operación operación NCFS000 1
de de SP 1
el el DA0MS0 1
Comité_Técnico comité_técnico NP00000 1
para para SP 0.999834
la el DA0FS0 0.98926
migración migración NCFS000 1
de de SP 0.999961
interconexiones interconexión NCFP000 1
entre entre SP 0.980341
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
mediante mediante SP 0.99763
protocolo protocolo NCMS000 0.980769
de de SP 0.999961
señalización señalización NCFS000 1
PAUSI-MX pausi-mx NP00000 1
a a SP 0.998775
interconexiones interconexión NCFP000 1
mediante mediante SP 0.99763
protocolo protocolo NCMS000 0.980769
de de SP 0.999961
señalización señalización NCFS000 1
SIP-IP sip-ip NP00000 1
. . Fp 1

Regla_Segunda regla_segunda NP00000 1
. . Fp 1

Para para SP 0.999834
efectos efecto NCMP000 1
de de SP 0.999961
las el DA0FP0 0.988184
presentes presente AQ0CP00 0.856209
reglas regla NCFP000 0.994505
, , Fc 1
los el DA0MP0 0.992728
siguientes siguiente AQ0CP00 1
términos término NCMP000 1
tendrán tener VMIF3P0 1
el el DA0MS0 1
significado significado NCMS000 0.569444
que que PR0CN00 0.550139
a a SP 0.998775
continuación continuación NCFS000 1
se se P00CN00 0.494509
indica indicar VMIP3S0 0.995495
: : Fd 1
Acuerdo_de_CTM acuerdo_de_ctm NP00000 1
2018 2018 Z 1
: : Fd 1
Acuerdo acuerdo NCMS000 0.991798
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
establece establecer VMIP3S0 0.992424
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
técnicas técnico AQ0FP00 0.300493
mínimas mínimo AQ0FP00 0.986111
para para SP 0.999834
la el DA0FS0 0.98926
interconexión interconexión NCFS000 1
entre entre SP 0.980341
concesionarios concesionario NCMP000 0.62798
que que PR0CN00 0.550139
operen operar VMSP3P0 0.941964
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
determina determinar VMIP3S0 0.989241
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
interconexión interconexión NCFS000 1
resultado resultado NCMS000 0.924877
de de SP 0.999961
la el DA0FS0 0.98926
metodología metodología NCFS000 1
para para SP 0.999834
el el DA0MS0 1
cálculo cálculo NCMS000 1
de de SP 0.999961
costos costo NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
que que PR0CN00 0.550139
estarán estar VMIF3P0 0.994505
vigentes vigente AQ0CP00 1
de de SP 1
el el DA0MS0 1
1_de_enero [??:1/1/??:??.??:??] W 1
a a SP 1
el el DA0MS0 1
31_de_diciembre_de_2018 [??:31/12/2018:??.??:??] W 1
. . Fp 1

Comité comité NCMS000 0.668984
: : Fd 1
Comité_Técnico comité_técnico NP00000 1
para para SP 0.999834
la el DA0FS0 0.98926
migración migración NCFS000 1
de de SP 0.999961
interconexiones interconexión NCFP000 1
mediante mediante SP 0.99763
protocolo protocolo NCMS000 0.980769
de de SP 0.999961
señalización señalización NCFS000 1
PAUSI-MX pausi-mx NP00000 1
a a SP 0.998775
interconexiones interconexión NCFP000 1
mediante mediante SP 0.99763
protocolo protocolo NCMS000 0.980769
de de SP 0.999961
señalización señalización NCFS000 1
SIP-IP sip-ip NP00000 1
, , Fc 1
integrado integrar VMP00SM 1
por por SP 1
los el DA0MP0 0.992728
Concesionarios concesionarios NP00000 1
y y CC 0.999989
el el DA0MS0 1
Instituto instituto NP00000 1
. . Fp 1

Concesionario concesionario NCMS000 0.488719
: : Fd 1
Persona persona NCFS000 0.995033
física físico AQ0FS00 0.619632
o o CC 0.999864
moral moral AQ0CS00 0.519841
, , Fc 1
titular titular NCCS000 0.820663
de de SP 0.999961
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
para para SP 0.999834
prestar prestar VMN0000 1
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
a_través_de a_través_de SP 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
. . Fp 1

Instituto instituto NCMS000 0.668984
: : Fd 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
. . Fp 1

Presidente_de_el_Comité presidente_de_el_comité NP00000 1
: : Fd 1
Servidor_Público servidor_público NP00000 1
designado designar VMP00SM 1
por por SP 1
el el DA0MS0 1
Comisionado_Presidente_de_el_Instituto comisionado_presidente_de_el_instituto NP00000 1
para para SP 0.999834
presidir presidir VMN0000 1
y y CC 0.999989
coordinar coordinar VMN0000 1
el el DA0MS0 1
Comité comité NP00000 1
. . Fp 1

Representante representante NCCS000 0.993399
: : Fd 1
Persona persona NCFS000 0.995033
física físico AQ0FS00 0.619632
designada designar VMP00SF 1
por por SP 1
el el DA0MS0 1
Concesionario concesionario NP00000 1
para para SP 0.999834
actuar actuar VMN0000 1
en en SP 1
su su DP3CSN 1
nombre nombre NCMS000 0.995342
y y CC 0.999989
representación representación NCFS000 1
en en SP 1
el el DA0MS0 1
Comité comité NP00000 1
, , Fc 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
en en SP 1
la el DA0FS0 0.98926
Regla_Quinta regla_quinta NP00000 1
de de SP 0.999961
las el DA0FP0 0.988184
presentes presente AQ0CP00 0.856209
Reglas_de_Operación reglas_de_operación NP00000 1
. . Fp 1

Secretario secretario NCMS000 0.668984
: : Fd 1
Servidor_Público servidor_público NP00000 1
designado designar VMP00SM 1
por por SP 1
el el DA0MS0 1
Comisionado_Presidente_de_el_Instituto comisionado_presidente_de_el_instituto NP00000 1
para para SP 0.999834
dar dar VMN0000 1
seguimiento seguimiento NCMS000 1
a a SP 0.998775
las el DA0FP0 0.988184
sesiones sesión NCFP000 1
de de SP 1
el el DA0MS0 1
Comité comité NP00000 1
. . Fp 1

Unanimidad unanimidad NCFS000 0.668984
: : Fd 1
Cuando cuando CS 0.86298
los el DA0MP0 0.992728
votos voto NCMP000 1
emitidos emitir VMP00PM 1
por por SP 1
parte parte NCCS000 0.977711
de de SP 0.999961
todos todo DI0MP0 0.70665
los el DA0MP0 0.992728
Representantes representantes NP00000 1
presentes presente AQ0CP00 0.856209
a a SP 1
el el DA0MS0 1
momento momento NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
votación votación NCFS000 1
sean ser VSSP3P0 0.996689
en en SP 1
el el DA0MS0 1
mismo mismo AQ0MS00 0.802208
sentido sentido NCMS000 0.940835
, , Fc 1
sin sin SP 1
considerar considerar VMN0000 1
las el DA0FP0 0.988184
abstenciones abstención NCFP000 1
. . Fp 1

Regla_Tercera regla_tercera NP00000 1
. . Fp 1

Con con SP 1
apego apego NCMS000 1
a a SP 0.998775
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
en en SP 1
el el DA0MS0 1
Acuerdo_de_CTM acuerdo_de_ctm NP00000 1
2018 2018 Z 1
, , Fc 1
el el DA0MS0 1
Comité comité NP00000 1
tendrá tener VMIF3S0 1
las el DA0FP0 0.988184
siguientes siguiente AQ0CP00 1
funciones función NCFP000 0.994186
: : Fd 1
Acordar acordar VMN0000 1
las el DA0FP0 0.988184
ciudades ciudad NCFP000 1
, , Fc 1
los el DA0MP0 0.992728
puntos punto NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
IP ip NP00000 1
, , Fc 1
los el DA0MP0 0.992728
volúmenes volumen NCMP000 1
de de SP 0.999961
tráfico tráfico NCMS000 1
, , Fc 1
y y CC 0.999989
el el DA0MS0 1
calendario calendario NCMS000 1
de de SP 0.999961
migración migración NCFS000 1
. . Fp 1

Las el DA0FP0 0.988184
demás demás PI0CP00 0.719907
que que PR0CN00 0.550139
sean ser VSSP3P0 0.996689
necesarias necesario AQ0FP00 1
para para SP 0.999834
el el DA0MS0 1
correcto correcto AQ0MS00 1
funcionamiento funcionamiento NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
interconexión interconexión NCFS000 1
mediante mediante SP 0.99763
protocolo protocolo NCMS000 0.980769
IP ip NP00000 1
. . Fp 1

CAPITULO_II_DE_LA_INTEGRACIÓN_Y_OPERACIÓN_DE_EL_COMITÉ_Regla_Cuarta capitulo_ii_de_la_integración_y_operación_de_el_comité_regla_cuarta NP00000 1
. . Fp 1

El el DA0MS0 1
Comité comité NP00000 1
tendrá tener VMIF3S0 1
el el DA0MS0 1
carácter carácter NCMS000 1
de de SP 0.999961
permanente permanente AQ0CS00 0.932099
y y CC 0.999989
estará estar VMIF3S0 0.996988
integrado integrar VMP00SM 1
de de SP 0.999961
manera manera NCFS000 1
obligatoria obligatorio AQ0FS00 0.661294
por por SP 1
los el DA0MP0 0.992728
Concesionarios concesionarios NP00000 1
de de SP 0.999961
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
que que PR0CN00 0.550139
mantengan mantener VMSP3P0 0.941964
interconexiones interconexión NCFP000 1
con con SP 1
tecnología tecnología NCFS000 1
TDM tdm NP00000 1
y y CC 0.999989
el el DA0MS0 1
Instituto instituto NP00000 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
podrán poder VMIF3P0 1
participar participar VMN0000 1
aquellos aquel DD0MP0 0.593168
Concesionarios concesionarios NP00000 1
que que PR0CN00 0.550139
únicamente únicamente RG 1
cuenten contar VMSP3P0 0.941964
con con SP 1
interconexiones interconexión NCFP000 1
IP ip NP00000 1
y y CC 0.999989
que que CS 0.449861
hayan haber VASP3P0 0.994792
manifestado manifestar VMP00SM 1
su su DP3CSN 1
interés interés NCMS000 1
a a SP 1
el el DA0MS0 1
respecto respecto NCMS000 0.989726
. . Fp 1

Regla_Quinta regla_quinta NP00000 1
. . Fp 1

Los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
, , Fc 1
o_bien o_bien CC 1
sus su DP3CPN 0.999903
representantes representante NCCP000 0.998221
legales legal AQ0CP00 0.993827
, , Fc 1
deberán deber VMIF3P0 1
presentar presentar VMN0000 1
en en SP 1
la el DA0FS0 0.98926
Oficialía_de_Partes_de_el_Instituto oficialía_de_partes_de_el_instituto NP00000 1
, , Fc 1
escrito escrito NCMS000 0.466887
dirigido dirigir VMP00SM 1
a a SP 1
el el DA0MS0 1
Presidente_de_el_Comité presidente_de_el_comité NP00000 1
, , Fc 1
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
manifiesten manifestar VMSP3P0 0.941964
el el DA0MS0 1
nombre nombre NCMS000 0.995342
de de SP 0.999961
las el DA0FP0 0.988184
personas persona NCFP000 0.999585
físicas físico AQ0FP00 0.962264
que que PR0CN00 0.550139
serán ser VSIF3P0 1
sus su DP3CPN 0.999903
Representantes representantes NP00000 1
ante ante SP 0.999744
el el DA0MS0 1
Comité comité NP00000 1
, , Fc 1
señalando señalar VMG0000 1
número número NCMS000 1
telefónico telefónico AQ0MS00 1
y y CC 0.999989
dirección dirección NCFS000 1
de de SP 0.999961
correo correo NCMS000 0.98913
electrónico electrónico AQ0MS00 1
para para SP 0.999834
oír oír VMN0000 1
y y CC 0.999989
recibir recibir VMN0000 1
notificaciones notificación NCFP000 1
