RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_OTORGA_A_FAVOR_DE_LA_VOZ_DE_LA_MIXTECA resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_otorga_a_favor_de_la_voz_de_la_mixteca NP00000 1
, , Fc 1
la el DA0FS0 0.98926
solicitante solicitante NCCS000 0.97619
manifestó manifestar VMIS3S0 1
que que CS 0.449861
desea desear VMIP3S0 0.987805
establecer establecer VMN0000 1
programas programa NCMP000 0.996795
de de SP 0.999961
radio radio NCCS000 0.994505
y y CC 0.999989
actividades actividad NCFP000 1
externas externo AQ0FP00 0.661294
que que PR0CN00 0.550139
estén estar VMSP3P0 0.968085
basados basar VMP00PM 1
en en SP 1
el el DA0MS0 1
respeto respeto NCMS000 0.916667
, , Fc 1
afabilidad afabilidad NCFS000 1
, , Fc 1
inteligencia inteligencia NCFS000 1
y y CC 0.999989
educación educación NCFS000 1
, , Fc 1
elementos elemento NCMP000 1
que que PR0CN00 0.550139
considera considerar VMIP3S0 0.998721
generan generar VMIP3P0 1
una uno DI0FS0 0.951973
mejor mejor AQ0CS00 0.787388
convivencia convivencia NCFS000 1
. . Fp 1

En en SP 1
ese ese DD0MS0 0.966694
contexto contexto NCMS000 1
, , Fc 1
se se P00CN00 0.494509
considera considerar VMIP3S0 0.998721
que que CS 0.449861
lo el DA00S0 0.665165
descrito describir VMP00SM 1
por por SP 1
el el DA0MS0 1
interesado interesar VMP00SM 0.97619
en en SP 1
relación relación NCFS000 1
con con SP 1
este este DD0MS0 0.949201
principio principio NCMS000 0.997238
sí sí PP3CNO0 0.336127
resulta resultar VMIP3S0 0.993808
adecuado adecuar VMP00SM 1
ya_que ya_que CS 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
radio radio NCCS000 0.994505
se se P00CN00 0.494509
fomentarán fomentar VMIF3P0 1
valores valor NCMP000 0.99763
como como CS 0.967153
el el DA0MS0 1
respeto respeto NCMS000 0.916667
, , Fc 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
permitirá permitir VMIF3S0 1
a a SP 0.998775
los el DA0MP0 0.992728
radioescuchas radioescucha NCCP000 1
ser ser VSN0000 0.959637
tolerantes tolerante AQ0CP00 1
con con SP 1
la el DA0FS0 0.98926
expresión expresión NCFS000 1
de de SP 0.999961
ideas idea NCFP000 0.991031
de de SP 0.999961
otros otro DI0MP0 0.745978
integrantes integrante NCCP000 0.598039
de de SP 0.999961
la el DA0FS0 0.98926
comunidad comunidad NCFS000 1
; ; Fx 1
con con SP 1
el el DA0MS0 1
fomento fomento NCMS000 0.989717
de de SP 0.999961
la el DA0FS0 0.98926
afabilidad afabilidad NCFS000 1
se se P00CN00 0.494509
busca buscar VMIP3S0 0.556851
que que CS 0.449861
los el DA0MP0 0.992728
radioescuchas radioescucha NCCP000 1
e y CC 0.987994
integrantes integrante NCCP000 0.598039
de de SP 0.999961
la el DA0FS0 0.98926
comunidad comunidad NCFS000 1
sean ser VSSP3P0 0.996689
agradables agradable AQ0CP00 1
y y CC 0.999989
cordiales cordial AQ0CP00 0.661276
en en SP 1
el el DA0MS0 1
trato trato NCMS000 0.838542
con con SP 1
los el DA0MP0 0.992728
demás demás DI0CP0 0.280093
miembros miembro NCMP000 0.998938
de de SP 0.999961
la el DA0FS0 0.98926
comunidad comunidad NCFS000 1
; ; Fx 1
con con SP 1
la el DA0FS0 0.98926
inteligencia inteligencia NCFS000 1
se se P00CN00 0.494509
busca buscar VMIP3S0 0.556851
la el DA0FS0 0.98926
capacidad capacidad NCFS000 1
de de SP 0.999961
escuchar escuchar VMN0000 1
y y CC 0.999989
comportar comportar VMN0000 1
se se PP3CN00 1
ante ante SP 0.999744
otras otro DI0FP0 0.865408
personaS persona NCFP000 0.999585
y y CC 0.999989
con con SP 1
la el DA0FS0 0.98926
educación educación NCFS000 1
como como CS 0.967153
base base NCCS000 0.963722
de de SP 0.999961
una uno DI0FS0 0.951973
buena bueno AQ0FS00 1
convivencia convivencia NCFS000 1
se se P00CN00 0.494509
logrará lograr VMIF3S0 1
cumplir cumplir VMN0000 1
este este DD0MS0 0.949201
principio principio NCMS000 0.997238
. . Fp 1

Respecto_a respecto_a SP 1
el el DA0MS0 1
principio principio NCMS000 0.997238
de de SP 0.999961
equidad equidad NCFS000 1
la el DA0FS0 0.98926
solicitante solicitante NCCS000 0.97619
señaló señalar VMIS3S0 1
que que CS 0.449861
tendrá tener VMIF3S0 1
entre entre SP 0.980341
sus su DP3CPN 0.999903
diferentes diferente AQ0CP00 0.482818
objetivos objetivo NCMP000 0.962329
mejorar mejorar VMN0000 1
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
económicas económico AQ0FP00 1
, , Fc 1
sociales social AQ0CP00 0.997835
, , Fc 1
políticas político AQ0FP00 0.388735
y y CC 0.999989
culturales cultural AQ0CP00 1
de de SP 0.999961
la el DA0FS0 0.98926
sociedad sociedad NCFS000 1
en en SP 1
su su DP3CSN 1
conjunto conjunto NCMS000 0.866375
, , Fc 1
contribuir contribuir VMN0000 1
a a SP 0.998775
lograr lograr VMN0000 1
una uno DI0FS0 0.951973
ciudadanía ciudadanía NCFS000 1
más más RG 0.99993
integral integral AQ0CS00 0.661294
y y CC 0.999989
fortalecer fortalecer VMN0000 1
la el DA0FS0 0.98926
gobernabilidad gobernabilidad NCFS000 1
democrática democrático AQ0FS00 1
. . Fp 1

En en SP 1
particular particular NCCS000 0.172131
, , Fc 1
la el DA0FS0 0.98926
solicitante solicitante NCCS000 0.97619
señaló señalar VMIS3S0 1
que que CS 0.449861
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
radio radio NCCS000 0.994505
comunitaria comunitario AQ0FS00 1
se se P00CN00 0.494509
buscará buscar VMIF3S0 1
fomentar fomentar VMN0000 1
la el DA0FS0 0.98926
equidad equidad NCFS000 1
de de SP 0.999961
oportunidades oportunidad NCFP000 1
entre entre SP 0.980341
los el DA0MP0 0.992728
hombres hombre NCMP000 1
y y CC 0.999989
mujeres mujer NCFP000 1
de de SP 0.999961
la el DA0FS0 0.98926
comunidad comunidad NCFS000 1
. . Fp 1

En en SP 1
tal tal DD0CS0 0.672764
virtud virtud NCFS000 1
, , Fc 1
se se P00CN00 0.494509
considera considerar VMIP3S0 0.998721
que que CS 0.449861
lo el DA00S0 0.665165
manifestado manifestar VMP00SM 1
por por SP 1
el el DA0MS0 1
solicitante solicitante NCCS000 0.97619
sí sí PP3CNO0 0.336127
resulta resultar VMIP3S0 0.993808
adecuado adecuar VMP00SM 1
, , Fc 1
ya_que ya_que CS 1
la el DA0FS0 0.98926
construcción construcción NCFS000 1
de de SP 0.999961
un uno DI0MS0 0.99698
verdadero verdadero AQ0MS00 1
balance balance NCMS000 1
intercultural intercultural AQ0CS00 1
y y CC 0.999989
de de SP 0.999961
género género NCMS000 1
en en SP 1
la el DA0FS0 0.98926
toma toma NCFS000 0.551913
de de SP 0.999961
decisiones decisión NCFP000 1
de de SP 0.999961
la el DA0FS0 0.98926
comunidad comunidad NCFS000 1
genera generar VMIP3S0 0.98913
una uno DI0FS0 0.951973
sociedad sociedad NCFS000 1
equitativa equitativo AQ0FS00 1
. . Fp 1

Por por SP 1
cuanto cuanto PR0MS00 0.577236
hace hacer VMIP3S0 1
a a SP 1
el el DA0MS0 1
principio principio NCMS000 0.997238
de de SP 0.999961
igualdad igualdad NCFS000 1
de de SP 0.999961
género género NCMS000 1
la el DA0FS0 0.98926
solicitante solicitante NCCS000 0.97619
señaló señalar VMIS3S0 1
que que CS 0.449861
es ser VSIP3S0 1
importante importante AQ0CS00 1
hacer_frente hacer_frente VMN0000 1
a a SP 0.998775
la el DA0FS0 0.98926
discriminación discriminación NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
mujeres mujer NCFP000 1
de de SP 0.999961
forma forma NCFS000 0.987798
sistemática sistemático AQ0FS00 0.97619
y y CC 0.999989
comprensiva comprensivo AQ0FS00 1
, , Fc 1
a_fin_de a_fin_de SP 1
lograr lograr VMN0000 1
una uno DI0FS0 0.951973
igualdad igualdad NCFS000 1
de de SP 0.999961
género género NCMS000 1
plena pleno AQ0FS00 1
y y CC 0.999989
sustancial sustancial AQ0CS00 1
. . Fp 1

Esto este PD00S00 1
requiere requerir VMIP3S0 0.945545
un uno DI0MS0 0.99698
acercamiento acercamiento NCMS000 1
de de SP 0.999961
doble doble AQ0CS00 0.847887
vía vía NCFS000 0.941729
para para SP 0.999834
el el DA0MS0 1
trabajo trabajo NCMS000 0.975768
de de SP 0.999961
la el DA0FS0 0.98926
igualdad igualdad NCFS000 1
de de SP 0.999961
género género NCMS000 1
, , Fc 1
que que PR0CN00 0.550139
incluye incluir VMIP3S0 0.95045
políticas política NCFP000 0.305633
y y CC 0.999989
acciones acción NCFP000 0.998534
específicas específico AQ0FP00 1
, , Fc 1
incluida incluir VMP00SF 1
la el DA0FS0 0.98926
acción acción NCFS000 1
positiva positivo AQ0FS00 1
en en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
, , Fc 1
en en SP 1
áreas área NCFP000 1
fundamentales fundamental AQ0CP00 0.992958
para para SP 0.999834
el el DA0MS0 1
progreso progreso NCMS000 0.996032
de de SP 0.999961
las el DA0FP0 0.988184
mujeres mujer NCFP000 1
y y CC 0.999989
para para SP 0.999834
la el DA0FS0 0.98926
igualdad igualdad NCFS000 1
de de SP 0.999961
género género NCMS000 1
y y CC 0.999989
la el DA0FS0 0.98926
promoción promoción NCFS000 1
, , Fc 1
seguimiento seguimiento NCMS000 1
, , Fc 1
coordinación coordinación NCFS000 1
y y CC 0.999989
evaluación evaluación NCFS000 1
de de SP 1
el el DA0MS0 1
proceso proceso NCMS000 0.999101
de de SP 0.999961
integración integración NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
perspectiva perspectiva NCFS000 0.990196
de de SP 0.999961
género género NCMS000 1
en en SP 1
todas todo DI0FP0 0.934073
las el DA0FP0 0.988184
políticas política NCFP000 0.305633
y y CC 0.999989
programas programa NCMP000 0.996795
, , Fc 1
estableciendo establecer VMG0000 1
que que CS 0.449861
su su DP3CSN 1
propósito propósito NCMS000 1
es ser VSIP3S0 1
lograr lograr VMN0000 1
el el DA0MS0 1
progreso progreso NCMS000 0.996032
y y CC 0.999989
el el DA0MS0 1
empoderamiento empoderamiento NCMS000 1
de de SP 0.999961
las el DA0FP0 0.988184
mujeres mujer NCFP000 1
y y CC 0.999989
por_lo_tanto por_lo_tanto RG 1
la el DA0FS0 0.98926
realización realización NCFS000 1
efectiva efectivo AQ0FS00 1
de de SP 0.999961
la el DA0FS0 0.98926
igualdad igualdad NCFS000 1
de de SP 0.999961
género género NCMS000 1
en en SP 1
el el DA0MS0 1
Estado estado NP00000 1
y y CC 0.999989
en en SP 1
los el DA0MP0 0.992728
municipios municipio NCMP000 1
donde donde PR00000 0.982827
la el DA0FS0 0.98926
radio radio NCCS000 0.994505
tenga tener VMSP3S0 0.488844
presencia presencia NCFS000 0.99679
. . Fp 1

Lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
es ser VSIP3S0 1
acorde acorde AQ0CS00 0.361359
a a SP 1
el el DA0MS0 1
principio principio NCMS000 0.997238
de de SP 0.999961
igualdad igualdad NCFS000 1
de de SP 0.999961
género género NCMS000 1
que que PR0CN00 0.550139
establece establecer VMIP3S0 0.992424
que que CS 0.449861
mujeres mujer NCFP000 1
y y CC 0.999989
hombres hombre NCMP000 1
accedan acceder VMSP3P0 0.941964
con con SP 1
las el DA0FP0 0.988184
mismas mismo AQ0FP00 0.995495
posibilidades posibilidad NCFP000 1
y y CC 0.999989
oportunidades oportunidad NCFP000 1
a a SP 1
el el DA0MS0 1
uso uso NCMS000 0.998047
, , Fc 1
control control NCMS000 1
y y CC 0.999989
beneficio beneficio NCMS000 0.994505
de de SP 0.999961
bienes bien NCMP000 1
, , Fc 1
servicios servicio NCMP000 1
y y CC 0.999989
recursos recurso NCMP000 1
de de SP 0.999961
la el DA0FS0 0.98926
sociedad sociedad NCFS000 1
, , Fc 1
así_como así_como CC 1
a a SP 0.998775
la el DA0FS0 0.98926
toma toma NCFS000 0.551913
de de SP 0.999961
decisiones decisión NCFP000 1
en en SP 1
todos todo DI0MP0 0.70665
los el DA0MP0 0.992728
ámbitos ámbito NCMP000 1
de de SP 0.999961
la el DA0FS0 0.98926
vida vida NCFS000 1
social social AQ0CS00 0.998783
, , Fc 1
económica económico AQ0FS00 1
, , Fc 1
política político AQ0FS00 0.261038
, , Fc 1
cultural cultural AQ0CS00 1
y y CC 0.999989
familiar familiar AQ0CS00 0.99505
, , Fc 1
supuestos suponer VMP00PM 0.569444
que que CS 0.449861
con con SP 1
la el DA0FS0 0.98926
descripción descripción NCFS000 1
enunciada enunciar VMP00SF 1
en en SP 1
el el DA0MS0 1
párrafo párrafo NCMS000 1
que que PR0CN00 0.550139
antecede anteceder VMIP3S0 0.978533
, , Fc 1
se se P00CN00 0.494509
cumplen cumplir VMIP3P0 1
. . Fp 1

Finalmente finalmente RG 1
, , Fc 1
en en SP 1
relación relación NCFS000 1
con con SP 1
el el DA0MS0 1
principio principio NCMS000 0.997238
de de SP 0.999961
pluralidad pluralidad NCFS000 1
la el DA0FS0 0.98926
solicitante solicitante NCCS000 0.97619
señaló señalar VMIS3S0 1
que que CS 0.449861
a_través_de a_través_de SP 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
radiofónico radiofónico AQ0MS00 1
se se P00CN00 0.494509
impulsará impulsar VMIF3S0 1
la el DA0FS0 0.98926
diversidad diversidad NCFS000 1
de de SP 0.999961
programas programa NCMP000 0.996795
educativos educativo AQ0MP00 1
, , Fc 1
culturales cultural AQ0CP00 1
, , Fc 1
informativos informativo AQ0MP00 0.430556
, , Fc 1
sociales social AQ0CP00 0.997835
y y CC 0.999989
de de SP 0.999961
salud salud NCFS000 1
; ; Fx 1
brindando brindar VMG0000 1
información información NCFS000 1
clara claro AQ0FS00 0.994505
y y CC 0.999989
verídica verídico AQ0FS00 1
sobre sobre SP 0.997804
diferentes diferente DI0CP0 0.517182
temas tema NCMP000 0.99505
en en SP 1
los el DA0MP0 0.992728
diversos diverso DI0MP0 0.938596
programas programa NCMP000 0.996795
; ; Fx 1
motivando motivar VMG0000 1
a a SP 0.998775
las el DA0FP0 0.988184
personas persona NCFP000 0.999585
a a SP 0.998775
tomar tomar VMN0000 1
decisiones decisión NCFP000 1
por por SP 1
ellas ellos PP3FP00 1
mismas mismo AQ0FP00 0.995495
sin sin SP 1
que que CS 0.449861
se se P00CN00 0.494509
dejen dejar VMSP3P0 0.738095
influenciar influenciar VMN0000 1
por por SP 1
alguien alguien PI0CS00 1
más más RG 0.99993
y y CC 0.999989
realizando realizar VMG0000 1
campañas campaña NCFP000 1
sobre sobre SP 0.997804
la el DA0FS0 0.98926
importancia importancia NCFS000 1
y y CC 0.999989
alcances alcance NCMP000 0.998103
de de SP 0.999961
sus su DP3CPN 0.999903
decisiones decisión NCFP000 1
con con SP 1
la el DA0FS0 0.98926
finalidad finalidad NCFS000 1
de de SP 0.999961
reconocer reconocer VMN0000 1
la el DA0FS0 0.98926
diversidad diversidad NCFS000 1
de de SP 0.999961
pensamientos pensamiento NCMP000 1
aceptando aceptar VMG0000 1
que que CS 0.449861
la el DA0FS0 0.98926
unidad unidad NCFS000 1
no no RN 0.999297
es ser VSIP3S0 1
uniformidad uniformidad NCFS000 1
y y CC 0.999989
que que CS 0.449861
el el DA0MS0 1
sano sano AQ0MS00 0.980769
pluralismo pluralismo NCMS000 1
es ser VSIP3S0 1
un uno DI0MS0 0.99698
servicio servicio NCMS000 1
a a SP 1
el el DA0MS0 1
bien bien RG 0.876088
común común AQ0CS00 1
. . Fp 1

En en SP 1
tal tal DD0CS0 0.672764
virtud virtud NCFS000 1
se se P00CN00 0.494509
considera considerar VMIP3S0 0.998721
que que CS 0.449861
lo el DA00S0 0.665165
descrito describir VMP00SM 1
por por SP 1
la el DA0FS0 0.98926
solicitante solicitante NCCS000 0.97619
en en SP 1
relación relación NCFS000 1
con con SP 1
este este DD0MS0 0.949201
principio principio NCMS000 0.997238
sí sí PP3CNO0 0.336127
resulta resultar VMIP3S0 0.993808
adecuado adecuar VMP00SM 1
, , Fc 1
toda todo DI0FS0 0.984467
vez vez NCFS000 1
que que PR0CN00 0.550139
a a SP 1
el el DA0MS0 1
fomentar fomentar VMN0000 1
la el DA0FS0 0.98926
participación participación NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
ciudadanos ciudadano NCMP000 0.998282
se se P00CN00 0.494509
garantiza garantizar VMIP3S0 0.987805
la el DA0FS0 0.98926
cohesión cohesión NCFS000 1
social social AQ0CS00 0.998783
, , Fc 1
conformando conformar VMG0000 1
se se PP3CN00 1
con con SP 1
ello ello PD00S00 1
el el DA0MS0 1
pluralismo pluralismo NCMS000 1
cultural cultural AQ0CS00 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
la el DA0FS0 0.98926
solicitante solicitante NCCS000 0.97619
demostró demostrar VMIS3S0 1
la el DA0FS0 0.98926
existencia existencia NCFS000 1
de de SP 0.999961
un uno DI0MS0 0.99698
vínculo vínculo NCMS000 1
directo directo AQ0MS00 0.994505
o o CC 0.999864
de de SP 0.999961
coordinación coordinación NCFS000 1
con con SP 1
la el DA0FS0 0.98926
comunidad comunidad NCFS000 1
en en SP 1
la el DA0FS0 0.98926
que que PR0CN00 0.550139
prestará prestar VMIF3S0 1
el el DA0MS0 1
servicio servicio NCMS000 1
, , Fc 1
lo el DA00S0 0.665165
cual cual PR0CS00 0.930743
fue ser VSIS3S0 0.980739
acreditado acreditar VMP00SM 0.623747
con con SP 1
cartas carta NCFP000 1
suscritas suscribir VMP00PF 1
por por SP 1
integrantes integrante NCCP000 0.598039
de de SP 0.999961
la el DA0FS0 0.98926
propia propio AQ0FS00 1
comunidad comunidad NCFS000 1
, , Fc 1
en en SP 1
las el DA0FP0 0.988184
cuales cual PR0CP00 1
se se P00CN00 0.494509
señala señalar VMIP3S0 0.997076
que que CS 0.449861
el el DA0MS0 1
funcionamiento funcionamiento NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
radio radio NCCS000 0.994505
comunitaria comunitario AQ0FS00 1
beneficiará beneficiar VMIF3S0 1
a a SP 1
el el DA0MS0 1
fortalecimiento fortalecimiento NCMS000 1
y y CC 0.999989
crecimiento crecimiento NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
comunidad comunidad NCFS000 1
, , Fc 1
además_de además_de SP 1
fomentar fomentar VMN0000 1
la el DA0FS0 0.98926
cultura cultura NCFS000 1
, , Fc 1
el el DA0MS0 1
deporte deporte NCMS000 0.991279
, , Fc 1
las el DA0FP0 0.988184
artes arte NCCP000 1
, , Fc 1
la el DA0FS0 0.98926
participación participación NCFS000 1
ciudadana ciudadano AQ0FS00 0.738095
directa directo AQ0FS00 1
, , Fc 1
convivencia convivencia NCFS000 1
social social AQ0CS00 0.998783
, , Fc 1
equidad equidad NCFS000 1
, , Fc 1
igualdad igualdad NCFS000 1
de de SP 0.999961
género género NCMS000 1
y y CC 0.999989
la el DA0FS0 0.98926
pluralidad pluralidad NCFS000 1
. . Fp 1

Especificaciones especificaciones NP00000 0.331016
técnicas técnica NCFP000 0.349754
de de SP 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
. . Fp 1

Sobre sobre SP 0.997804
el el DA0MS0 1
particular particular AQ0CS00 0.827869
, , Fc 1
resulta resultar VMIP3S0 0.993808
importante importante AQ0CS00 1
señalar señalar VMN0000 1
que que CS 0.449861
acorde acorde NCMS000 0.638641
a a SP 1
el el DA0MS0 1
oficio oficio NCMS000 0.986111
IFT/222/UER/DG-IEET/1937/2016 IFT/222/UER/DG-IEET/1937/2016 Z 1
, , Fc 1
la el DA0FS0 0.98926
Unidad_de_Espectro_Radioeléctrico unidad_de_espectro_radioeléctrico NP00000 1
estableció establecer VMIS3S0 1
los el DA0MP0 0.992728
parámetros parámetro NCMP000 1
técnicos técnico AQ0MP00 0.287234
bajo bajo SP 0.909179
los el DA0MP0 0.992728
cuales cual PR0CP00 1
deberá deber VMIF3S0 1
operar operar VMN0000 1
la el DA0FS0 0.98926
estación estación NCFS000 1
solicitada solicitar VMP00SF 1
, , Fc 1
siendo ser VSG0000 1
para para SP 0.999834
el el DA0MS0 1
caso caso NCMS000 0.999445
particular particular AQ0CS00 0.827869
de de SP 0.999961
la el DA0FS0 0.98926
frecuencia frecuencia NCFS000 1
106.9 106.9 Z 1
MHz mhz NP00000 1
en en SP 1
San_Sebastián_Tecomaxtlahuaca san_sebastián_tecomaxtlahuaca NP00000 1
, , Fc 1
Santiago_Juxtlahuaca santiago_juxtlahuaca NP00000 1
, , Fc 1
Silacayoapan silacayoapan NP00000 1
, , Fc 1
Santa_Catarina_Noltepec santa_catarina_noltepec NP00000 1
, , Fc 1
Tacuyá tacuyá NP00000 1
, , Fc 1
Nicán nicán NP00000 1
y y CC 0.999989
San_Miguel_Cuevas san_miguel_cuevas NP00000 1
en en SP 1
el el DA0MS0 1
estado estado NCMS000 0.647596
de de SP 0.999961
Oaxaca oaxaca NP00000 1
, , Fc 1
una uno DI0FS0 0.951973
estación estación NCFS000 1
clase clase NCFS000 1
AA aa NP00000 1
con con SP 1
coordenadas coordenada NCFP000 0.638706
geográficas geográfico AQ0FP00 1
de de SP 0.999961
referencia referencia NCFS000 0.989637
L.N. l.n. NP00000 1
17°20 17°20 Z 1
’ ’ Frc 1
43 43 Z 1
” ” Frc 1
y y CC 0.999989
L.O. l.o. NP00000 1
98°01 98°01 Z 1
’ ’ Frc 1
51 51 Z 1
” ” Frc 1
. . Fp 1

No_obstante no_obstante CC 1
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
una uno DI0FS0 0.951973
vez vez NCFS000 1
otorgado otorgar VMP00SM 1
el el DA0MS0 1
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
, , Fc 1
el el DA0MS0 1
Solicitante solicitante NP00000 1
deberá deber VMIF3S0 1
presentar presentar VMN0000 1
a a SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
la el DA0FS0 0.98926
documentación documentación NCFS000 1
técnica técnico AQ0FS00 0.294798
que que PR0CN00 0.550139
acredite acreditar VMSP3S0 0.634861
que que CS 0.449861
la el DA0FS0 0.98926
estación estación NCFS000 1
opera operar VMIP3S0 0.986111
conforme_a conforme_a SP 1
los el DA0MP0 0.992728
parámetros parámetro NCMP000 1
técnicos técnico AQ0MP00 0.287234
señalados señalar VMP00PM 1
en en SP 1
el el DA0MS0 1
Programa_Anual programa_anual NP00000 1
2015 2015 Z 1
y y CC 0.999989
a a SP 0.998775
la el DA0FS0 0.98926
Disposición_Técnica disposición_técnica NP00000 1
IFT-002-2016 IFT-002-2016 Z 1
“ “ Fra 1
Especificaciones especificación NCFP000 0.668984
y y CC 0.999989
requerimientos requerimiento NCMP000 1
para para SP 0.999834
la el DA0FS0 0.98926
instalación instalación NCFS000 1
y y CC 0.999989
operación operación NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
estaciones estación NCFP000 0.992424
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
sonora sonoro AQ0FS00 1
en en SP 1
frecuencia frecuencia NCFS000 1
modulada modular VMP00SF 1
en en SP 1
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
88 88 Z 1
MHz mhz NP00000 1
a a SP 0.998775
108 108 Z 1
MHz mhz NP00000 1
” ” Frc 1
, , Fc 1
publicada publicar VMP00SF 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
5_de_abril_de_2016 [??:5/4/2016:??.??:??] W 1
. . Fp 1

Programas programa NCMP000 0.99361
y y CC 0.999989
compromisos compromiso NCMP000 1
de de SP 0.999961
cobertura cobertura NCFS000 1
y y CC 0.999989
calidad calidad NCFS000 1
. . Fp 1

En en SP 1
relación relación NCFS000 1
con con SP 1
este este DD0MS0 0.949201
punto punto NCMS000 1
previsto prever VMP00SM 1
por por SP 1
la el DA0FS0 0.98926
fracción fracción NCFS000 1
V v NP00000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
85 85 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
, , Fc 1
la el DA0FS0 0.98926
solicitante solicitante NCCS000 0.97619
indicó indicar VMIS3S0 1
en en SP 1
su su DP3CSN 1
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
como como CS 0.967153
poblaciones población NCFP000 1
principales principal AQ0CP00 0.998252
a a SP 0.998775
servir servir VMN0000 1
las el DA0FP0 0.988184
de de SP 0.999961
Santiago_Juxtlahuaca santiago_juxtlahuaca NP00000 1
, , Fc 1
San_Sebastián_Tecomaxtlahuaca san_sebastián_tecomaxtlahuaca NP00000 1
y y CC 0.999989
Silacayoapan silacayoapan NP00000 1
en en SP 1
el el DA0MS0 1
estado estado NCMS000 0.647596
de de SP 0.999961
Oaxaca oaxaca NP00000 1
, , Fc 1
presentando presentar VMG0000 1
la el DA0FS0 0.98926
clave clave NCFS000 0.984906
de de SP 1
el el DA0MS0 1
área área NCFS000 1
geoestadística geoestadístico AQ0FS00 1
de de SP 1
el el DA0MS0 1
INEGI inegi NP00000 1
, , Fc 1
conforme_a conforme_a SP 1
el el DA0MS0 1
último último AO0MS00 1
censo censo NCMS000 0.98913
disponible disponible AQ0CS00 1
; ; Fx 1
asimismo asimismo RG 1
, , Fc 1
indicó indicar VMIS3S0 1
un uno DI0MS0 0.99698
total total NCMS000 0.405303
de de SP 0.999961
47,920 47.92 Z 1
habitantes habitante NCCP000 1
como como CS 0.967153
número número NCMS000 1
de de SP 0.999961
población población NCFS000 1
a a SP 0.998775
servir servir VMN0000 1
en en SP 1
dicha decir VMP00SF 0.819767
zona zona NCFS000 1
de de SP 0.999961
cobertura cobertura NCFS000 1
. . Fp 1

No_obstante no_obstante CC 1
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
es ser VSIP3S0 1
importante importante AQ0CS00 1
precisar precisar VMN0000 1
que que CS 0.449861
acorde acorde NCMS000 0.638641
a a SP 0.998775
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
en en SP 1
el el DA0MS0 1
oficio oficio NCMS000 0.986111
IFT/222/UER/DG-IEET/1937/2016 IFT/222/UER/DG-IEET/1937/2016 Z 1
emitido emitir VMP00SM 1
por por SP 1
la el DA0FS0 0.98926
Unidad_de_Espectro_Radioeléctrico unidad_de_espectro_radioeléctrico NP00000 1
, , Fc 1
la el DA0FS0 0.98926
solicitante solicitante NCCS000 0.97619
deberá deber VMIF3S0 1
prestar prestar VMN0000 1
el el DA0MS0 1
servicio servicio NCMS000 1
en en SP 1
las el DA0FP0 0.988184
localidades localidad NCFP000 1
principales principal AQ0CP00 0.998252
a a SP 0.998775
servir servir VMN0000 1
de de SP 0.999961
San_Sebastián_Tecomaxtlahuaca san_sebastián_tecomaxtlahuaca NP00000 1
, , Fc 1
Santiago_Juxtlahuaca santiago_juxtlahuaca NP00000 1
, , Fc 1
Silacayoapan silacayoapan NP00000 1
, , Fc 1
Santa_Catarina_Noltepec santa_catarina_noltepec NP00000 1
, , Fc 1
Tacuyá tacuyá NP00000 1
, , Fc 1
Nicán nicán NP00000 1
y y CC 0.999989
San_Miguel_Cuevas san_miguel_cuevas NP00000 1
en en SP 1
el el DA0MS0 1
estado estado NCMS000 0.647596
de de SP 0.999961
Oaxaca oaxaca NP00000 1
en en SP 1
el el DA0MS0 1
segmento segmento NCMS000 0.989726
