RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_OTORGA_A_KONECTA_DE_MÉXICO resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_otorga_a_konecta_de_méxico NP00000 1
en en SP 1
la el DA0FS0 0.98926
prestación prestación NCFS000 1
de de SP 0.999961
servicios servicio NCMP000 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
. . Fp 1

En en SP 1
particular particular AQ0CS00 0.827869
, , Fc 1
en en SP 1
la el DA0FS0 0.98926
prestación prestación NCFS000 1
de de SP 0.999961
servicios servicio NCMP000 1
de de SP 0.999961
provisión provisión NCFS000 1
y y CC 0.999989
arrendamiento arrendamiento NCMS000 1
de de SP 0.999961
capacidad capacidad NCFS000 1
, , Fc 1
telefonía telefonía NCFS000 1
local local AQ0CS00 0.798805
fijo fijo AQ0MS00 0.986111
y y CC 0.999989
móvil móvil AQ0CS00 0.765152
, , Fc 1
transmisión transmisión NCFS000 1
de de SP 0.999961
datos dato NCMP000 1
, , Fc 1
televisión televisión NCFS000 1
y y CC 0.999989
audio audio NCMS000 1
restringidos restringir VMP00PM 1
y y CC 0.999989
acceso acceso NCMS000 1
a a SP 0.998775
Internet internet NP00000 1
en en SP 1
localidades localidad NCFP000 1
de de SP 0.999961
Baja_California baja_california NP00000 1
. . Fp 1

En en SP 1
conclusión conclusión NCFS000 1
, , Fc 1
con con SP 1
base base NCCS000 0.963722
en en SP 1
la el DA0FS0 0.98926
información información NCFS000 1
disponible disponible AQ0CS00 1
, , Fc 1
no no RN 0.999297
se se P00CN00 0.494509
prevé prever VMIP3S0 0.967836
que que CS 0.449861
, , Fc 1
en_caso_de en_caso_de SP 1
que que CS 0.449861
se se P00CN00 0.494509
otorgue otorgar VMSP3S0 0.634863
autorización autorización NCFS000 1
para para SP 0.999834
que que CS 0.449861
Konecta konecta NP00000 1
obtenga obtener VMSP3S0 0.634863
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
única único AQ0FS00 1
se se P00CN00 0.494509
generen generar VMSP3P0 0.941964
efectos efecto NCMP000 1
contrarios contrario AQ0MP00 0.561294
en en SP 1
el el DA0MS0 1
proceso proceso NCMS000 0.999101
de de SP 0.999961
competencia competencia NCFS000 1
y y CC 0.999989
libre libre AQ0CS00 0.957522
concurrencia concurrencia NCFS000 1
. . Fp 1

( ( Fpa 1
… … Fz 1
) ) Fpt 1
” ” Frc 1
( ( Fpa 1
sic sic RG 1
) ) Fpt 1
Finalmente finalmente NP00000 1
, , Fc 1
en en SP 1
relación relación NCFS000 1
con con SP 1
lo el DA00S0 0.665165
señalado señalar VMP00SM 1
en en SP 1
el el DA0MS0 1
párrafo párrafo NCMS000 1
décimo 10 AO0MS00 0.607399
séptimo 7 AO0MS00 0.991803
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
28 28 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución constitución NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
el el DA0MS0 1
oficio oficio NCMS000 0.986111
IFT/223/UCS/1116/2015 IFT/223/UCS/1116/2015 Z 1
notificado notificar VMP00SM 1
el el DA0MS0 1
3_de_julio_de_2015 [??:3/7/2015:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
solicitó solicitar VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Secretaría secretaría NP00000 1
la el DA0FS0 0.98926
opinión opinión NCFS000 1
técnica técnico AQ0FS00 0.294798
correspondiente correspondiente AQ0CS00 0.993421
a a SP 0.998775
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
. . Fp 1

A a SP 1
el el DA0MS0 1
respecto respecto NCMS000 0.989726
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
2.1 2.1 Z 1
. . Fp 1
- - Fg 1
1133 1133 Z 1
emitido emitir VMP00SM 1
por por SP 1
la el DA0FS0 0.98926
Dirección_General_de_Política_de_Telecomunicaciones dirección_general_de_política_de_telecomunicaciones NP00000 1
y y CC 0.999989
de de SP 0.999961
Radiodifusión radiodifusión NP00000 1
adscrita adscribir VMP00SF 1
a a SP 0.998775
la el DA0FS0 0.98926
Secretaría secretaría NP00000 1
, , Fc 1
notificó notificar VMIS3S0 1
el el DA0MS0 1
oficio oficio NCMS000 0.986111
1.-257 1.-257 Z 1
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
la el DA0FS0 0.98926
Secretaría secretaría NP00000 1
emitió emitir VMIS3S0 1
la el DA0FS0 0.98926
opinión opinión NCFS000 1
técnica técnico AQ0FS00 0.294798
en en SP 1
sentido sentido NCMS000 0.940835
favorable favorable AQ0CS00 1
. . Fp 1

Derivado derivar VMP00SM 0.623688
de de SP 0.999961
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
la el DA0FS0 0.98926
Dirección_General_de_Concesiones_de_Telecomunicaciones dirección_general_de_concesiones_de_telecomunicaciones NP00000 1
, , Fc 1
adscrita adscribir VMP00SF 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
, , Fc 1
concluyó concluir VMIS3S0 1
que que CS 0.449861
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
cumple cumplir VMIP3S0 0.994186
con con SP 1
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
establecidos establecer VMP00PM 1
en en SP 1
las el DA0FP0 0.988184
disposiciones disposición NCFP000 1
legales legal AQ0CP00 0.993827
, , Fc 1
reglamentarias reglamentario AQ0FP00 1
y y CC 0.999989
administrativas administrativo AQ0FP00 0.983871
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
y y CC 0.999989
que que CS 0.449861
de_acuerdo_con de_acuerdo_con SP 1
las el DA0FP0 0.988184
características característica NCFP000 0.994792
generales general AQ0CP00 0.916449
de de SP 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
y y CC 0.999989
los el DA0MP0 0.992728
fines fin NCMP000 0.994186
para para SP 0.999834
los el DA0MP0 0.992728
cuales cual PR0CP00 1
se se P00CN00 0.494509
solicita solicitar VMIP3S0 0.989241
la el DA0FS0 0.98926
concesión concesión NCFS000 1
, , Fc 1
el el DA0MS0 1
uso uso NCMS000 0.998047
que que PR0CN00 0.550139
se se P00CN00 0.494509
le le PP3CSD0 1
dará dar VMIF3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
concesión concesión NCFS000 1
es ser VSIP3S0 1
con con SP 1
fines fin NCMP000 0.994186
de de SP 0.999961
lucro lucro NCMS000 0.989726
, , Fc 1
por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
se se P00CN00 0.494509
procedería proceder VMIC3S0 0.649996
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
única único AQ0FS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
. . Fp 1

Cuarto cuarto NCMS000 0.343537
. . Fp 1
- - Fg 1
Bandas_de_Frecuencias_de_Espectro_Libre bandas_de_frecuencias_de_espectro_libre NP00000 1
. . Fp 1

Si si CS 0.999827
bien bien RG 0.876088
Konecta_de_México konecta_de_méxico NP00000 1
, , Fc 1
S._de_R.L._de_C.V. s._de_r.l._de_c.v. NP00000 1
, , Fc 1
instalará instalar VMIF3S0 1
su su DP3CSN 1
red red NCFS000 1
con con SP 1
infraestructura infraestructura NCFS000 1
propia propio AQ0FS00 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
detalla detallar VMIP3S0 0.989241
en en SP 1
el el DA0MS0 1
Considerando_Tercero considerando_tercero NP00000 1
anterior anterior AQ0CS00 1
, , Fc 1
no no RN 0.999297
pasa pasar VMIP3S0 0.991758
desapercibida desapercibido AQ0FS00 1
la el DA0FS0 0.98926
intención intención NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
solicitante solicitante NCCS000 0.97619
de de SP 0.999961
utilizar utilizar VMN0000 1
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 0.999961
espectro espectro NCMS000 1
libre libre AQ0CS00 0.957522
dentro_de dentro_de SP 1
el el DA0MS0 1
rango rango NCMS000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
5.1-5.8 5.1-5.8 Z 1
GHz ghz NP00000 1
, , Fc 1
para para SP 0.999834
la el DA0FS0 0.98926
prestación prestación NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
técnicamente técnicamente RG 1
factibles factible AQ0CP00 1
. . Fp 1

Es ser VSIP3S0 1
pertinente pertinente AQ0CS00 1
señalar señalar VMN0000 1
que que CS 0.449861
dentro_de dentro_de SP 1
dicho decir VMP00SM 0.997159
rango rango NCMS000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
, , Fc 1
se se P00CN00 0.494509
encuentran encontrar VMIP3P0 1
clasificados clasificar VMP00PM 1
como como CS 0.967153
espectro espectro NCMS000 1
libre libre AQ0CS00 0.957522
únicamente únicamente RG 1
los el DA0MP0 0.992728
siguientes siguiente AQ0CP00 1
segmentos segmento NCMP000 1
: : Fd 1
5150-5250 5150-5250 Z 1
MHz mhz NP00000 1
, , Fc 1
5250-5350 5250-5350 Z 1
MHz mhz NP00000 1
, , Fc 1
5470-5600 5470-5600 Z 1
MHz mhz NP00000 1
, , Fc 1
5650-5725 5650-5725 Z 1
MHz mhz NP00000 1
y y CC 0.999989
5725-5850 5725-5850 Z 1
MHz mhz NP00000 1
. . Fp 1

En en SP 1
ese ese DD0MS0 0.966694
sentido sentido NCMS000 0.940835
, , Fc 1
si si CS 0.999827
bien bien RG 0.876088
es ser VSIP3S0 1
cierto cierto AQ0MS00 0.743644
que que CS 0.449861
las el DA0FP0 0.988184
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
clasificadas clasificar VMP00PF 1
como como CS 0.967153
espectro espectro NCMS000 1
libre libre AQ0CS00 0.957522
no no RN 0.999297
pueden poder VMIP3P0 1
ser ser VSN0000 0.959637
consideradas considerar VMP00PF 1
como como CS 0.967153
parte parte NCCS000 0.977711
de de SP 0.999961
la el DA0FS0 0.98926
infraestructura infraestructura NCFS000 1
propia propio AQ0FS00 1
de de SP 0.999961
la el DA0FS0 0.98926
red red NCFS000 1
, , Fc 1
tampoco tampoco RG 1
existe existir VMIP3S0 0.997925
impedimento impedimento NCMS000 1
legal legal AQ0CS00 1
para para SP 0.999834
que que CS 0.449861
sean ser VSSP3P0 0.996689
utilizadas utilizar VMP00PF 1
por por SP 1
un uno DI0MS0 0.99698
concesionario concesionario NCMS000 0.488737
, , Fc 1
a a SP 1
el el DA0MS0 1
contrario contrario NCMS000 0.281746
, , Fc 1
la el DA0FS0 0.98926
Ley ley NP00000 1
en en SP 1
su su DP3CSN 1
artículo artículo NCMS000 1
55 55 Z 1
fracción fracción NCFS000 1
II ii NP00000 1
, , Fc 1
establece establecer VMIP3S0 0.992424
que que CS 0.449861
el el DA0MS0 1
espectro espectro NCMS000 1
libre libre AQ0CS00 0.957522
son ser VSIP3P0 0.995197
“ “ Fra 1
aquellas aquel DD0FP0 0.819767
bandas banda NCFP000 1
de de SP 0.999961
frecuencia frecuencia NCFS000 1
de de SP 0.999961
acceso acceso NCMS000 1
libre libre AQ0CS00 0.957522
, , Fc 1
que que PR0CN00 0.550139
pueden poder VMIP3P0 1
ser ser VSN0000 0.959637
utilizadas utilizar VMP00PF 1
por por SP 1
el el DA0MS0 1
público público NCMS000 0.590304
en en SP 1
general general NCCS000 0.173788
, , Fc 1
bajo bajo SP 0.909179
los el DA0MP0 0.992728
lineamientos lineamiento NCMP000 1
o o CC 0.999864
especificaciones especificación NCFP000 1
que que PR0CN00 0.550139
establezca establecer VMSP3S0 0.484863
el el DA0MS0 1
Instituto instituto NP00000 1
sin_necesidad_de sin_necesidad_de SP 1
concesión concesión NCFS000 1
o o CC 0.999864
autorización autorización NCFS000 1
. . Fp 1
” ” Frc 1
por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
resulta resultar VMIP3S0 0.993808
claro claro RG 0.338141
que que CS 0.449861
no no RN 0.999297
solo solo AQ0MS00 0.787529
no no RN 0.999297
existe existir VMIP3S0 0.997925
prohibición prohibición NCFS000 1
para para SP 0.999834
que que CS 0.449861
un uno DI0MS0 0.99698
concesionario concesionario NCMS000 0.488737
utilice utilizar VMSP3S0 0.493976
bandas banda NCFP000 1
de de SP 0.999961
espectro espectro NCMS000 1
libre libre AQ0CS00 0.957522
, , Fc 1
sino_que sino_que CC 1
éstas este PD0FP00 1
pueden poder VMIP3P0 1
ser ser VSN0000 0.959637
utilizadas utilizar VMP00PF 1
por por SP 1
cualquier cualquiera DI0CS0 1
persona persona NCFS000 0.996683
. . Fp 1

Para para SP 0.999834
ello ello PD00S00 1
, , Fc 1
Konecta_de_México konecta_de_méxico NP00000 1
, , Fc 1
S._de_R.L._de_C.V. s._de_r.l._de_c.v. NP00000 1
, , Fc 1
deberá deber VMIF3S0 1
observar observar VMN0000 1
en en SP 1
todo todo DI0MS0 0.6662
momento momento NCMS000 1
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
técnicas técnico AQ0FP00 0.300493
de de SP 0.999961
operación operación NCFS000 1
para para SP 0.999834
la el DA0FS0 0.98926
utilización utilización NCFS000 1
de de SP 0.999961
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 0.999961
espectro espectro NCMS000 1
libre libre AQ0CS00 0.957522
, , Fc 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
establecen establecer VMIP3P0 1
el el DA0MS0 1
“ “ Fra 1
Acuerdo acuerdo NCMS000 0.991798
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
establece establecer VMIP3S0 0.992424
la el DA0FS0 0.98926
política política NCFS000 0.369481
para para SP 0.999834
servicios servicio NCMP000 1
de de SP 0.999961
banda banda NCFS000 1
ancha ancho AQ0FS00 1
y y CC 0.999989
otras otro DI0FP0 0.865408
aplicaciones aplicación NCFP000 1
en en SP 1
las el DA0FP0 0.988184
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
902 902 Z 1
a a SP 0.998775
928 928 Z 1
MHz mhz NP00000 1
; ; Fx 1
2,400 2.4 Z 1
a a SP 0.998775
2,483.5 2,483.5 Z 1
MHz mhz NP00000 1
; ; Fx 1
3,600 3.6 Z 1
a a SP 0.998775
3,700 3.7 Z 1
MHz mhz NP00000 1
; ; Fx 1
5,150 5.15 Z 1
a a SP 0.998775
5,250 5.25 Z 1
MHz mhz NP00000 1
; ; Fx 1
5,250 5.25 Z 1
a a SP 0.998775
5,350 5.35 Z 1
MHz mhz NP00000 1
; ; Fx 1
5,470 5.47 Z 1
a a SP 0.998775
5,725 5.725 Z 1
MHz mhz NP00000 1
; ; Fx 1
y y CC 0.999989
5,725 5.725 Z 1
a a SP 0.998775
5,850 5.85 Z 1
MHz mhz NP00000 1
” ” Frc 1
, , Fc 1
la el DA0FS0 0.98926
“ “ Fra 1
Resolución resolución NCFS000 0.668984
por_medio_de por_medio_de SP 1
la el DA0FS0 0.98926
cual cual PR0CS00 0.930743
la el DA0FS0 0.98926
Comisión_Federal_de_Telecomunicaciones comisión_federal_de_telecomunicaciones NP00000 1
expide expedir VMIP3S0 0.989241
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
técnicas técnico AQ0FP00 0.300493
de de SP 0.999961
operación operación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
banda banda NCFS000 1
5,725 5.725 Z 1
a a SP 0.998775
5,850 5.85 Z 1
MHz mhz NP00000 1
, , Fc 1
para para SP 0.999834
su su DP3CSN 1
utilización utilización NCFS000 1
como como CS 0.967153
banda banda NCFS000 1
de de SP 0.999961
uso uso NCMS000 0.998047
libre libre AQ0CS00 0.957522
” ” Frc 1
y y CC 0.999989
el el DA0MS0 1
“ “ Fra 1
Acuerdo acuerdo NCMS000 0.991798
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
establecen establecer VMIP3P0 1
las el DA0FP0 0.988184
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 0.999961
5470 5470 Z 1
a a SP 0.998775
5600 5600 Z 1
MHz mhz NP00000 1
y y CC 0.999989
5650 5650 Z 1
a a SP 0.998775
5725 5725 Z 1
MHz mhz NP00000 1
, , Fc 1
como como CS 0.967153
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
de de SP 0.999961
uso uso NCMS000 0.998047
libre libre AQ0CS00 0.957522
, , Fc 1
y y CC 0.999989
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
de de SP 0.999961
operación operación NCFS000 1
a a SP 0.998775
que que PR0CN00 0.550139
deberán deber VMIF3P0 1
sujetar sujetar VMN0000 1
se se PP3CN00 1
los el DA0MP0 0.992728
sistemas sistema NCMP000 1
y y CC 0.999989
dispositivos dispositivo NCMP000 0.368706
para para SP 0.999834
su su DP3CSN 1
operación operación NCFS000 1
en en SP 1
estas este DD0FP0 0.969897
bandas banda NCFP000 1
. . Fp 1

Quinto quinto NCMS000 0.262887
. . Fp 1
- - Fg 1
Cobro cobro NCMS000 0.972603
sobre sobre SP 0.997804
el el DA0MS0 1
pago pago NCMS000 0.995283
de de SP 0.999961
aprovechamientos aprovechamiento NCMP000 1
por por SP 1
diversos diverso DI0MP0 0.938596
trámites trámite NCMP000 1
ante ante SP 0.999744
la el DA0FS0 0.98926
entrada entrada NCFS000 0.998008
en en SP 1
vigor vigor NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Derechos ley_federal_de_derechos NP00000 1
vigente vigente AQ0CS00 1
para para SP 0.999834
2016 2016 Z 1
. . Fp 1

El el DA0MS0 1
pasado_mes_de_diciembre [??:??/12/??:??.??:??] W 1
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
consideró considerar VMIS3S0 1
que que CS 0.449861
, , Fc 1
dado_que dado_que CS 1
el el DA0MS0 1
18_de_noviembre_de_2015 [??:18/11/2015:??.??:??] W 1
se se P00CN00 0.494509
había haber VAII3S0 0.499853
publicado publicar VMP00SM 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
“ “ Fra 1
Decreto decreto NCMS000 0.988439
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
reforman reformar VMIP3P0 1
, , Fc 1
adicionan adicionar VMIP3P0 1
y y CC 0.999989
derogan derogar VMIP3P0 1
diversas diverso DI0FP0 0.805344
disposiciones disposición NCFP000 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Derechos ley_federal_de_derechos NP00000 1
” ” Frc 1
, , Fc 1
mismo mismo PI0MS00 0.163706
que que PR0CN00 0.550139
entraría entrar VMIC3S0 0.65
en en SP 1
vigor vigor NCMS000 1
el el DA0MS0 1
1 1 Z 1
° ° Fz 1
de de SP 0.999961
enero_de_2016 [??:??/1/2016:??.??:??] W 1
, , Fc 1
resultaba resultar VMII3S0 0.65
pertinente pertinente AQ0CS00 1
que que CS 0.449861
a_partir_de a_partir_de SP 1
esa ese DD0FS0 0.964505
fecha fecha NCFS000 0.990741
, , Fc 1
el el DA0MS0 1
Acuerdo_de_Pago_de_Aprovechamientos acuerdo_de_pago_de_aprovechamientos NP00000 1
dejará dejar VMIF3S0 1
de de SP 0.999961
aplicar aplicar VMN0000 1
se se PP3CN00 1
. . Fp 1

Lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
debido_a debido_a SP 1
que que CS 0.449861
con con SP 1
la el DA0FS0 0.98926
entrada entrada NCFS000 0.998008
en en SP 1
vigor vigor NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Derechos ley_federal_de_derechos NP00000 1
, , Fc 1
si si CS 0.999827
bien bien RG 0.876088
de de SP 0.999961
derogaron derogar VMIS3P0 1
, , Fc 1
entre entre SP 0.980341
otros otro DI0MP0 0.745978
rubros rubro NCMP000 0.636273
, , Fc 1
la el DA0FS0 0.98926
Sección_Primera_de_el_Capítulo_VIII_de_el_Título_I sección_primera_de_el_capítulo_viii_de_el_título_i NP00000 1
denominada denominar VMP00SF 1
“ “ Fra 1
Servicios_de_Telecomunicaciones servicios_de_telecomunicaciones NP00000 1
” ” Frc 1
con con SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
91 91 Z 1
, , Fc 1
93 93 Z 1
, , Fc 1
94 94 Z 1
, , Fc 1
94-A 94-A Z 1
, , Fc 1
95 95 Z 1
, , Fc 1
96 96 Z 1
, , Fc 1
97 97 Z 1
, , Fc 1
98 98 Z 1
, , Fc 1
99 99 Z 1
, , Fc 1
100 100 Z 1
, , Fc 1
101 101 Z 1
, , Fc 1
102 102 Z 1
y y CC 0.999989
105 105 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Derechos ley_federal_de_derechos NP00000 1
; ; Fx 1
a_la_vez a_la_vez RG 1
, , Fc 1
ese ese DD0MS0 0.966694
mismo mismo AQ0MS00 0.802208
decreto decreto NCMS000 0.994186
adicionó adicionar VMIS3S0 1
, , Fc 1
entre entre SP 0.980341
otros otro DI0MP0 0.745978
aspectos aspecto NCMP000 1
, , Fc 1
el el DA0MS0 1
Capítulo_IX_de_el_Título_I capítulo_ix_de_el_título_i NP00000 1
denominado denominar VMP00SM 1
“ “ Fra 1
De de SP 1
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
” ” Frc 1
que que PR0CN00 0.550139
comprende comprender VMIP3S0 0.738095
los el DA0MP0 0.992728
artículos artículo NCMP000 1
173 173 Z 1
, , Fc 1
173-A 173-A Z 1
, , Fc 1
173-B 173-B Z 1
, , Fc 1
174 174 Z 1
, , Fc 1
174-A 174-A Z 1
, , Fc 1
174-B 174-B Z 1
, , Fc 1
174-C 174-C Z 1
, , Fc 1
174-D 174-D Z 1
, , Fc 1
174-E 174-E Z 1
, , Fc 1
174-F 174-F Z 1
, , Fc 1
174-G 174-G Z 1
, , Fc 1
174-H 174-H Z 1
, , Fc 1
174-I 174-I Z 1
, , Fc 1
174-J 174-J Z 1
, , Fc 1
174-K 174-K Z 1
, , Fc 1
174-L 174-L Z 1
y y CC 0.999989
174-M 174-M Z 1
. . Fp 1

Con con SP 1
dicho decir VMP00SM 0.997159
Capítulo capítulo NP00000 1
, , Fc 1
el el DA0MS0 1
cobro cobro NCMS000 0.986111
de de SP 0.999961
diversos diverso DI0MP0 0.938596
trámites trámite NCMP000 1
derivados derivar VMP00PM 0.445652
de de SP 0.999961
la el DA0FS0 0.98926
aplicación aplicación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
, , Fc 1
quedaban quedar VMII3P0 1
cubiertos cubrir VMP00PM 0.738095
y y CC 0.999989
por_lo_tanto por_lo_tanto RG 1
, , Fc 1
resultaba resultar VMII3S0 0.65
innecesario innecesario AQ0MS00 1
continuar continuar VMN0000 1
aplicando aplicar VMG0000 1
el el DA0MS0 1
Acuerdo_de_Pago_de_Aprovechamientos acuerdo_de_pago_de_aprovechamientos NP00000 1
. . Fp 1

En en SP 1
este este DD0MS0 0.949201
sentido sentido NCMS000 0.940835
, , Fc 1
la el DA0FS0 0.98926
Ley_Federal_de_Derechos ley_federal_de_derechos NP00000 1
vigente vigente AQ0CS00 1
a_partir_de a_partir_de SP 1
el el DA0MS0 1
1º 1º Z 1
de de SP 0.999961
enero_de_2016 [??:??/1/2016:??.??:??] W 1
estableció establecer VMIS3S0 1
en en SP 1
su su DP3CSN 1
artículo artículo NCMS000 1
174-B 174-B Z 1
un uno DI0MS0 0.99698
nuevo nuevo AQ0MS00 1
sistema sistema NCMS000 1
de de SP 0.999961
cobro cobro NCMS000 0.986111
de de SP 0.999961
derechos derecho NCMP000 0.996795
para para SP 0.999834
los el DA0MP0 0.992728
trámites trámite NCMP000 1
relativos relativo AQ0MP00 0.661294
a a SP 1
el el DA0MS0 1
estudio estudio NCMS000 0.97043
y y CC 0.999989
, , Fc 1
en en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
, , Fc 1
expedición expedición NCFS000 1
de de SP 0.999961
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
única único AQ0FS00 1
para para SP 0.999834
prestar prestar VMN0000 1
todo todo DI0MS0 0.6662
tipo tipo NCMS000 1
de de SP 0.999961
servicios servicio NCMP000 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
. . Fp 1

Dicho decir VMP00SM 0.994334
artículo artículo NCMS000 1
establece establecer VMIP3S0 0.992424
un uno DI0MS0 0.99698
cobro cobro NCMS000 0.986111
único único AQ0MS00 1
que que PR0CN00 0.550139
integra integrar VMIP3S0 0.989241
el el DA0MS0 1
estudio estudio NCMS000 0.97043
de de SP 0.999961
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
y y CC 0.999989
, , Fc 1
en en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
, , Fc 1
la el DA0FS0 0.98926
expedición expedición NCFS000 1
de de SP 1
el el DA0MS0 1
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
correspondiente correspondiente AQ0CS00 0.993421
. . Fp 1

Esta este DD0FS0 0.978817
situación situación NCFS000 1
es ser VSIP3S0 1
distinta distinto AQ0FS00 1
a a SP 0.998775
la el DA0FS0 0.98926
prevista prever VMP00SF 1
en en SP 1
el el DA0MS0 1
Acuerdo_de_Pago_de_Aprovechamientos acuerdo_de_pago_de_aprovechamientos NP00000 1
, , Fc 1
que que PR0CN00 0.550139
establecía establecer VMII3S0 0.65
de de SP 0.999961
manera manera NCFS000 1
diferenciada diferenciar VMP00SF 1
los el DA0MP0 0.992728
cobros cobro NCMP000 1
para para SP 0.999834
el el DA0MS0 1
estudio estudio NCMS000 0.97043
y y CC 0.999989
, , Fc 1
en en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
, , Fc 1
expedición expedición NCFS000 1
de de SP 1
el el DA0MS0 1
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
única único AQ0FS00 1
. . Fp 1

A a SP 1
el el DA0MS0 1
momento momento NCMS000 1
de de SP 0.999961
iniciar iniciar VMN0000 1
el el DA0MS0 1
trámite trámite NCMS000 1
que que PR0CN00 0.550139
nos nos PP1CP00 0.810258
ocupa ocupar VMIP3S0 0.99505
, , Fc 1
el el DA0MS0 1
solicitante solicitante NCCS000 0.97619
presentó presentar VMIS3S0 1
, , Fc 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
la el DA0FS0 0.98926
