RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
, , Fc 1
se se P00CN00 0.494509
advierte advertir VMIP3S0 0.991071
que que CS 0.449861
la el DA0FS0 0.98926
Segunda_Sala_de_la_Suprema_Corte_de_Justicia_de_la_Nación segunda_sala_de_la_suprema_corte_de_justicia_de_la_nación NP00000 1
determinó determinar VMIS3S0 1
en en SP 1
relación relación NCFS000 1
con con SP 1
el el DA0MS0 1
segundo 2 AO0MS00 0.901147
párrafo párrafo NCMS000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
vigésimo 20 AO0MS00 1
transitorio transitorio AQ0MS00 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
que que CS 0.449861
dicho decir VMP00SM 0.997159
numeral numeral NCMS000 0.349312
debe deber VMIP3S0 0.998712
interpretar interpretar VMN0000 1
se se PP3CN00 1
en en SP 1
el el DA0MS0 1
sentido sentido NCMS000 0.940835
de de SP 0.999961
que que CS 0.449861
: : Fd 1
En en SP 1
tanto tanto RG 0.806143
no no RN 0.999297
se se P00CN00 0.494509
acuerden acordar VMSP3P0 0.941964
o o CC 0.999864
fijen fijar VMSP3P0 0.941964
nuevas nuevo AQ0FP00 0.998891
tarifas tarifa NCFP000 0.992958
, , Fc 1
continuarán continuar VMIF3P0 1
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
que que PR0CN00 0.550139
se se P00CN00 0.494509
venían venir VMII3P0 1
aplicando aplicar VMG0000 1
en en SP 1
el el DA0MS0 1
periodo periodo NCMS000 1
anterior anterior AQ0CS00 1
– – Fz 1
en en SP 1
el el DA0MS0 1
caso caso NCMS000 0.999445
, , Fc 1
dos_mil_catorce 2014 Z 1
- - Fg 1
, , Fc 1
sin sin SP 1
que que CS 0.449861
ello ello PD00S00 1
sea ser VSSP1S0 0.49434
obstáculo obstáculo NCMS000 1
para para SP 0.999834
que que CS 0.449861
se se P00CN00 0.494509
acuerden acordar VMSP3P0 0.941964
o o CC 0.999864
fijen fijar VMM03P0 0.0580364
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
que que PR0CN00 0.550139
aplicarán aplicar VMIF3P0 1
a_partir_de a_partir_de SP 1
el el DA0MS0 1
primero 1 AO0MS00 0.686916
de de SP 0.999961
enero_de_dos_mil_quince [??:??/1/2015:??.??:??] W 1
. . Fp 1

Una_vez_que una_vez_que CS 1
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
hayan haber VASP3P0 0.994792
convenido convenir VMP00SM 1
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
de de SP 0.999961
interconexión interconexión NCFS000 1
, , Fc 1
o o CC 0.999864
el el DA0MS0 1
regulador regulador AQ0MS00 0.97619
haya haber VASP1S0 0.493699
resuelto resolver VMP00SM 1
el el DA0MS0 1
desacuerdo desacuerdo NCMS000 0.97619
respectivo respectivo AQ0MS00 1
, , Fc 1
se se P00CN00 0.494509
deberán deber VMIF3P0 1
compensar compensar VMN0000 1
los el DA0MP0 0.992728
montos monto NCMP000 1
ya ya RG 0.999785
cobrados cobrar VMP00PM 1
hasta hasta SP 0.922749
ese ese DD0MS0 0.966694
momento momento NCMS000 1
, , Fc 1
para para SP 0.999834
que que CS 0.449861
durante durante SP 1
todo todo DI0MS0 0.6662
el el DA0MS0 1
dos_mil_quince 2015 Z 1
, , Fc 1
se se P00CN00 0.494509
cobren cobrar VMSP3P0 0.941964
efectivamente efectivamente RG 1
las el DA0FP0 0.988184
nuevas nuevo AQ0FP00 0.998891
condiciones condición NCFP000 0.998418
, , Fc 1
por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
en en SP 1
el el DA0MS0 1
convenio convenio NCMS000 1
o o CC 0.999864
en en SP 1
la el DA0FS0 0.98926
resolución resolución NCFS000 1
, , Fc 1
deberá deber VMIF3S0 1
señalar señalar VMN0000 1
se se PP3CN00 1
el el DA0MS0 1
modo modo NCMS000 1
de de SP 0.999961
realizar realizar VMN0000 1
el el DA0MS0 1
“ “ Fra 1
pago pago NCMS000 0.995283
por por SP 1
diferencias diferencia NCFP000 0.996454
” ” Frc 1
para para SP 0.999834
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
que que PR0CN00 0.550139
ya ya RG 0.999785
fueron ser VSIS3P0 0.933213
cobradas cobrar VMP00PF 1
. . Fp 1

[ [ Fca 1
… … Fz 1
] ] Fct 1
En_consecuencia en_consecuencia NP00000 1
, , Fc 1
debe deber VMIP3S0 0.998712
subsistir subsistir VMN0000 1
la el DA0FS0 0.98926
concesión concesión NCFS000 1
de de SP 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
en_contra_de en_contra_de SP 1
la el DA0FS0 0.98926
resolución resolución NCFS000 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
cual cual PR0CS00 0.930743
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
determina determinar VMIP3S0 0.989241
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
de de SP 0.999961
interconexión interconexión NCFS000 1
no no RN 0.999297
convenidas convenir VMP00PF 1
entre entre SP 0.980341
Radio_Móvil_Dipsa radio_móvil_dipsa NP00000 1
, , Fc 1
sociedad sociedad NCFS000 1
anónima anónimo AQ0FS00 1
de de SP 0.999961
capital capital NCCS000 0.949605
variable variable AQ0CS00 0.661294
y y CC 0.999989
Alestra alestra NP00000 1
, , Fc 1
sociedad sociedad NCFS000 1
de de SP 0.999961
responsabilidad responsabilidad NCFS000 1
limitada limitar VMP00SF 1
de de SP 0.999961
capital capital NCCS000 0.949605
variable variable AQ0CS00 0.661294
, , Fc 1
aplicables aplicable AQ0CP00 1
de de SP 1
el el DA0MS0 1
uno_de_enero [??:1/1/??:??.??:??] W 1
a a SP 1
el el DA0MS0 1
treinta 30 Z 1
uno_de_diciembre_de_dos_mil_quince [??:1/12/2015:??.??:??] W 1
, , Fc 1
aprobada aprobar VMP00SF 1
en en SP 1
la el DA0FS0 0.98926
sesión sesión NCFS000 1
XVI xvi NP00000 1
extraordinario extraordinario AQ0MS00 0.990196
celebrada celebrar VMP00SF 1
el el DA0MS0 1
doce_de_agosto_de_dos_mil_quince [??:12/8/2015:??.??:??] W 1
, , Fc 1
pues pues CS 0.999049
dicha decir VMP00SF 0.819767
autoridad autoridad NCFS000 1
se se P00CN00 0.494509
encontraba encontrar VMII3S0 0.65
obligada obligar VMP00SF 0.623695
a a SP 0.998775
resolver resolver VMN0000 1
el el DA0MS0 1
desacuerdo desacuerdo NCMS000 0.97619
de de SP 0.999961
interconexión interconexión NCFS000 1
respecto_de respecto_de SP 1
todo todo DI0MS0 0.6662
el el DA0MS0 1
año_dos_mil_quince [??:??/??/2015:??.??:??] W 1
. . Fp 1

Así así RG 0.999409
las el DA0FP0 0.988184
cosas cosa NCFP000 0.999049
, , Fc 1
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
deberá deber VMIF3S0 1
emitir emitir VMN0000 1
una uno DI0FS0 0.951973
nueva nuevo AQ0FS00 0.993421
resolución resolución NCFS000 1
en en SP 1
la el DA0FS0 0.98926
cual cual PR0CS00 0.930743
, , Fc 1
para para SP 0.999834
la el DA0FS0 0.98926
fijación fijación NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
para para SP 0.999834
el el DA0MS0 1
periodo periodo NCMS000 1
de de SP 1
el el DA0MS0 1
uno_de_enero [??:1/1/??:??.??:??] W 1
a a SP 1
el el DA0MS0 1
once_de_agosto_de_dos_mil_quince [??:11/8/2015:??.??:??] W 1
, , Fc 1
atienda atender VMSP3S0 0.634863
a a SP 0.998775
la el DA0FS0 0.98926
interpretación interpretación NCFS000 1
que que PR0CN00 0.550139
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
vigésimo 20 AO0MS00 1
transitorio transitorio AQ0MS00 1
, , Fc 1
segundo 2 AO0MS00 0.901147
párrafo párrafo NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
fijó fijar VMIS3S0 1
la el DA0FS0 0.98926
Segunda segunda NP00000 1
sala salar VMIP3S0 0.122131
de de SP 0.999961
la el DA0FS0 0.98926
Suprema_Corte_de_Justicia_de_la_Nación suprema_corte_de_justicia_de_la_nación NP00000 1
en en SP 1
la el DA0FS0 0.98926
sentencia sentencia NCFS000 0.972286
de de SP 0.999961
veintiocho_de_junio_de_dos_mil_diecisiete [??:28/6/2017:??.??:??] W 1
, , Fc 1
dictada dictar VMP00SF 1
en en SP 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
en en SP 1
revisión revisión NCFS000 1
329/2016 329/2016 Z 1
, , Fc 1
y y CC 0.999989
proceda proceder VMSP3S0 0.634863
a a SP 0.998775
resolver resolver VMN0000 1
el el DA0MS0 1
desacuerdo desacuerdo NCMS000 0.97619
de de SP 0.999961
interconexión interconexión NCFS000 1
respecto_de respecto_de SP 1
todo todo DI0MS0 0.6662
el el DA0MS0 1
periodo periodo NCMS000 1
que que PR0CN00 0.550139
le le PP3CSD0 1
fue ser VSIS3S0 0.980739
solicitado solicitar VMP00SM 1
, , Fc 1
y y CC 0.999989
de de SP 0.999961
ser ser VSN0000 0.959637
el el DA0MS0 1
caso caso NCMS000 0.999445
, , Fc 1
determine determinar VMSP3S0 0.634863
el el DA0MS0 1
monto monto NCMS000 0.939852
relativo relativo AQ0MS00 0.980769
a a SP 1
el el DA0MS0 1
pago pago NCMS000 0.995283
de de SP 0.999961
las el DA0FP0 0.988184
diferencia diferencia NCFS000 0.879908
para para SP 0.999834
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
que que PR0CN00 0.550139
ya ya RG 0.999785
fueron ser VSIS3P0 0.933213
cobradas cobrar VMP00PF 1
. . Fp 1

[ [ Fca 1
… … Fz 1
] ] Fct 1
En_consecuencia en_consecuencia NP00000 1
por por SP 1
lo el DA00S0 0.665165
antes antes RG 1
expuesto exponer VMP00SM 1
, , Fc 1
fundado fundar VMP00SM 1
y y CC 0.999989
con con SP 1
apoyo apoyo NCMS000 0.998982
además además RG 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
107 107 Z 1
, , Fc 1
fracción fracción NCFS000 1
VIII viii NP00000 1
, , Fc 1
inciso inciso AQ0MS00 0.66114
a a SP 0.998775
) ) Fpt 1
, , Fc 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_General_de_la_República constitución_general_de_la_república NP00000 1
, , Fc 1
81 81 Z 1
, , Fc 1
fracción fracción NCFS000 1
I i NP00000 1
, , Fc 1
inciso inciso AQ0MS00 0.66114
e y CC 0.987994
) ) Fpt 1
, , Fc 1
y y CC 0.999989
84 84 Z 1
dé dar VMM03S0 1
la lo PP3FSA0 1
Ley_de_Amparo ley_de_amparo NP00000 1
; ; Fx 1
y y CC 0.999989
10 10 Z 1
fracción fracción NCFS000 1
II ii NP00000 1
, , Fc 1
inciso inciso AQ0MS00 0.66114
a a SP 0.998775
) ) Fpt 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Orgánica_de_el_Poder_Judicial_de_la_Federación ley_orgánica_de_el_poder_judicial_de_la_federación NP00000 1
, , Fc 1
se se P00CN00 0.494509
resuelve resolver VMIP3S0 0.989241
: : Fd 1
PRIMERO primero RG 0.312597
. . Fp 1

En en SP 1
la el DA0FS0 0.98926
materia materia NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
competencia competencia NCFS000 1
delegada delegar VMP00SF 0.383779
a a SP 0.998775
este este DD0MS0 0.949201
Tribunal_Colegiado tribunal_colegiado NP00000 1
, , Fc 1
se se P00CN00 0.494509
modifica modificar VMIP3S0 0.973451
la el DA0FS0 0.98926
sentencia sentencia NCFS000 0.972286
recurrida recurrir VMP00SF 1
. . Fp 1

SEGUNDO 2 AO0MS00 0.900353
. . Fp 1

Se se P00CN00 0.494509
sobresee sobreseer VMIP3S0 0.974248
en en SP 1
el el DA0MS0 1
juicio juicio NCMS000 1
de de SP 0.999961
amparo amparo NCMS000 0.986111
en en SP 1
relación relación NCFS000 1
con con SP 1
el el DA0MS0 1
inciso inciso AQ0MS00 0.66114
c c NCFS000 1
, , Fc 1
de de SP 1
el el DA0MS0 1
“ “ Fra 1
Acuerdo acuerdo NCMS000 0.991798
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
determina determinar VMIP3S0 0.989241
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
interconexión interconexión NCFS000 1
resultado resultado NCMS000 0.924877
de de SP 0.999961
la el DA0FS0 0.98926
metodología metodología NCFS000 1
para para SP 0.999834
el el DA0MS0 1
cálculo cálculo NCMS000 1
de de SP 0.999961
costos costo NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
utilizará utilizar VMIF3S0 1
para para SP 0.999834
resolver resolver VMN0000 1
los el DA0MP0 0.992728
desacuerdos desacuerdo NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
presenten presentar VMSP3P0 0.980769
respecto_de respecto_de SP 1
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
aplicables aplicable AQ0CP00 1
a a SP 1
el el DA0MS0 1
año_2015 [??:??/??/2015:??.??:??] W 1
” ” Frc 1
, , Fc 1
publicado publicar VMP00SM 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
veintinueve_de_diciembre_de_dos_mil_catorce [??:29/12/2014:??.??:??] W 1
. . Fp 1

TERCERO 3 AO0MS00 0.986928
. . Fp 1

La el DA0FS0 0.98926
Justicia_de_la_Unión_AMPARA_Y_PROTEGE justicia_de_la_unión_ampara_y_protege NP00000 1
a a SP 0.998775
Radiomóvil_Dipsa radiomóvil_dipsa NP00000 1
, , Fc 1
sociedad sociedad NCFS000 1
anónima anónimo AQ0FS00 1
de de SP 0.999961
capital capital NCCS000 0.949605
variable variable AQ0CS00 0.661294
, , Fc 1
en_contra_de en_contra_de SP 1
la el DA0FS0 0.98926
resolución resolución NCFS000 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
cual cual PR0CS00 0.930743
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
determina determinar VMIP3S0 0.989241
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
de de SP 0.999961
interconexión interconexión NCFS000 1
no no RN 0.999297
convenidas convenir VMP00PF 1
entre entre SP 0.980341
Radio_Móvil_Dipsa radio_móvil_dipsa NP00000 1
, , Fc 1
sociedad sociedad NCFS000 1
anónima anónimo AQ0FS00 1
de de SP 0.999961
capital capital NCCS000 0.949605
variable variable AQ0CS00 0.661294
y y CC 0.999989
Alestra alestra NP00000 1
, , Fc 1
sociedad sociedad NCFS000 1
de de SP 0.999961
responsabilidad responsabilidad NCFS000 1
limitada limitar VMP00SF 1
de de SP 0.999961
capital capital NCCS000 0.949605
variable variable AQ0CS00 0.661294
, , Fc 1
aplicables aplicable AQ0CP00 1
de de SP 1
el el DA0MS0 1
uno_de_enero [??:1/1/??:??.??:??] W 1
a a SP 1
el el DA0MS0 1
treinta_y_uno_de_diciembre_de_dos_mil_dieciséis [??:31/12/2016:??.??:??] W 1
, , Fc 1
aprobada aprobar VMP00SF 1
en en SP 1
la el DA0FS0 0.98926
sesión sesión NCFS000 1
XVI xvi NP00000 1
extraordinario extraordinario AQ0MS00 0.990196
celebrada celebrar VMP00SF 1
el el DA0MS0 1
doce_de_agosto_de_dos_mil_quince [??:12/8/2015:??.??:??] W 1
, , Fc 1
por por SP 1
unanimidad unanimidad NCFS000 1
de de SP 0.999961
cotos coto NCMP000 1
de de SP 0.999961
sus su DP3CPN 0.999903
comisionados comisionado NCMP000 0.430851
. . Fp 1

[ [ Fca 1
… … Fz 1
] ] Fct 1
» » Frc 1
En en SP 1
ese ese DD0MS0 0.966694
sentido sentido NCMS000 0.940835
, , Fc 1
el el DA0MS0 1
20_de_diciembre_de_2017 [??:20/12/2017:??.??:??] W 1
, , Fc 1
se se P00CN00 0.494509
recibió recibir VMIS3S0 1
en en SP 1
la el DA0FS0 0.98926
Oficialía_de_Partes oficialía_de_partes NP00000 1
de de SP 0.999961
este este DD0MS0 0.949201
Instituto instituto NP00000 1
, , Fc 1
la el DA0FS0 0.98926
ejecutoria ejecutoria NCFS000 0.338898
correspondiente correspondiente AQ0CS00 0.993421
a a SP 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
en en SP 1
revisión revisión NCFS000 1
17/2016 17/2016 Z 1
, , Fc 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
14_de_diciembre_de_2017 [??:14/12/2017:??.??:??] W 1
, , Fc 1
emitida emitir VMP00SF 1
por por SP 1
el el DA0MS0 1
Segundo_Tribunal_Colegiado segundo_tribunal_colegiado NP00000 1
en en SP 1
Materia_Administrativa_Especializado materia_administrativa_especializado NP00000 1
en en SP 1
Competencia_Económica competencia_económica NP00000 1
, , Fc 1
Radiodifusión radiodifusión NP00000 1
y y CC 0.999989
Telecomunicaciones telecomunicaciones NP00000 1
con con SP 1
residencia residencia NCFS000 0.988439
en en SP 1
la el DA0FS0 0.98926
Ciudad_de_México ciudad_de_méxico NP00000 1
y y CC 0.999989
jurisdicción jurisdicción NCFS000 1
en en SP 1
toda todo DI0FS0 0.984467
la el DA0FS0 0.98926
República república NP00000 1
, , Fc 1
cuyos cuyo PR0MP00 1
efectos efecto NCMP000 1
están estar VMIP3P0 0.99949
acotados acotar VMP00PM 1
a a SP 0.998775
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
Dejar dejar VMN0000 1
insubsistente insubsistente AQ0CS00 1
la el DA0FS0 0.98926
resolución resolución NCFS000 1
de de SP 0.999961
desacuerdo desacuerdo NCMS000 0.97619
de de SP 0.999961
interconexión interconexión NCFS000 1
P/IFT/120815/361 P/IFT/120815/361 Z 1
. . Fp 1

El el DA0MS0 1
Instituto instituto NP00000 1
debe deber VMIP3S0 0.998712
emitir emitir VMN0000 1
una uno DI0FS0 0.951973
nueva nuevo AQ0FS00 0.993421
resolución resolución NCFS000 1
en en SP 1
la el DA0FS0 0.98926
que que PR0CN00 0.550139
para para SP 0.999834
determinar determinar VMN0000 1
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
interconexión interconexión NCFS000 1
para para SP 0.999834
el el DA0MS0 1
periodo periodo NCMS000 1
comprendido comprender VMP00SM 1
de de SP 1
el el DA0MS0 1
1_de_enero [??:1/1/??:??.??:??] W 1
a a SP 1
el el DA0MS0 1
11_de_agosto_de_2015 [??:11/8/2015:??.??:??] W 1
, , Fc 1
deberá deber VMIF3S0 1
atender atender VMN0000 1
a a SP 0.998775
la el DA0FS0 0.98926
interpretación interpretación NCFS000 1
realizada realizar VMP00SF 1
por por SP 1
la el DA0FS0 0.98926
Segunda_Sala_de_la_SCJN segunda_sala_de_la_scjn NP00000 1
, , Fc 1
esto este PD00S00 1
es ser VSIP3S0 1
aplicando aplicar VMG0000 1
la el DA0FS0 0.98926
metodología metodología NCFS000 1
de de SP 0.999961
costos costo NCMP000 1
que que PR0CN00 0.550139
en en SP 1
términos término NCMP000 1
de de SP 0.999961
la el DA0FS0 0.98926
ley ley NCFS000 1
vigente vigente AQ0CS00 1
se se P00CN00 0.494509
considere considerar VMSP3S0 0.493976
, , Fc 1
así_como así_como CC 1
el el DA0MS0 1
modelo modelo NCCS000 0.99763
de de SP 0.999961
costos costo NCMP000 1
correspondiente correspondiente AQ0CS00 0.993421
; ; Fx 1
y y CC 0.999989
que que CS 0.449861
una uno DI0FS0 0.951973
vez vez NCFS000 1
fijadas fijar VMP00PF 1
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
, , Fc 1
las el DA0FP0 0.988184
partes parte NCCP000 0.997076
deberán deber VMIF3P0 1
proceder proceder VMN0000 0.865854
a a SP 0.998775
realizar realizar VMN0000 1
el el DA0MS0 1
pago pago NCMS000 0.995283
por por SP 1
diferencias diferencia NCFP000 0.996454
que que PR0CN00 0.550139
corresponda corresponder VMSP3S0 0.634863
. . Fp 1

En en SP 1
tal tal DD0CS0 0.672764
virtud virtud NCFS000 1
, , Fc 1
y y CC 0.999989
a_efecto_de a_efecto_de SP 1
dar dar VMN0000 1
cumplimiento cumplimiento NCMS000 1
a a SP 0.998775
la el DA0FS0 0.98926
citada citar VMP00SF 1
ejecutoria ejecutoria NCFS000 0.338898
, , Fc 1
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
deja dejar VMIP3S0 0.992395
insubsistente insubsistente AQ0CS00 1
la el DA0FS0 0.98926
resolución resolución NCFS000 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
12_de_agosto_de_2015 [??:12/8/2015:??.??:??] W 1
, , Fc 1
contenida contener VMP00SF 1
en en SP 1
el el DA0MS0 1
Acuerdo acuerdo NP00000 1
P/IFT/120815/361 P/IFT/120815/361 Z 1
, , Fc 1
y y CC 0.999989
en en SP 1
éste este PD0MS00 1
acto acto NCMS000 1
se se P00CN00 0.494509
emite emitir VMIP3S0 0.989238
otra otro PI0FS00 0.259107
en en SP 1
la el DA0FS0 0.98926
que que PR0CN00 0.550139
tomando tomar VMG0000 1
en en SP 1
consideración consideración NCFS000 1
lo el DA00S0 0.665165
ordenado ordenar VMP00SM 1
por por SP 1
la el DA0FS0 0.98926
ejecutoria ejecutoria NCFS000 0.338898
, , Fc 1
se se P00CN00 0.494509
determinan determinar VMIP3P0 1
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
interconexión interconexión NCFS000 1
que que PR0CN00 0.550139
Telcel telcel NP00000 1
deberá deber VMIF3S0 1
pagar pagar VMN0000 1
a a SP 0.998775
Axtel axtel NP00000 1
, , Fc 1
antes antes RG 1
Alestra alestra NP00000 1
, , Fc 1
por por SP 1
servicios servicio NCMP000 1
de de SP 0.999961
terminación terminación NCFS000 1
de de SP 1
el el DA0MS0 1
Servicio_Local servicio_local NP00000 1
en en SP 1
usuarios usuario NCMP000 0.78169
fijos fijo AQ0MP00 1
para para SP 0.999834
el el DA0MS0 1
periodo periodo NCMS000 1
comprendido comprender VMP00SM 1
entre entre SP 0.980341
el el DA0MS0 1
1_de_enero [??:1/1/??:??.??:??] W 1
a a SP 1
el el DA0MS0 1
11_de_agosto_de_2015 [??:11/8/2015:??.??:??] W 1
en en SP 1
adición adición NCFS000 1
a a SP 0.998775
la el DA0FS0 0.98926
tarifa tarifa NCFS000 0.984962
fijada fijar VMP00SF 1
para para SP 0.999834
el el DA0MS0 1
periodo periodo NCMS000 1
de de SP 1
el el DA0MS0 1
12_de_agosto [??:12/8/??:??.??:??] W 1
a a SP 1
el el DA0MS0 1
31_de_diciembre_de_dos_mil_quince [??:31/12/2015:??.??:??] W 1
, , Fc 1
esto este PD00S00 1
es ser VSIP3S0 1
, , Fc 1
se se P00CN00 0.494509
resuelve resolver VMIP3S0 0.989241
todo todo DI0MS0 0.6662
el el DA0MS0 1
periodo periodo NCMS000 1
que que PR0CN00 0.550139
fue ser VSIS3S0 0.980739
solicitado solicitar VMP00SM 1
. . Fp 1

Aunado aunar VMP00SM 1
a a SP 0.998775
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
y y CC 0.999989
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
lo el DA00S0 0.665165
mandatado mandatado NCMS000 0.111237
por por SP 1
el el DA0MS0 1
Segundo_Tribunal_Colegiado segundo_tribunal_colegiado NP00000 1
en en SP 1
Materia_Administrativa_Especializado materia_administrativa_especializado NP00000 1
en en SP 1
Competencia_Económica competencia_económica NP00000 1
, , Fc 1
Radiodifusión radiodifusión NP00000 1
y y CC 0.999989
Telecomunicaciones telecomunicaciones NP00000 1
con con SP 1
residencia residencia NCFS000 0.988439
en en SP 1
la el DA0FS0 0.98926
Ciudad_de_México ciudad_de_méxico NP00000 1
y y CC 0.999989
jurisdicción jurisdicción NCFS000 1
en en SP 1
toda todo DI0FS0 0.984467
la el DA0FS0 0.98926
República república NP00000 1
, , Fc 1
se se P00CN00 0.494509
deberá deber VMIF3S0 1
establecer establecer VMN0000 1
la el DA0FS0 0.98926
obligación obligación NCFS000 1
para para SP 0.999834
que que CS 0.449861
en en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
, , Fc 1
se se P00CN00 0.494509
realice realizar VMSP3S0 0.534863
el el DA0MS0 1
pago pago NCMS000 0.995283
de de SP 0.999961
las el DA0FP0 0.988184
diferencias diferencia NCFP000 0.996454
parta partir VMSP3S0 0.634854
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
que que PR0CN00 0.550139
ya ya RG 0.999785
fueron ser VSIS3P0 0.933213
cobradas cobrar VMP00PF 1
, , Fc 1
a_efecto_de a_efecto_de SP 1
que que CS 0.449861
durante durante SP 1
todo todo DI0MS0 0.6662
dos_mil_quince 2015 Z 1
se se P00CN00 0.494509
observen observar VMSP3P0 0.941964
efectivamente efectivamente RG 1
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
fijadas fijar VMP00PF 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
resolución resolución NCFS000 1
. . Fp 1

SEGUNDO 2 AO0MS00 0.900353
. . Fp 1
- - Fg 1
Competencia_de_el_Instituto competencia_de_el_instituto NP00000 1
. . Fp 1

De de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
6 6 Z 1
° ° Fz 1
, , Fc 1
apartado apartar VMP00SM 0.336957
B b NP00000 1
fracción fracción NCFS000 1
II ii NP00000 1
, , Fc 1
28 28 Z 1
, , Fc 1
párrafos párrafo NCMP000 1
décimo décimo NCMS000 0.392601
quinto 5 AO0MS00 0.73057
y y CC 0.999989
décimo 10 AO0MS00 0.607399
sexto sexto NCMS000 0.0121951
de de SP 0.999961
la el DA0FS0 0.98926
Constitución constitución NP00000 1
y y CC 0.999989
7 7 Z 1
, , Fc 1
primer 1 AO0MS00 1
párrafo párrafo NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
LFTR lftr NP00000 1
; ; Fx 1
el el DA0MS0 1
Instituto instituto NP00000 1
es ser VSIP3S0 1
un uno DI0MS0 0.99698
órgano órgano NCMS000 1
público público AQ0MS00 0.409696
autónomo autónomo AQ0MS00 0.980769
, , Fc 1
independiente independiente AQ0CS00 1
en en SP 1
sus su DP3CPN 0.999903
decisiones decisión NCFP000 1
y y CC 0.999989
funcionamiento funcionamiento NCMS000 1
, , Fc 1
con con SP 1
personalidad personalidad NCFS000 1
jurídica jurídico AQ0FS00 1
y y CC 0.999989
patrimonio patrimonio NCMS000 1
