RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_OTORGA_A_EL_ORGANISMO_PROMOTOR_DE_INVERSIONES_EN_TELECOMUNICACIONES resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_otorga_a_el_organismo_promotor_de_inversiones_en_telecomunicaciones NP00000 1
la el DA0FS0 0.98926
red red NCFS000 1
pública público AQ0FS00 1
compartida compartir VMP00SF 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
otras otro PI0FP00 0.134592
para para SP 0.999834
la el DA0FS0 0.98926
prestación prestación NCFS000 1
de de SP 0.999961
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
por por SP 1
sí sí RG 0.654652
, , Fc 1
a_través_de a_través_de SP 1
terceros tercero NCMP000 0.5
o o CC 0.999864
en en SP 1
asociación asociación NCFS000 1
público público AQ0MS00 0.409696
privada privar VMP00SF 0.936047
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
PROMTEL promtel NP00000 1
indicó indicar VMIS3S0 1
que que CS 0.449861
las el DA0FP0 0.988184
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
objeto objeto NCMS000 0.996183
de de SP 0.999961
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
, , Fc 1
constituyen constituir VMIP3P0 1
un uno DI0MS0 0.99698
elemento elemento NCMS000 0.98913
fundamental fundamental AQ0CS00 1
para para SP 0.999834
dar dar VMN0000 1
cumplimiento cumplimiento NCMS000 1
a a SP 0.998775
su su DP3CSN 1
objeto objeto NCMS000 0.996183
; ; Fx 1
adicionalmente adicionalmente RG 1
, , Fc 1
manifestó manifestar VMIS3S0 1
que que CS 0.449861
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
las el DA0FP0 0.988184
Bases bases NP00000 1
, , Fc 1
para para SP 0.999834
la el DA0FS0 0.98926
conformación conformación NCFS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
asociación asociación NCFS000 1
público-privada público_privado AQ0FS00 1
, , Fc 1
dicho decir VMP00SM 0.997159
organismo organismo NCMS000 1
deberá deber VMIF3S0 1
aportar aportar VMN0000 1
los el DA0MP0 0.992728
derechos derecho NCMP000 0.996795
de de SP 0.999961
uso uso NCMS000 0.998047
de de SP 0.999961
las el DA0FP0 0.988184
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
mencionadas mencionar VMP00PF 1
, , Fc 1
a_fin_de a_fin_de SP 1
que que CS 0.449861
el el DA0MS0 1
participante participante AQ0CS00 0.541299
ganador ganador NCMS000 0.815315
de de SP 0.999961
la el DA0FS0 0.98926
licitación licitación NCFS000 1
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refieren referir VMIP3P0 1
las el DA0FP0 0.988184
Bases bases NP00000 1
, , Fc 1
se se P00CN00 0.494509
encuentre encontrar VMSP3S0 0.634863
en en SP 1
posibilidad posibilidad NCFS000 1
de de SP 0.999961
realizar realizar VMN0000 1
las el DA0FP0 0.988184
acciones acción NCFP000 0.998534
necesarias necesario AQ0FP00 1
para para SP 0.999834
la el DA0FS0 0.98926
instalación instalación NCFS000 1
y y CC 0.999989
despliegue despliegue NCMS000 0.959459
de de SP 0.999961
la el DA0FS0 0.98926
red red NCFS000 1
pública público AQ0FS00 1
compartida compartir VMP00SF 1
. . Fp 1

En en SP 1
ese ese DD0MS0 0.966694
sentido sentido NCMS000 0.940835
, , Fc 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
de de SP 0.999961
la el DA0FS0 0.98926
red red NCFS000 1
pública público AQ0FS00 1
compartida compartir VMP00SF 1
objeto objeto NCMS000 0.996183
de de SP 0.999961
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
, , Fc 1
será ser VSIF3S0 1
desarrollado desarrollar VMP00SM 0.991803
mediante mediante SP 0.99763
un uno DI0MS0 0.99698
contrato contrato NCMS000 0.996689
de de SP 0.999961
asociación asociación NCFS000 1
público-privada público_privado AQ0FS00 1
que que PR0CN00 0.550139
a a SP 1
el el DA0MS0 1
efecto efecto NCMS000 1
se se P00CN00 0.494509
suscriba suscribir VMSP3S0 0.634863
, , Fc 1
por_virtud_de por_virtud_de SP 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
PROMTEL promtel NP00000 1
deberá deber VMIF3S0 1
aportar aportar VMN0000 1
bajo bajo SP 0.909179
la el DA0FS0 0.98926
figura figura NCFS000 0.568905
de de SP 0.999961
arrendamiento arrendamiento NCMS000 1
, , Fc 1
los el DA0MP0 0.992728
derechos derecho NCMP000 0.996795
de de SP 0.999961
uso uso NCMS000 0.998047
, , Fc 1
aprovechamiento aprovechamiento NCMS000 1
y y CC 0.999989
explotación explotación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
que que PR0CN00 0.550139
incluye incluir VMIP3S0 0.95045
los el DA0MP0 0.992728
segmento segmento NCMS000 0.989726
de de SP 0.999961
703 703 Z 1
a a SP 0.998775
748 748 Z 1
y y CC 0.999989
de de SP 0.999961
758 758 Z 1
a a SP 0.998775
803 803 Z 1
MHz mhz NP00000 1
, , Fc 1
con con SP 1
un uno DI0MS0 0.99698
total total NCMS000 0.405303
de de SP 0.999961
90 90 Z 1
MHz mhz NP00000 1
, , Fc 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
las el DA0FP0 0.988184
atribuciones atribución NCFP000 1
conferidas conferir VMP00PF 1
en en SP 1
su su DP3CSN 1
Decreto_de_Creación decreto_de_creación NP00000 1
. . Fp 1

Capacidad_Técnica capacidad_técnica NP00000 1
, , Fc 1
Económica económica NP00000 1
, , Fc 1
Jurídica jurídica NP00000 1
y y CC 0.999989
Administrativa administrativa NP00000 1
. . Fp 1

Capacidad_Técnica capacidad_técnica NP00000 1
. . Fp 1

PROMTEL promtel NP00000 1
señaló señalar VMIS3S0 1
las el DA0FP0 0.988184
atribuciones atribución NCFP000 1
que que PR0CN00 0.550139
tiene tener VMIP3S0 1
conferidas conferir VMP00PF 1
en_virtud_de en_virtud_de SP 1
su su DP3CSN 1
Decreto_de_Creación decreto_de_creación NP00000 1
, , Fc 1
mismas mismo AQ0FP00 0.995495
que que PR0CN00 0.550139
se se P00CN00 0.494509
encuentran encontrar VMIP3P0 1
orientadas orientar VMP00PF 1
a a SP 0.998775
garantizar garantizar VMN0000 1
la el DA0FS0 0.98926
instalación instalación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
red red NCFS000 1
pública público AQ0FS00 1
compartida compartir VMP00SF 1
objeto objeto NCMS000 0.996183
de de SP 0.999961
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
de de SP 1
el el DA0MS0 1
“ “ Fra 1
Estatuto_Orgánico_de_el_Organismo_Promotor_de_Inversiones estatuto_orgánico_de_el_organismo_promotor_de_inversiones NP00000 1
en en SP 1
Telecomunicaciones telecomunicaciones NP00000 1
” ” Frc 1
, , Fc 1
publicado publicar VMP00SM 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
6_de_septiembre_de_2016 [??:6/9/2016:??.??:??] W 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
Estatuto_Orgánico_de_PROMTEL estatuto_orgánico_de_promtel NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
se se P00CN00 0.494509
desprende desprender VMIP3S0 0.980769
que que CS 0.449861
éste este PD0MS00 1
cuenta contar VMIP3S0 0.768585
con con SP 1
una uno DI0FS0 0.951973
Unidad_de_Ingeniería unidad_de_ingeniería NP00000 1
, , Fc 1
Supervisión supervisión NP00000 1
y y CC 0.999989
Control_de_Proyectos control_de_proyectos NP00000 1
, , Fc 1
misma mismo PI0FS00 0.18316
que que PR0CN00 0.550139
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
sus su DP3CPN 0.999903
facultades facultad NCFP000 1
cuenta contar VMIP3S0 0.768585
con con SP 1
la el DA0FS0 0.98926
capacidad capacidad NCFS000 1
técnica técnico AQ0FS00 0.294798
para para SP 0.999834
la el DA0FS0 0.98926
implementación implementación NCFS000 1
de de SP 1
el el DA0MS0 1
presente presente AQ0CS00 0.524254
proyecto proyecto NCMS000 0.999084
. . Fp 1

Capacidad_Económica capacidad_económica NP00000 1
. . Fp 1

PROMTEL promtel NP00000 1
manifestó manifestar VMIS3S0 1
que que CS 0.449861
la el DA0FS0 0.98926
capacidad capacidad NCFS000 1
económica económico AQ0FS00 1
requerida requerir VMP00SF 1
para para SP 0.999834
la el DA0FS0 0.98926
implementación implementación NCFS000 1
de de SP 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
se se P00CN00 0.494509
encuentra encontrar VMIP3S0 0.97619
contemplada contemplar VMP00SF 1
en en SP 1
la el DA0FS0 0.98926
asignación asignación NCFS000 1
presupuestal presupuestal AQ0CS00 1
establecida establecer VMP00SF 1
en en SP 1
el el DA0MS0 1
Presupuesto_de_Egresos_de_la_Federación presupuesto_de_egresos_de_la_federación NP00000 1
2017 2017 Z 1
, , Fc 1
publicado publicar VMP00SM 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
30_de_noviembre_de_2016 [??:30/11/2016:??.??:??] W 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
los el DA0MP0 0.992728
“ “ Fra 1
Calendarios calendario NCMP000 0.668984
de de SP 0.999961
presupuesto presupuesto NCMS000 0.988439
autorizados autorizar VMP00PM 1
para para SP 0.999834
el el DA0MS0 1
ejercicio ejercicio NCMS000 1
fiscal fiscal AQ0CS00 0.438525
2017 2017 Z 1
” ” Frc 1
, , Fc 1
publicados publicar VMP00PM 1
por por SP 1
la el DA0FS0 0.98926
Secretaría secretaría NP00000 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
4_de_enero_de_2017 [??:4/1/2017:??.??:??] W 1
, , Fc 1
especifican especificar VMIP3P0 1
el el DA0MS0 1
presupuesto presupuesto NCMS000 0.988439
asignado asignar VMP00SM 0.623747
a a SP 0.998775
dicho decir VMP00SM 0.997159
organismo organismo NCMS000 1
descentralizado descentralizar VMP00SM 1
para para SP 0.999834
el el DA0MS0 1
año_2017 [??:??/??/2017:??.??:??] W 1
. . Fp 1

Capacidad_Jurídica capacidad_jurídica NP00000 1
. . Fp 1

PROMTEL promtel NP00000 1
hizo_referencia hacer_referencia VMIS3S0 1
a a SP 0.998775
su su DP3CSN 1
Decreto_de_Creación decreto_de_creación NP00000 1
, , Fc 1
publicado publicar VMP00SM 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
11_de_marzo_de_2016 [??:11/3/2016:??.??:??] W 1
, , Fc 1
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
acredita acreditar VMIP3S0 0.982424
su su DP3CSN 1
existencia existencia NCFS000 1
y y CC 0.999989
naturaleza naturaleza NCFS000 1
jurídica jurídico AQ0FS00 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
su su DP3CSN 1
Director_General director_general NP00000 1
, , Fc 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
17 17 Z 1
de de SP 1
el el DA0MS0 1
Estatuto_Orgánico_de_PROMTEL estatuto_orgánico_de_promtel NP00000 1
, , Fc 1
y y CC 0.999989
el el DA0MS0 1
artículo artículo NCMS000 1
22 22 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_las_Entidades_Paraestatales ley_federal_de_las_entidades_paraestatales NP00000 1
, , Fc 1
está estar VMIP3S0 0.999398
plenamente plenamente RG 1
facultado facultar VMP00SM 1
para para SP 0.999834
representar representar VMN0000 1
a a SP 0.998775
dicho decir VMP00SM 0.997159
organismo organismo NCMS000 1
. . Fp 1

Capacidad_Administrativa capacidad_administrativa NP00000 1
. . Fp 1

PROMTEL promtel NP00000 1
indicó indicar VMIS3S0 1
que que CS 0.449861
su su DP3CSN 1
organización organización NCFS000 1
y y CC 0.999989
funcionamiento funcionamiento NCMS000 1
interno interno AQ0MS00 0.986014
se se P00CN00 0.494509
encuentran encontrar VMIP3P0 1
contemplados contemplar VMP00PM 1
en en SP 1
el el DA0MS0 1
Estatuto_Orgánico_de_PROMTEL estatuto_orgánico_de_promtel NP00000 1
. . Fp 1

Pago pago NCMS000 0.99061
por por SP 1
el el DA0MS0 1
análisis análisis NCMN000 1
de de SP 0.999961
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
. . Fp 1

Por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
hace hacer VMIP3S0 1
a a SP 1
el el DA0MS0 1
comprobante comprobante NCMS000 1
de de SP 0.999961
pago pago NCMS000 0.995283
de de SP 0.999961
derechos derecho NCMP000 0.996795
, , Fc 1
PROMTEL promtel NP00000 1
presentó presentar VMIS3S0 1
la el DA0FS0 0.98926
factura factura NCFS000 0.962264
160004629 160004629 Z 1
, , Fc 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
7_de_diciembre_de_2016 [??:7/12/2016:??.??:??] W 1
, , Fc 1
por por SP 1
el el DA0MS0 1
monto monto NCMS000 0.939852
establecido establecer VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
173 173 Z 1
apartado apartado NCMS000 0.663043
A a NP00000 1
fracción fracción NCFS000 1
I i NP00000 1
, , Fc 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Derechos ley_federal_de_derechos NP00000 1
, , Fc 1
por por SP 1
concepto concepto NCMS000 1
de de SP 1
el el DA0MS0 1
estudio estudio NCMS000 0.97043
de de SP 0.999961
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
y y CC 0.999989
, , Fc 1
en en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
, , Fc 1
expedición expedición NCFS000 1
de de SP 0.999961
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
para para SP 0.999834
usar usar VMN0000 1
, , Fc 1
aprovechar aprovechar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
de de SP 0.999961
uso uso NCMS000 0.998047
de de SP 0.999961
uso uso NCMS000 0.998047
determinado determinar VMP00SM 1
para para SP 0.999834
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
. . Fp 1

Por_otro_lado por_otro_lado RG 1
, , Fc 1
en en SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
respecta respectar VMIP3S0 0.989241
a a SP 1
el el DA0MS0 1
plazo plazo NCMS000 1
establecido establecer VMP00SM 1
en en SP 1
el el DA0MS0 1
numeral numeral NCMS000 0.349312
14.2.3 14.2.3 Z 1
de de SP 0.999961
las el DA0FP0 0.988184
Bases bases NP00000 1
, , Fc 1
de de SP 0.999961
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
se se P00CN00 0.494509
desprende desprender VMIP3S0 0.980769
que que CS 0.449861
la el DA0FS0 0.98926
misma mismo AQ0FS00 0.81684
fue ser VSIS3S0 0.980739
presentada presentar VMP00SF 1
dentro_de dentro_de SP 1
los el DA0MP0 0.992728
5 5 Z 1
( ( Fpa 1
cinco 5 Z 0.999454
) ) Fpt 1
días día NCMP000 1
hábiles hábil AQ0CP00 1
siguientes siguiente AQ0CP00 1
a a SP 0.998775
que que CS 0.449861
el el DA0MS0 1
concursante concursante AQ0CS00 0.627944
ganador ganador NCMS000 0.815315
de de SP 0.999961
la el DA0FS0 0.98926
licitación licitación NCFS000 1
objeto objeto NCMS000 0.996183
de de SP 0.999961
las el DA0FP0 0.988184
Bases bases NP00000 1
le le PP3CSD0 1
entregara entregar VMSI3S0 0.65
la el DA0FS0 0.98926
documentación documentación NCFS000 1
referida referir VMP00SF 1
en en SP 1
el el DA0MS0 1
numeral numeral NCMS000 0.349312
14.1 14.1 Z 1
de de SP 0.999961
las el DA0FP0 0.988184
mismas mismo AQ0FP00 0.995495
. . Fp 1

Adicionalmente adicionalmente RG 1
, , Fc 1
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
Dirección_General_de_Concesiones_de_Telecomunicaciones dirección_general_de_concesiones_de_telecomunicaciones NP00000 1
, , Fc 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
IFT/223/UCS/DG-CTEL/2894/2016 IFT/223/UCS/DG-CTEL/2894/2016 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
13_de_diciembre_de_2016 [??:13/12/2016:??.??:??] W 1
, , Fc 1
solicitó solicitar VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Dirección_General_de_Concentraciones dirección_general_de_concentraciones NP00000 1
y y CC 0.999989
Concesiones_de_la_Unidad_de_Competencia_Económica concesiones_de_la_unidad_de_competencia_económica NP00000 1
opinión opinión NCFS000 1
respecto_de respecto_de SP 1
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
. . Fp 1

En en SP 1
respuesta respuesta NCFS000 1
a a SP 0.998775
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
IFT/226/UCE/DG-CCON/469/2016 IFT/226/UCE/DG-CCON/469/2016 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
21de 21de Z 1
diciembre_de_2016 [??:??/12/2016:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Dirección_General_de_Concentraciones dirección_general_de_concentraciones NP00000 1
y y CC 0.999989
Concesiones concesiones NP00000 1
emitió emitir VMIS3S0 1
opinión opinión NCFS000 1
en_materia_de en_materia_de SP 1
competencia competencia NCFS000 1
económica económico AQ0FS00 1
en en SP 1
sentido sentido NCMS000 0.940835
favorable favorable AQ0CS00 1
respecto_de respecto_de SP 1
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
que que PR0CN00 0.550139
nos nos PP1CP00 0.810258
ocupa ocupar VMIP3S0 0.99505
en en SP 1
los el DA0MP0 0.992728
siguientes siguiente AQ0CP00 1
términos término NCMP000 1
: : Fd 1
“ “ Fra 1
[ [ Fca 1
… … Fz 1
] ] Fct 1
III.1 III.1 Z 1
. . Fp 1

Concesiones concesiones NP00000 0.331016
y y CC 0.999989
Permisos_de_el_PROMTEL permisos_de_el_promtel NP00000 1
y y CC 0.999989
Personas_Relacionadas_De_acuerdo_con personas_relacionadas_de_acuerdo_con NP00000 1
información información NCFS000 1
presentada presentar VMP00SF 1
por por SP 1
el el DA0MS0 1
PROMTEL promtel NP00000 1
, , Fc 1
el el DA0MS0 1
Registro_Público_de_Concesiones_de_el_Instituto registro_público_de_concesiones_de_el_instituto NP00000 1
, , Fc 1
así_como así_como CC 1
el el DA0MS0 1
expediente expediente NCMS000 0.982759
UCE/OLC-002-2016 UCE/OLC-002-2016 Z 1
, , Fc 1
el el DA0MS0 1
Solicitante solicitante NP00000 1
y y CC 0.999989
Personas_Relacionadas personas_relacionadas NP00000 1
no no RN 0.999297
cuentan contar VMIP3P0 1
con con SP 1
permisos permiso NCMP000 1
o o CC 0.999864
concesiones concesión NCFP000 1
para para SP 0.999834
prestar prestar VMN0000 1
servicios servicio NCMP000 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
móviles móvil AQ0CP00 0.596154
en en SP 1
México méxico NP00000 1
. . Fp 1

Adicionalmente adicionalmente RG 1
, , Fc 1
el el DA0MS0 1
Solicitante solicitante NP00000 1
y y CC 0.999989
Personas_Relacionadas personas_relacionadas NP00000 1
no no RN 0.999297
ofrecen ofrecer VMIP3P0 1
directa directo AQ0FS00 1
o o CC 0.999864
indirectamente indirectamente RG 1
servicios servicio NCMP000 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
móviles móvil AQ0CP00 0.596154
en en SP 1
México méxico NP00000 1
. . Fp 1

IV iv NP00000 0.47288
. . Fp 1

Análisis análisis NP00000 0.331016
y y CC 0.999989
opinión opinión NCFS000 1
en_materia_de en_materia_de SP 1
competencia competencia NCFS000 1
económica económico AQ0FS00 1
de de SP 0.999961
la el DA0FS0 0.98926
Solicitud_En_caso_de solicitud_en_caso_de NP00000 1
otorgar otorgar VMN0000 1
se se PP3CN00 1
la el DA0FS0 0.98926
concesión concesión NCFS000 1
de de SP 0.999961
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
a a SP 0.998775
PROMTEL promtel NP00000 1
, , Fc 1
dicho decir VMP00SM 0.997159
organismo organismo NCMS000 1
, , Fc 1
en en SP 1
asociación asociación NCFS000 1
con con SP 1
Altán_Redes altán_redes NP00000 1
, , Fc 1
podrá poder VMIF3S0 1
prestar prestar VMN0000 1
servicios servicio NCMP000 1
mayoristas mayorista AQ0CP00 0.788462
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
móviles móvil AQ0CP00 0.596154
con con SP 1
cobertura cobertura NCFS000 1
nacional nacional AQ0CS00 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
Red_Compartida red_compartida NP00000 1
. . Fp 1

A_partir_de a_partir_de SP 1
la el DA0FS0 0.98926
información información NCFS000 1
remitida remitir VMP00SF 1
por por SP 1
la el DA0FS0 0.98926
DGCT dgct NP00000 1
y y CC 0.999989
disponible disponible AQ0CS00 1
para para SP 0.999834
esta este DD0FS0 0.978817
DGCC dgcc NP00000 1
, , Fc 1
se se P00CN00 0.494509
identificó identificar VMIS3S0 1
que que CS 0.449861
el el DA0MS0 1
PROMTEL promtel NP00000 1
y y CC 0.999989
Personas_Relacionadas personas_relacionadas NP00000 1
, , Fc 1
no no RN 0.999297
participan participar VMIP3P0 1
, , Fc 1
directa directo AQ0FS00 1
o o CC 0.999864
indirectamente indirectamente RG 1
, , Fc 1
como como CS 0.967153
accionistas accionista NCCP000 0.992424
, , Fc 1
socios socio NCMP000 1
o o CC 0.999864
miembros miembro NCMP000 0.998938
de de SP 1
el el DA0MS0 1
consejo consejo NCMS000 1
de de SP 0.999961
administración administración NCFS000 1
en en SP 1
sociedades sociedad NCFP000 1
o o CC 0.999864
empresas empresa NCFP000 1
que que PR0CN00 0.550139
cuenten contar VMSP3P0 0.941964
con con SP 1
concesiones concesión NCFP000 1
o o CC 0.999864
permisos permiso NCMP000 1
para para SP 0.999834
prestar prestar VMN0000 1
servicios servicio NCMP000 1
mayoristas mayorista AQ0CP00 0.788462
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
móviles móvil AQ0CP00 0.596154
en en SP 1
México méxico NP00000 1
. . Fp 1

Por por SP 1
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
el el DA0MS0 1
PROMTEL promtel NP00000 1
, , Fc 1
en en SP 1
asociación asociación NCFS000 1
con con SP 1
Altán_Redes altán_redes NP00000 1
, , Fc 1
será ser VSIF3S0 1
un uno DI0MS0 0.99698
nuevo nuevo AQ0MS00 1
competidor competidor NCMS000 0.6137
en en SP 1
la el DA0FS0 0.98926
prestación prestación NCFS000 1
de de SP 0.999961
servicios servicio NCMP000 1
mayoristas mayorista AQ0CP00 0.788462
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
móviles móvil AQ0CP00 0.596154
en en SP 1
México méxico NP00000 1
. . Fp 1

En en SP 1
conclusión conclusión NCFS000 1
, , Fc 1
con con SP 1
base base NCCS000 0.963722
en en SP 1
la el DA0FS0 0.98926
información información NCFS000 1
disponible disponible AQ0CS00 1
, , Fc 1
no no RN 0.999297
se se P00CN00 0.494509
prevé prever VMIP3S0 0.967836
que que CS 0.449861
, , Fc 1
en_caso_de en_caso_de SP 1
que que CS 0.449861
se se P00CN00 0.494509
otorgue otorgar VMSP3S0 0.634863
a a SP 1
el el DA0MS0 1
PROMTEL promtel NP00000 1
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
de de SP 0.999961
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
, , Fc 1
en en SP 1
los el DA0MP0 0.992728
rangos rango NCMP000 1
703-748 703-748 Z 1
MHZ mhz NP00000 1
y y CC 0.999989
758-803 758-803 Z 1
MHz mhz NP00000 1
, , Fc 1
con con SP 1
un uno DI0MS0 0.99698
total total NCMS000 0.405303
de de SP 0.999961
90 90 Z 1
MHz mhz NP00000 1
, , Fc 1
se se P00CN00 0.494509
generen generar VMSP3P0 0.941964
efectos efecto NCMP000 1
contrarios contrario AQ0MP00 0.561294
en en SP 1
el el DA0MS0 1
proceso proceso NCMS000 0.999101
de de SP 0.999961
competencia competencia NCFS000 1
y y CC 0.999989
libre libre AQ0CS00 0.957522
concurrencia concurrencia NCFS000 1
en en SP 1
la el DA0FS0 0.98926
provisión provisión NCFS000 1
de de SP 0.999961
servicios servicio NCMP000 1
mayoristas mayorista AQ0CP00 0.788462
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
móviles móvil AQ0CP00 0.596154
en en SP 1
México méxico NP00000 1
. . Fp 1

El el DA0MS0 1
análisis análisis NCMN000 1
y y CC 0.999989
la el DA0FS0 0.98926
opinión opinión NCFS000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
emite emitir VMIP3S0 0.989238
en en SP 1
este este DD0MS0 0.949201
documento documento NCMS000 0.997159
se se P00CN00 0.494509
circunscriben circunscribir VMIP3P0 1
a a SP 0.998775
la el DA0FS0 0.98926
evaluación evaluación NCFS000 1
en_materia_de en_materia_de SP 1
competencia competencia NCFS000 1
económica económico AQ0FS00 1
de de SP 0.999961
la el DA0FS0 0.98926
Solicitud solicitud NP00000 1
, , Fc 1
sin sin SP 1
prejuzgar prejuzgar VMN0000 1
sobre sobre SP 0.997804
otras otro DI0FP0 0.865408
autorizaciones autorización NCFP000 1
, , Fc 1
requisitos requisito NCMP000 0.98913
u o CC 0.99505
obligaciones obligación NCFP000 1
que que PR0CN00 0.550139
, , Fc 1
en en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
, , Fc 1
el el DA0MS0 1
PROMTEL promtel NP00000 1
o o CC 0.999864
Altán_Redes altán_redes NP00000 1
deba deber VMSP3S0 0.634863
( ( Fpa 1
n n NCFS000 1
) ) Fpt 1
obtener obtener VMN0000 1
de de SP 0.999961
este este DD0MS0 0.949201
Instituto instituto NP00000 1
u o CC 0.99505
otra otro DI0FS0 0.740893
autoridad autoridad NCFS000 1
competente competente AQ0CS00 1
; ; Fx 1
ni ni CC 0.834853
sobre sobre SP 0.997804
violaciones violación NCFP000 1
a a SP 0.998775
la el DA0FS0 0.98926
Ley_Federal_de_Competencia_Económica ley_federal_de_competencia_económica NP00000 1
, , Fc 1
