RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_AUTORIZA_A_UCA_COMUNICACIONES resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_autoriza_a_uca_comunicaciones NP00000 1
y y CC 0.999989
( ( Fpa 1
ii i_i NCFS000 1
) ) Fpt 1
las el DA0FP0 0.988184
obligaciones obligación NCFP000 1
derivadas derivar VMP00PF 0.623747
de de SP 0.999961
la el DA0FS0 0.98926
legislación legislación NCFS000 1
aplicable aplicable AQ0CS00 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
competencia competencia NCFS000 1
económica económico AQ0FS00 1
. . Fp 1

La el DA0FS0 0.98926
verificación verificación NCFS000 1
de de SP 1
el el DA0MS0 1
cumplimiento cumplimiento NCMS000 1
de de SP 0.999961
las el DA0FP0 0.988184
obligaciones obligación NCFP000 1
aplicables aplicable AQ0CP00 1
será ser VSIF3S0 1
realizada realizar VMP00SF 1
por por SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
unidad unidad NCFS000 1
administrativa administrativo AQ0FS00 0.661294
competente competente AQ0CS00 1
. . Fp 1
” ” Frc 1
[ [ Fca 1
Énfasis énfasis NCMN000 0.668984
añadido añadir VMP00SM 0.992958
] ] Fct 1
Tomando tomando NP00000 1
en en SP 1
cuenta contar VMIP3S0 0.768585
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
derivado derivar VMP00SM 0.623747
de de SP 0.999961
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
de de SP 0.999961
transición transición NCFS000 1
que que PR0CN00 0.550139
presenten presentar VMSP3P0 0.980769
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
de de SP 0.999961
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
y y CC 0.999989
en_virtud_de en_virtud_de SP 1
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
25 25 Z 1
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
se se P00CN00 0.494509
otorgará otorgar VMIF3S0 1
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
única único AQ0FS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
, , Fc 1
en en SP 1
términos término NCMP000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
67 67 Z 1
fracción fracción NCFS000 1
I_de_la_Ley i_de_la_ley NP00000 1
, , Fc 1
con con SP 1
la el DA0FS0 0.98926
cual cual PR0CS00 0.930743
el el DA0MS0 1
concesionario concesionario NCMS000 0.488737
podrá poder VMIF3S0 1
prestar prestar VMN0000 1
todo todo DI0MS0 0.6662
tipo tipo NCMS000 1
de de SP 0.999961
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
con con SP 1
fines fin NCMP000 0.994186
de de SP 0.999961
lucro lucro NCMS000 0.989726
, , Fc 1
y y CC 0.999989
en en SP 1
cualquier cualquiera DI0CS0 1
parte parte NCCS000 0.977711
de de SP 1
el el DA0MS0 1
territorio territorio NCMS000 1
nacional nacional AQ0CS00 1
. . Fp 1

Lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
en en SP 1
el el DA0MS0 1
entendido entender VMP00SM 0.97619
de de SP 0.999961
que que CS 0.449861
en_caso_de en_caso_de SP 1
requerir requerir VMN0000 1
utilizar utilizar VMN0000 1
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
distintas distinto AQ0FP00 0.480159
a a SP 0.998775
las el DA0FP0 0.988184
de de SP 0.999961
uso uso NCMS000 0.998047
libre libre AQ0CS00 0.957522
o o CC 0.999864
, , Fc 1
en en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
, , Fc 1
recursos recurso NCMP000 1
orbitales orbital NCMP000 0.968254
para para SP 0.999834
la el DA0FS0 0.98926
prestación prestación NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
servicios servicio NCMP000 1
, , Fc 1
deberá deber VMIF3S0 1
obtener obtener VMN0000 1
las lo PP3FPA0 1
conforme_a conforme_a SP 1
los el DA0MP0 0.992728
términos término NCMP000 1
y y CC 0.999989
modalidades modalidad NCFP000 1
establecidos establecer VMP00PM 1
en en SP 1
la el DA0FS0 0.98926
Ley ley NP00000 1
. . Fp 1

En en SP 1
ese ese DD0MS0 0.966694
sentido sentido NCMS000 0.940835
, , Fc 1
es ser VSIP3S0 1
importante importante AQ0CS00 1
destacar destacar VMN0000 1
que que CS 0.449861
ser ser VSN0000 0.959637
titular titular AQ0CS00 0.177388
de de SP 0.999961
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
única único AQ0FS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
permite permitir VMIP3S0 0.997312
prestar prestar VMN0000 1
todo todo DI0MS0 0.6662
tipo tipo NCMS000 1
de de SP 0.999961
servicios servicio NCMP000 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
en en SP 1
cualquier cualquiera DI0CS0 1
parte parte NCCS000 0.977711
de de SP 1
el el DA0MS0 1
territorio territorio NCMS000 1
nacional nacional AQ0CS00 1
, , Fc 1
por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
no no RN 0.999297
sería ser VSIC1S0 0.5
necesario necesario AQ0MS00 1
contar contar VMN0000 1
con con SP 1
otros otro DI0MP0 0.745978
títulos título NCMP000 1
de de SP 0.999961
concesión concesión NCFS000 1
de de SP 0.999961
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
que que PR0CN00 0.550139
habiliten habilitar VMSP3P0 0.941964
a a SP 0.998775
su su DP3CSN 1
titular titular NCCS000 0.820663
a a SP 0.998775
prestar prestar VMN0000 1
servicios servicio NCMP000 1
de de SP 0.999961
manera manera NCFS000 1
limitada limitar VMP00SF 1
, , Fc 1
y y CC 0.999989
en en SP 1
coberturas cobertura NCFP000 1
específicas específico AQ0FP00 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
dentro_de dentro_de SP 1
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
se se P00CN00 0.494509
establecieron establecer VMIS3P0 1
los el DA0MP0 0.992728
criterios criterio NCMP000 1
que que PR0CN00 0.550139
deben deber VMIP3P0 1
seguir seguir VMN0000 1
se se PP3CN00 1
para para SP 0.999834
consolidar consolidar VMN0000 1
los el DA0MP0 0.992728
diferentes diferente AQ0CP00 0.482818
títulos título NCMP000 1
de de SP 0.999961
concesión concesión NCFS000 1
que que PR0CN00 0.550139
en en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
tengan tener VMSP3P0 0.78169
los el DA0MP0 0.992728
operadores operador NCMP000 0.992958
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
, , Fc 1
así_como así_como CC 1
las el DA0FP0 0.988184
características característica NCFP000 0.994792
generales general AQ0CP00 0.916449
con con SP 1
las el DA0FP0 0.988184
cuales cual PR0CP00 1
se se P00CN00 0.494509
otorgará otorgar VMIF3S0 1
el el DA0MS0 1
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
única único AQ0FS00 1
que que PR0CN00 0.550139
deriven derivar VMSP3P0 0.941964
de de SP 0.999961
dicha decir VMP00SF 0.819767
consolidación consolidación NCFS000 1
. . Fp 1

De de SP 0.999961
esta este DD0FS0 0.978817
manera manera NCFS000 1
, , Fc 1
tomando tomar VMG0000 1
en en SP 1
cuenta contar VMIP3S0 0.768585
lo el DA00S0 0.665165
señalado señalar VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
25 25 Z 1
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
, , Fc 1
en_caso_de en_caso_de SP 1
que que CS 0.449861
un uno DI0MS0 0.99698
concesionario concesionario NCMS000 0.488737
posea poseer VMSP3S0 0.634863
más más RG 0.99993
de de SP 0.999961
un uno DI0MS0 0.99698
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
y y CC 0.999989
solicite solicitar VMSP3S0 0.634863
la el DA0FS0 0.98926
transición transición NCFS000 1
a a SP 1
el el DA0MS0 1
nuevo nuevo AQ0MS00 1
régimen régimen NCMS000 1
de de SP 0.999961
concesionamiento concesionamiento NCMS000 0.981144
, , Fc 1
en en SP 1
dicho decir VMP00SM 0.997159
acto acto NCMS000 1
el el DA0MS0 1
Instituto instituto NP00000 1
consolidará consolidar VMIF3S0 1
en en SP 1
un uno DI0MS0 0.99698
solo solo AQ0MS00 0.787529
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
única único AQ0FS00 1
la el DA0FS0 0.98926
totalidad totalidad NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
mismos mismo PI0MP00 0.47076
. . Fp 1

Así así RG 0.999409
, , Fc 1
el el DA0MS0 1
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
única único AQ0FS00 1
que que PR0CN00 0.550139
emita emitir VMSP3S0 0.634856
el el DA0MS0 1
Instituto instituto NP00000 1
con con SP 1
motivo motivo NCMS000 0.992395
de de SP 0.999961
la el DA0FS0 0.98926
Solicitud_de_Transición solicitud_de_transición NP00000 1
deberá deber VMIF3S0 1
tomar tomar VMN0000 1
en en SP 1
cuenta contar VMIP3S0 0.768585
los el DA0MP0 0.992728
títulos título NCMP000 1
de de SP 0.999961
concesión concesión NCFS000 1
otorgados otorgar VMP00PM 1
previamente previamente RG 1
a a SP 0.998775
su su DP3CSN 1
titular titular NCCS000 0.820663
, , Fc 1
en en SP 1
el el DA0MS0 1
entendido entender VMP00SM 0.97619
de de SP 0.999961
que que CS 0.449861
, , Fc 1
como como CS 0.967153
lo lo PP3MSA0 0.334764
señalan señalar VMIP3P0 1
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
, , Fc 1
las el DA0FP0 0.988184
citadas citar VMP00PF 1
concesiones concesión NCFP000 1
se se P00CN00 0.494509
extinguirán extinguir VMIF3P0 1
como como CS 0.967153
consecuencia consecuencia NCFS000 1
de de SP 0.999961
dicho decir VMP00SM 0.997159
otorgamiento otorgamiento NCMS000 1
. . Fp 1

En en SP 1
relación relación NCFS000 1
con con SP 1
esto este PD00S00 1
último último AO0MS00 1
, , Fc 1
el el DA0MS0 1
citado citar VMP00SM 1
artículo artículo NCMS000 1
25 25 Z 1
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
establece establecer VMIP3S0 0.992424
con_respecto_a con_respecto_a SP 1
la el DA0FS0 0.98926
vigencia vigencia NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
concesión concesión NCFS000 1
única único AQ0FS00 1
que que PR0CN00 0.550139
en en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
se se P00CN00 0.494509
otorgue otorgar VMSP3S0 0.634863
, , Fc 1
que que CS 0.449861
ésta este PD0FS00 1
deberá deber VMIF3S0 1
emitir emitir VMN0000 1
se se PP3CN00 1
por por SP 1
un uno DI0MS0 0.99698
plazo plazo NCMS000 1
equivalente equivalente AQ0CS00 0.430556
a a SP 0.998775
la el DA0FS0 0.98926
vigencia vigencia NCFS000 1
más más RG 0.99993
amplia amplio AQ0FS00 1
contada contar VMP00SF 1
a_partir_de a_partir_de SP 1
la el DA0FS0 0.98926
fecha fecha NCFS000 0.990741
de de SP 0.999961
otorgamiento otorgamiento NCMS000 1
de de SP 1
el el DA0MS0 1
título título NCMS000 1
que que PR0CN00 0.550139
tenga tener VMSP3S0 0.488844
dicha decir VMP00SF 0.819767
vigencia vigencia NCFS000 1
; ; Fx 1
además además RG 1
, , Fc 1
los el DA0MP0 0.992728
compromisos compromiso NCMP000 1
de de SP 0.999961
cobertura cobertura NCFS000 1
mínima mínimo AQ0FS00 0.986111
corresponderán corresponder VMIF3P0 1
a a SP 0.998775
aquellas aquel DD0FP0 0.819767
localidades localidad NCFP000 1
, , Fc 1
municipios municipio NCMP000 1
o o CC 0.999864
Estados estados NP00000 1
que que CS 0.449861
se se P00CN00 0.494509
hayan haber VASP3P0 0.994792
establecido establecer VMP00SM 1
en en SP 1
cada cada DI0CS0 1
uno uno PI0MS00 0.981709
de de SP 0.999961
los el DA0MP0 0.992728
títulos título NCMP000 1
de de SP 0.999961
concesión concesión NCFS000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
vayan ir VMSP3P0 0.986111
a a SP 0.998775
consolidar consolidar VMN0000 1
. . Fp 1

Por_otro_lado por_otro_lado RG 1
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
27 27 Z 1
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
prevé prever VMIP3S0 0.967836
que que CS 0.449861
para para SP 0.999834
la el DA0FS0 0.98926
consolidación consolidación NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
títulos título NCMP000 1
otorgados otorgar VMP00PM 1
para para SP 0.999834
instalar instalar VMN0000 1
, , Fc 1
operar operar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
a a SP 0.998775
la el DA0FS0 0.98926
concesión concesión NCFS000 1
única único AQ0FS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
es ser VSIP3S0 1
necesario necesario AQ0MS00 1
que que CS 0.449861
el el DA0MS0 1
solicitante solicitante NCCS000 0.97619
se se P00CN00 0.494509
encuentre encontrar VMSP3S0 0.634863
en en SP 1
cumplimiento cumplimiento NCMS000 1
de de SP 0.999961
: : Fd 1
( ( Fpa 1
i i NCFS000 1
) ) Fpt 1
las el DA0FP0 0.988184
obligaciones obligación NCFP000 1
previstas prever VMP00PF 1
en en SP 1
los el DA0MP0 0.992728
respectivos respectivo AQ0MP00 1
títulos título NCMP000 1
de de SP 0.999961
concesión concesión NCFS000 1
y y CC 0.999989
( ( Fpa 1
ii i_i NCFS000 1
) ) Fpt 1
las el DA0FP0 0.988184
obligaciones obligación NCFP000 1
derivadas derivar VMP00PF 0.623747
de de SP 0.999961
la el DA0FS0 0.98926
legislación legislación NCFS000 1
aplicable aplicable AQ0CS00 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
competencia competencia NCFS000 1
económica económico AQ0FS00 1
. . Fp 1

Finalmente finalmente RG 1
, , Fc 1
cabe caber VMIP3S0 0.975904
destacar destacar VMN0000 1
que que CS 0.449861
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
establecieron establecer VMIS3P0 1
que que CS 0.449861
este este DD0MS0 0.949201
tipo tipo NCMS000 1
de de SP 0.999961
solicitudes solicitud NCFP000 1
debería deber VMIC3S0 0.638889
acompañar acompañar VMN0000 1
se se PP3CN00 1
de de SP 1
el el DA0MS0 1
comprobante comprobante NCMS000 1
de de SP 0.999961
pago pago NCMS000 0.995283
de de SP 0.999961
derechos derecho NCMP000 0.996795
establecido establecer VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
24 24 Z 1
de de SP 0.999961
Lineamientos lineamientos NP00000 1
, , Fc 1
mismo mismo PI0MS00 0.163706
que que PR0CN00 0.550139
se se P00CN00 0.494509
refería referir VMII3S0 0.65
a a SP 1
el el DA0MS0 1
estudio estudio NCMS000 0.97043
de de SP 0.999961
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
de de SP 0.999961
modificación modificación NCFS000 1
de de SP 1
el el DA0MS0 1
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
. . Fp 1

Sin sin SP 1
embargo embargo NCMS000 0.995283
, , Fc 1
la el DA0FS0 0.98926
Ley_Federal_de_Derechos ley_federal_de_derechos NP00000 1
que que PR0CN00 0.550139
entró entrar VMIS3S0 1
en en SP 1
vigor vigor NCMS000 1
el el DA0MS0 1
1_de_enero_de_2016 [??:1/1/2016:??.??:??] W 1
, , Fc 1
es ser VSIP3S0 1
decir decir VMN0000 0.998575
con con SP 1
posterioridad posterioridad NCFS000 1
a a SP 0.998775
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
, , Fc 1
estableció establecer VMIS3S0 1
un uno DI0MS0 0.99698
nuevo nuevo AQ0MS00 1
régimen régimen NCMS000 1
de de SP 0.999961
cobro cobro NCMS000 0.986111
para para SP 0.999834
diversos diverso DI0MP0 0.938596
trámites trámite NCMP000 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
. . Fp 1

En en SP 1
ese ese DD0MS0 0.966694
sentido sentido NCMS000 0.940835
, , Fc 1
dicho decir VMP00SM 0.997159
ordenamiento ordenamiento NCMS000 1
estableció establecer VMIS3S0 1
en en SP 1
su su DP3CSN 1
artículo artículo NCMS000 1
174 174 Z 1
C c NP00000 1
fracción fracción NCFS000 1
XII xii NP00000 1
el el DA0MS0 1
pago pago NCMS000 0.995283
de de SP 0.999961
derechos derecho NCMP000 0.996795
correspondiente correspondiente AQ0CS00 0.993421
a a SP 0.998775
la el DA0FS0 0.98926
transición transición NCFS000 1
a a SP 0.998775
concesión concesión NCFS000 1
única único AQ0FS00 1
o o CC 0.999864
la el DA0FS0 0.98926
consolidación consolidación NCFS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
o o CC 0.999864
más más RG 0.99993
concesiones concesión NCFP000 1
para para SP 0.999834
instalar instalar VMN0000 1
, , Fc 1
operar operar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
. . Fp 1

Derivado derivar VMP00SM 0.623688
de de SP 0.999961
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
y y CC 0.999989
a a SP 1
el el DA0MS0 1
haber haber VAN0000 1
se se PP3CN00 1
definido definir VMP00SM 0.987805
un uno DI0MS0 0.99698
pago pago NCMS000 0.995283
específico específico AQ0MS00 0.661294
para para SP 0.999834
el el DA0MS0 1
trámite trámite NCMS000 1
que que PR0CN00 0.550139
nos nos PP1CP00 0.810258
ocupa ocupar VMIP3S0 0.99505
, , Fc 1
es ser VSIP3S0 1
este este DD0MS0 0.949201
pago pago NCMS000 0.995283
el el DA0MS0 1
que que PR0CN00 0.550139
debe deber VMIP3S0 0.998712
ser ser VSN0000 0.959637
considerado considerar VMP00SM 1
a a SP 1
el el DA0MS0 1
momento momento NCMS000 1
de de SP 1
el el DA0MS0 1
análisis análisis NCMN000 1
de de SP 0.999961
las el DA0FP0 0.988184
solicitudes solicitud NCFP000 1
de de SP 0.999961
transición transición NCFS000 1
o o CC 0.999864
consolidación consolidación NCFS000 1
. . Fp 1

Tercero 3 AO0MS00 0.986928
. . Fp 1
- - Fg 1
Análisis_de_la_Solicitud_de_Transición análisis_de_la_solicitud_de_transición NP00000 1
. . Fp 1

Por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
hace hacer VMIP3S0 1
a a SP 1
el el DA0MS0 1
primer 1 AO0MS00 1
requisito requisito NCMS000 0.983871
señalado señalar VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
24 24 Z 1
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
, , Fc 1
relativo relativo AQ0MS00 0.980769
a a SP 0.998775
que que CS 0.449861
UCA_Comunicaciones uca_comunicaciones NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
presente presentar VMSP3S0 0.113806
el el DA0MS0 1
Formato_IFT-Transición formato_ift-transición NP00000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
señala señalar VMIP3S0 0.997076
, , Fc 1
este este DD0MS0 0.949201
Instituto instituto NP00000 1
lo lo PP3MSA0 0.334764
considera considerar VMIP3S0 0.998721
cumplido cumplir VMP00SM 0.993421
en_virtud_de en_virtud_de SP 1
que que CS 0.449861
dicha decir VMP00SF 0.819767
concesionaria concesionario NCFS000 0.97619
presentó presentar VMIS3S0 1
el el DA0MS0 1
formato formato NCMS000 1
debidamente debidamente RG 1
llenado llenar VMP00SM 0.473747
y y CC 0.999989
firmado firmar VMP00SM 1
por por SP 1
su su DP3CSN 1
representante representante NCCS000 0.996689
legal legal AQ0CS00 1
. . Fp 1

Es ser VSIP3S0 1
importante importante AQ0CS00 1
mencionar mencionar VMN0000 1
, , Fc 1
que que CS 0.449861
la el DA0FS0 0.98926
concesionaria concesionario NCFS000 0.97619
en en SP 1
comento comento NCMS000 0.987779
cuenta contar VMIP3S0 0.768585
con con SP 1
2 2 Z 1
títulos título NCMP000 1
de de SP 0.999961
concesión concesión NCFS000 1
vigentes vigente AQ0CP00 1
, , Fc 1
mismos mismo PI0MP00 0.47076
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
25 25 Z 1
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
, , Fc 1
se se P00CN00 0.494509
consolidarán consolidar VMIF3P0 1
en en SP 1
un uno DI0MS0 0.99698
solo solo AQ0MS00 0.787529
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
para para SP 0.999834
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
, , Fc 1
los el DA0MP0 0.992728
cuales cual PR0CP00 1
se se P00CN00 0.494509
enlistan enlistan VMSP3P0 0.87445
a a SP 0.998775
continuación continuación NCFS000 1
: : Fd 1
Número número NP00000 0.331016
. . Fp 1

EXPEDIENTE_COBERTURA_SERVICIO_FECHA_DE_EXPEDICIÓN_TÍTULO_VIGENCIA expediente_cobertura_servicio_fecha_de_expedición_título_vigencia NP00000 1
( ( Fpa 1
AÑOS años NP00000 0.47288
) ) Fpt 1
1 1 Z 1
02/0416 02/0416 Z 1
Tenosique tenosique NP00000 1
, , Fc 1
Tabasco tabasco NP00000 1
, , Fc 1
con con SP 1
ampliación ampliación NCFS000 1
de de SP 0.999961
cobertura cobertura NCFS000 1
a a SP 0.998775
Arena_de_Hidalgo arena_de_hidalgo NP00000 1
, , Fc 1
Municipio_de_Tenosique municipio_de_tenosique NP00000 1
, , Fc 1
y y CC 0.999989
Gregario_Méndez_Magaña gregario_méndez_magaña NP00000 1
( ( Fpa 1
Pénjamo pénjamo NP00000 1
) ) Fpt 1
Municipio_de_Emiliano_Zapata municipio_de_emiliano_zapata NP00000 1
, , Fc 1
en en SP 1
el el DA0MS0 1
Estado_de_Tabasco estado_de_tabasco NP00000 1
. . Fp 1

Televisión televisión NP00000 0.331016
restringida restringir VMP00SF 1
01-ago-00 01-ago-00 Z 1
30 30 Z 1
2 2 Z 1
02/1347 02/1347 Z 1
Luis_Gil_Pérez luis_gil_pérez NP00000 1
, , Fc 1
Centro centro NP00000 1
, , Fc 1
en en SP 1
el el DA0MS0 1
Estado_de_Tabasco estado_de_tabasco NP00000 1
. . Fp 1

Televisión televisión NP00000 0.331016
restringida restringir VMP00SF 1
05-nov-07 05-nov-07 Z 1
    Fz 1
30 30 Z 1
En_virtud_de en_virtud_de NP00000 1
que que CS 0.449861
los el DA0MP0 0.992728
títulos título NCMP000 1
de de SP 0.999961
concesión concesión NCFS000 1
antes antes RG 1
señalados señalar VMP00PM 1
tienen tener VMIP3P0 1
como como CS 0.967153
fin fin NCMS000 1
la el DA0FS0 0.98926
comercialización comercialización NCFS000 1
de de SP 0.999961
servicios servicio NCMP000 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
a a SP 1
el el DA0MS0 1
ser ser NCMS000 0.0403635
estos este DD0MP0 0.972009
fines fin NCMP000 0.994186
de de SP 0.999961
lucro lucro NCMS000 0.989726
, , Fc 1
la el DA0FS0 0.98926
concesión concesión NCFS000 1
única único AQ0FS00 1
que que PR0CN00 0.550139
, , Fc 1
en en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
se se P00CN00 0.494509
otorgue otorgar VMSP3S0 0.634863
, , Fc 1
debe deber VMIP3S0 0.998712
ser ser VSN0000 0.959637
para para SP 0.999834
fines fin NCMP000 0.994186
comerciales comercial AQ0CP00 0.99569
en en SP 1
términos término NCMP000 1
de de SP 0.999961
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
76 76 Z 1
, , Fc 1
fracción fracción NCFS000 1
I i NP00000 1
, , Fc 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
. . Fp 1

Respecto_a respecto_a SP 1
el el DA0MS0 1
segundo 2 AO0MS00 0.901147
requisito requisito NCMS000 0.983871
de de SP 0.999961
procedencia procedencia NCFS000 1
, , Fc 1
UCA_Comunicaciones uca_comunicaciones NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
presentó presentar VMIS3S0 1
el el DA0MS0 1
comprobante comprobante NCMS000 1
de de SP 0.999961
pago pago NCMS000 0.995283
de de SP 0.999961
derechos derecho NCMP000 0.996795
por por SP 1
la el DA0FS0 0.98926
transición transición NCFS000 1
a a SP 0.998775
concesión concesión NCFS000 1
única único AQ0FS00 1
o o CC 0.999864
la el DA0FS0 0.98926
consolidación consolidación NCFS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
o o CC 0.999864
más más RG 0.99993
concesiones concesión NCFP000 1
para para SP 0.999834
instalar instalar VMN0000 1
, , Fc 1
operar operar VMN0000 1
o o CC 0.999864
explotar explotar VMN0000 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
establecido establecer VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
174-C 174-C Z 1
fracción fracción NCFS000 1
XII_de_la_Ley_Federal_de_Derechos xii_de_la_ley_federal_de_derechos NP00000 1
, , Fc 1
y y CC 0.999989
conforme_a conforme_a SP 1
lo el DA00S0 0.665165
requerido requerir VMP00SM 1
en en SP 1
el el DA0MS0 1
penúltimo penúltimo AO0MS00 0.607399
párrafo párrafo NCMS000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
24 24 Z 1
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
. . Fp 1

Por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
hace hacer VMIP3S0 1
a a SP 1
el el DA0MS0 1
tercer 3 AO0MS00 1
requisito requisito NCMS000 0.983871
contemplado contemplar VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
27 27 Z 1
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
que que PR0CN00 0.550139
señala señalar VMIP3S0 0.997076
