RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_AUTORIZA_LA_MODIFICACIÓN_A_LAS_CARACTERÍSTICAS_TÉCNICAS_DE_LA_ESTACIÓN_DE_RADIODIFUSIÓN_SONORA_CON_DISTINTIVO_DE_LLAMADA_XHLIA-FM_QUE_OPERA_LA_FRECUENCIA resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_autoriza_la_modificación_a_las_características_técnicas_de_la_estación_de_radiodifusión_sonora_con_distintivo_de_llamada_xhlia-fm_que_opera_la_frecuencia NP00000 1
antena antena NCFS000 1
que que PR0CN00 0.550139
ha haber VMIP3S0 5.55463e-05
de de SP 0.999961
utilizar utilizar VMN0000 1
se se PP3CN00 1
por por SP 1
una uno DI0FS0 0.951973
nueva nuevo AQ0FS00 0.993421
estación estación NCFS000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
sonora sonoro AQ0FS00 1
de de SP 0.999961
F.M. f.m. NP00000 1
, , Fc 1
o o CC 0.999864
para para SP 0.999834
el el DA0MS0 1
cambio cambio NCMS000 0.998705
de de SP 0.999961
ubicación ubicación NCFS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
existente existente AQ0CS00 1
, , Fc 1
será ser VSIF3S0 1
necesario necesario AQ0MS00 1
obtener obtener VMN0000 1
autorización autorización NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
dependencias dependencia NCFP000 1
correspondientes correspondiente AQ0CP00 0.980769
de de SP 0.999961
la el DA0FS0 0.98926
S.C.T. s.c.t. NP00000 1
, , Fc 1
las el DA0FP0 0.988184
cuales cual PR0CP00 1
dictaminarán dictaminar VMIF3P0 1
, , Fc 1
sobre sobre SP 0.997804
la el DA0FS0 0.98926
máxima máximo AQ0FS00 0.919847
altura altura NCFS000 1
permitida permitir VMP00SF 1
y y CC 0.999989
la el DA0FS0 0.98926
ubicación ubicación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
antena antena NCFS000 1
, , Fc 1
para para SP 0.999834
evitar evitar VMN0000 1
que que CS 0.449861
represente representar VMSP3S0 0.620982
una uno DI0FS0 0.951973
obstáculo obstáculo NCMS000 1
a a SP 0.998775
la el DA0FS0 0.98926
navegación navegación NCFS000 1
aérea aéreo AQ0FS00 1
; ; Fx 1
para para SP 0.999834
lo el DA00S0 0.665165
cual cual PR0CS00 0.930743
, , Fc 1
se se P00CN00 0.494509
deben deber VMIP3P0 1
presentar presentar VMN0000 1
los el DA0MP0 0.992728
planos plano NCMP000 0.991071
de de SP 0.999961
ubicación ubicación NCFS000 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
el el DA0MS0 1
formato formato NCMS000 1
que que PR0CN00 0.550139
para para SP 0.999834
este este DD0MS0 0.949201
efecto efecto NCMS000 1
determine determinar VMSP3S0 0.634863
la el DA0FS0 0.98926
S.C.T. s.c.t. NP00000 1
, , Fc 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
deberá deber VMIF3S0 1
contener contener VMN0000 1
el el DA0MS0 1
aval aval NCMS000 1
técnico técnico AQ0MS00 0.178172
por por SP 1
parte parte NCCS000 0.977711
de de SP 0.999961
un uno DI0MS0 0.99698
perito perito NCMS000 0.581041
en en SP 1
telecomunicaciones telecomunicación NCFP000 1
con con SP 1
especialidad especialidad NCFS000 1
en en SP 1
radiodifusión radiodifusión NCFS000 1
. . Fp 1
” ” Frc 1
Ahora_bien ahora_bien RG 1
, , Fc 1
por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
respecta respectar VMIP3S0 0.989241
a a SP 0.998775
lo el DA00S0 0.665165
señalado señalar VMP00SM 1
en en SP 1
el el DA0MS0 1
numeral numeral NCMS000 0.349312
10.4 10.4 Z 1
el el DA0MS0 1
Concesionario concesionario NP00000 1
deberá deber VMIF3S0 1
considerar considerar VMN0000 1
diversos diverso DI0MP0 0.938596
aspectos aspecto NCMP000 1
para para SP 0.999834
la el DA0FS0 0.98926
ubicación ubicación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
estación estación NCFS000 1
tales tal DD0CP0 0.742331
como como CS 0.967153
: : Fd 1
la el DA0FS0 0.98926
elección elección NCFS000 1
de de SP 1
el el DA0MS0 1
sitio sitio NCMS000 0.994186
, , Fc 1
la el DA0FS0 0.98926
altura altura NCFS000 1
de de SP 1
el el DA0MS0 1
sistema sistema NCMS000 1
radiador radiador NCMS000 1
y y CC 0.999989
considerar considerar VMN0000 1
que que CS 0.449861
no no RN 0.999297
existan existir VMSP3P0 0.986111
interferencias interferencia NCFP000 1
en_caso_de en_caso_de SP 1
que que CS 0.449861
el el DA0MS0 1
sistema sistema NCMS000 1
radiador radiador NCMS000 1
vaya ir VMSP3S0 0.387234
a a SP 0.998775
ubicar ubicar VMN0000 1
se se PP3CN00 1
a a SP 0.998775
una uno DI0FS0 0.951973
distancia distancia NCFS000 0.992395
de de SP 0.999961
70_metros LN_m:70 Zu 1
o o CC 0.999864
menos menos RG 0.990694
de de SP 0.999961
otras otro DI0FP0 0.865408
estaciones estación NCFP000 0.992424
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
sonora sonoro AQ0FS00 1
de de SP 0.999961
F.M. f.m. NP00000 1
, , Fc 1
o o CC 0.999864
de de SP 0.999961
estaciones estación NCFP000 0.992424
de de SP 0.999961
televisión televisión NCFS000 1
en en SP 1
canales canal NCMP000 1
adyacentes adyacente AQ0CP00 1
a a SP 0.998775
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
sonora sonoro AQ0FS00 1
de de SP 0.999961
88 88 Z 1
a a SP 0.998775
108 108 Z 1
MHz mhz NP00000 1
. . Fp 1

Aunado aunar VMP00SM 1
a a SP 0.998775
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
para para SP 0.999834
este este DD0MS0 0.949201
tipo tipo NCMS000 1
de de SP 0.999961
solicitudes solicitud NCFP000 1
debe deber VMIP3S0 0.998712
acatar acatar VMN0000 1
se se PP3CN00 1
como como CS 0.967153
requisito requisito NCMS000 0.983871
de de SP 0.999961
procedencia procedencia NCFS000 1
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
124 124 Z 1
, , Fc 1
fracción fracción NCFS000 1
II ii NP00000 1
, , Fc 1
inciso inciso AQ0MS00 0.66114
e y CC 0.987994
) ) Fpt 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Derechos ley_federal_de_derechos NP00000 1
, , Fc 1
en en SP 1
vigor vigor NCMS000 1
a a SP 1
el el DA0MS0 1
momento momento NCMS000 1
de de SP 1
el el DA0MS0 1
inicio inicio NCMS000 0.996183
de de SP 1
el el DA0MS0 1
trámite trámite NCMS000 1
; ; Fx 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
dispone disponer VMIP3S0 1
la el DA0FS0 0.98926
obligación obligación NCFS000 1
de de SP 0.999961
pagar pagar VMN0000 1
los el DA0MP0 0.992728
derechos derecho NCMP000 0.996795
por por SP 1
el el DA0MS0 1
estudio estudio NCMS000 0.97043
de de SP 0.999961
las el DA0FP0 0.988184
solicitudes solicitud NCFP000 1
de de SP 0.999961
modificaciones modificación NCFP000 1
técnicas técnico AQ0FP00 0.300493
de de SP 0.999961
los el DA0MP0 0.992728
títulos título NCMP000 1
de de SP 0.999961
concesión concesión NCFS000 1
en_materia_de en_materia_de SP 1
radiodifusión radiodifusión NCFS000 1
, , Fc 1
en en SP 1
lo el DA00S0 0.665165
particular particular AQ0CS00 0.827869
, , Fc 1
respecto_a respecto_a SP 1
la el DA0FS0 0.98926
ubicación ubicación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
planta planta NCFS000 0.948498
transmisora transmisor AQ0FS00 0.361294
de de SP 0.999961
la el DA0FS0 0.98926
estación estación NCFS000 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
es ser VSIP3S0 1
notable notable AQ0CS00 0.980769
señalar señalar VMN0000 1
que que CS 0.449861
la el DA0FS0 0.98926
Solicitud solicitud NP00000 1
de de SP 0.999961
modificación modificación NCFS000 1
técnica técnico AQ0FS00 0.294798
es ser VSIP3S0 1
respecto_de respecto_de SP 1
una uno DI0FS0 0.951973
estación estación NCFS000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
que que PR0CN00 0.550139
transitó transitar VMIS3S0 1
de de SP 0.999961
la el DA0FS0 0.98926
banda banda NCFS000 1
AM am NP00000 1
a a SP 0.998775
la el DA0FS0 0.98926
de de SP 0.999961
FM fm NP00000 1
en en SP 1
términos término NCMP000 1
de de SP 1
el el DA0MS0 1
Acuerdo_de_Transición acuerdo_de_transición NP00000 1
, , Fc 1
tal_y_como tal_y_como CS 1
se se P00CN00 0.494509
señala señalar VMIP3S0 0.997076
en en SP 1
el el DA0MS0 1
Antecedente_II antecedente_ii NP00000 1
de de SP 0.999961
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
Resolución resolución NP00000 1
, , Fc 1
donde donde PR00000 0.982827
dicho decir VMP00SM 0.997159
transición transición NCFS000 1
fue ser VSIS3S0 0.980739
sujeta sujeto AQ0FS00 0.953488
a a SP 1
el el DA0MS0 1
pago pago NCMS000 0.995283
de de SP 0.999961
una uno DI0FS0 0.951973
contraprestación contraprestación NCFS000 1
económica económico AQ0FS00 1
en en SP 1
términos término NCMP000 1
de de SP 0.999961
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
en en SP 1
el el DA0MS0 1
Artículo_Cuarto artículo_cuarto NP00000 1
y y CC 0.999989
Quinto quinto NP00000 1
de de SP 0.999961
dicho decir VMP00SM 0.997159
acuerdo acuerdo NCMS000 0.999311
que que PR0CN00 0.550139
indica indicar VMIP3S0 0.995495
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
“ “ Fra 1
CUARTO cuarto NCMS000 0.343537
. . Fp 1

La el DA0FS0 0.98926
Comisión comisión NP00000 1
analizará analizar VMIF3S0 1
que que CS 0.449861
las el DA0FP0 0.988184
solicitudes solicitud NCFP000 1
de de SP 0.999961
cambio cambio NCMS000 0.998705
cumplan cumplir VMSP3P0 0.980769
con con SP 1
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
establecidos establecer VMP00PM 1
en en SP 1
el el DA0MS0 1
presente presente AQ0CS00 0.524254
acuerdo acuerdo NCMS000 0.999311
y y CC 0.999989
, , Fc 1
de de SP 0.999961
ser ser VSN0000 0.959637
así así RG 0.999409
, , Fc 1
requerirá requerir VMIF3S0 1
a a SP 0.998775
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
el el DA0MS0 1
pago pago NCMS000 0.995283
de de SP 0.999961
la el DA0FS0 0.98926
contraprestación contraprestación NCFS000 1
económica económico AQ0FS00 1
    Fz 1
que que CS 0.449861
se se P00CN00 0.494509
deberá deber VMIF3S0 1
cubrir cubrir VMN0000 1
por por SP 1
el el DA0MS0 1
cambio cambio NCMS000 0.998705
de de SP 0.999961
frecuencias frecuencia NCFP000 1
. . Fp 1

El el DA0MS0 1
monto monto NCMS000 0.939852
de de SP 0.999961
la el DA0FS0 0.98926
contraprestación contraprestación NCFS000 1
será ser VSIF3S0 1
determinado determinar VMP00SM 1
por por SP 1
la el DA0FS0 0.98926
Secretaría_de_Hacienda secretaría_de_hacienda NP00000 1
y y CC 0.999989
Crédito_Público crédito_público NP00000 1
, , Fc 1
a a SP 0.998775
propuesta propuesta NCFS000 0.983384
de de SP 0.999961
la el DA0FS0 0.98926
Comisión comisión NP00000 1
, , Fc 1
debiendo deber VMG0000 1
tomar tomar VMN0000 1
en en SP 1
cuenta cuenta NCFS000 0.229017
: : Fd 1
referencias referencia NCFP000 0.983871
de de SP 0.999961
los el DA0MP0 0.992728
ingresos ingreso NCMP000 1
, , Fc 1
costos costo NCMP000 1
y y CC 0.999989
márgenes margen NCCP000 1
de de SP 0.999961
la el DA0FS0 0.98926
industria industria NCFS000 0.993994
por por SP 1
población población NCFS000 1
cubierta cubrir VMP00SF 0.455357
las el DA0FP0 0.988184
especificaciones especificación NCFP000 1
técnicas técnico AQ0FP00 0.300493
de de SP 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
, , Fc 1
incluidos incluir VMP00PM 1
los el DA0MP0 0.992728
programas programa NCMP000 0.996795
y y CC 0.999989
compromisos compromiso NCMP000 1
de de SP 0.999961
inversión inversión NCFS000 1
; ; Fx 1
el el DA0MS0 1
plazo plazo NCMS000 1
restante restante AQ0CS00 0.561294
de de SP 0.999961
vigencia vigencia NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
concesión concesión NCFS000 1
respectiva respectivo AQ0FS00 1
; ; Fx 1
el el DA0MS0 1
valor valor NCMS000 1
de de SP 1
el el DA0MS0 1
mercado mercado NCMS000 0.999343
de de SP 0.999961
la el DA0FS0 0.98926
publicidad publicidad NCFS000 1
, , Fc 1
y y CC 0.999989
otros otro DI0MP0 0.745978
referentes referente NCCP000 0.738095
que que PR0CN00 0.550139
permitan permitir VMSP3P0 0.990196
determinar determinar VMN0000 1
el el DA0MS0 1
valor valor NCMS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
estación estación NCFS000 1
de de SP 0.999961
FM fm NP00000 1
. . Fp 1

QUINTO quinto NCMS000 0.262887
. . Fp 1
- - Fg 1
Una uno DI0FS0 0.951973
vez vez NCFS000 1
cubierto cubrir VMP00SM 0.986111
el el DA0MS0 1
pago pago NCMS000 0.995283
de de SP 0.999961
la el DA0FS0 0.98926
contraprestación contraprestación NCFS000 1
económica económico AQ0FS00 1
por por SP 1
el el DA0MS0 1
cambio cambio NCMS000 0.998705
de de SP 0.999961
la el DA0FS0 0.98926
frecuencia frecuencia NCFS000 1
o o CC 0.999864
, , Fc 1
en en SP 1
el el DA0MS0 1
caso caso NCMS000 0.999445
de de SP 0.999961
los el DA0MP0 0.992728
permisionarios permisionario NCMP000 0.62798
, , Fc 1
acreditados acreditar VMP00PM 0.623747
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
establecidos establecer VMP00PM 1
en en SP 1
el el DA0MS0 1
resolutivo resolutivo NCMS000 0.42702
Tercero tercero NP00000 1
de de SP 1
el el DA0MS0 1
presente presente AQ0CS00 0.524254
Acuerdo acuerdo NP00000 1
, , Fc 1
la el DA0FS0 0.98926
Comisión comisión NP00000 1
remitirá remitir VMIF3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Secretaría secretaría NP00000 1
la el DA0FS0 0.98926
opinión opinión NCFS000 1
favorable favorable AQ0CS00 1
a a SP 0.998775
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
, , Fc 1
quien quien PR0CS00 1
procederá proceder VMIF3S0 1
a a SP 0.998775
realizar realizar VMN0000 1
el el DA0MS0 1
    Fz 1
cambio cambio NCMS000 0.998705
de de SP 0.999961
frecuencias frecuencia NCFP000 1
correspondiente correspondiente AQ0CS00 0.993421
. . Fp 1
” ” Frc 1
Énfasis énfasis NCMN000 0.668984
añadido añadir VMP00SM 0.992958
. . Fp 1

En en SP 1
ese ese DD0MS0 0.966694
sentido sentido NCMS000 0.940835
, , Fc 1
es ser VSIP3S0 1
relevante relevante AQ0CS00 1
señalar señalar VMN0000 1
que que CS 0.449861
un uno DI0MS0 0.99698
factor factor NCMS000 1
a a SP 0.998775
considerar considerar VMN0000 1
en en SP 1
el el DA0MS0 1
cálculo cálculo NCMS000 1
de de SP 1
el el DA0MS0 1
monto monto NCMS000 0.939852
de de SP 0.999961
la el DA0FS0 0.98926
contraprestación contraprestación NCFS000 1
fue ser VSIS3S0 0.980739
la el DA0FS0 0.98926
población población NCFS000 1
cubierta cubrir VMP00SF 0.455357
con con SP 1
las el DA0FP0 0.988184
características característica NCFP000 0.994792
técnicas técnico AQ0FP00 0.300493
de de SP 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
. . Fp 1

Por por SP 1
lo el DA00S0 0.665165
antes antes RG 1
expuesto exponer VMP00SM 1
, , Fc 1
considerando considerar VMG0000 0.813333
que que CS 0.449861
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
Solicitud solicitud NP00000 1
versa versar VMIP3S0 0.188737
sobre sobre SP 0.997804
una uno DI0FS0 0.951973
modificación modificación NCFS000 1
a a SP 0.998775
los el DA0MP0 0.992728
parámetros parámetro NCMP000 1
técnicos técnico AQ0MP00 0.287234
de de SP 0.999961
la el DA0FS0 0.98926
estación estación NCFS000 1
que que PR0CN00 0.550139
involucra involucrar VMIP3S0 0.979074
un uno DI0MS0 0.99698
incremento incremento NCMS000 0.998084
de de SP 0.999961
cobertura cobertura NCFS000 1
en en SP 1
la el DA0FS0 0.98926
población población NCFS000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
serviría servir VMIC3S0 0.65
con con SP 1
motivo motivo NCMS000 0.992395
de de SP 0.999961
la el DA0FS0 0.98926
autorización autorización NCFS000 1
solicitada solicitar VMP00SF 1
, , Fc 1
en en SP 1
términos término NCMP000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
100 100 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
sol sol NCMS000 1
resulta resultar VMIP3S0 0.993808
aplicable aplicable AQ0CS00 1
y y CC 0.999989
exigible exigible AQ0CS00 1
el el DA0MS0 1
pago pago NCMS000 0.995283
de de SP 0.999961
una uno DI0FS0 0.951973
contraprestación contraprestación NCFS000 1
. . Fp 1

Para para SP 0.999834
tales tal DD0CP0 0.742331
efectos efecto NCMP000 1
, , Fc 1
deberá deber VMIF3S0 1
observar observar VMN0000 1
se se PP3CN00 1
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
99 99 Z 1
y y CC 0.999989
100 100 Z 1
de de SP 0.999961
propia propio AQ0FS00 1
Ley ley NP00000 1
. . Fp 1

Estos este DD0MP0 0.972009
preceptos precepto NCMP000 1
, , Fc 1
a a SP 0.998775
la el DA0FS0 0.98926
letra letra NCFS000 1
indican indicar VMIP3P0 1
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
“ “ Fra 1
Artículo artículo NCMS000 0.668984
99 99 Z 1
. . Fp 1

Todas todo DI0FP0 0.934073
las el DA0FP0 0.988184
contraprestaciones contraprestación NCFP000 1
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
esta este DD0FS0 0.978817
Ley ley NP00000 1
requerirán requerir VMIF3P0 1
previa previo AQ0FS00 1
opinión opinión NCFS000 1
no no RN 0.999297
vinculante vinculante AQ0CS00 1
de de SP 0.999961
la el DA0FS0 0.98926
Secretaría_de_Hacienda secretaría_de_hacienda NP00000 1
y y CC 0.999989
Crédito_Público crédito_público NP00000 1
, , Fc 1
misma mismo PI0FS00 0.18316
que que PR0CN00 0.550139
deberá deber VMIF3S0 1
emitir emitir VMN0000 1
se se PP3CN00 1
en en SP 1
un uno DI0MS0 0.99698
plazo plazo NCMS000 1
no no RN 0.999297
mayor mayor AQ0CS00 0.9995
de de SP 0.999961
treinta_días TM_d:30 Zu 1
naturales natural AQ0CP00 0.991803
. . Fp 1

Transcurrido transcurrir VMP00SM 1
este este DD0MS0 0.949201
plazo plazo NCMS000 1
sin sin SP 1
que que CS 0.449861
se se P00CN00 0.494509
emita emitir VMSP3S0 0.634856
dicha decir VMP00SF 0.819767
opinión opinión NCFS000 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
continuará continuar VMIF3S0 1
los el DA0MP0 0.992728
trámites trámite NCMP000 1
correspondientes correspondiente AQ0CP00 0.980769
. . Fp 1

Artículo artículo NP00000 0.331016
100 100 Z 1
. . Fp 1

Para para SP 0.999834
fijar fijar VMN0000 1
el el DA0MS0 1
monto monto NCMS000 0.939852
de de SP 0.999961
las el DA0FP0 0.988184
contraprestaciones contraprestación NCFP000 1
por por SP 1
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
, , Fc 1
la el DA0FS0 0.98926
prórroga prórroga NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
vigencia vigencia NCFS000 1
o o CC 0.999864
los el DA0MP0 0.992728
cambios cambio NCMP000 1
en en SP 1
los el DA0MP0 0.992728
servicios servicio NCMP000 1
de de SP 0.999961
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
, , Fc 1
así_como así_como CC 1
por por SP 1
la el DA0FS0 0.98926
autorización autorización NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
servicios servicio NCMP000 1
vinculados vincular VMP00PM 1
a a SP 0.998775
éstas este PD0FP00 1
tratando tratar VMG0000 1
se se PP3CN00 1
de de SP 0.999961
concesiones concesión NCFP000 1
sobre sobre SP 0.997804
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
deberá deber VMIF3S0 1
considerar considerar VMN0000 1
los el DA0MP0 0.992728
siguientes siguiente AQ0CP00 1
elementos elemento NCMP000 1
: : Fd 1
I._Banda i._banda NP00000 1
de de SP 0.999961
frecuencia frecuencia NCFS000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
de de SP 0.999961
que que CS 0.449861
se se P00CN00 0.494509
trate tratar VMSP3S0 0.495935
; ; Fx 1
II ii NP00000 1
. . Fp 1

Cantidad cantidad NCFS000 0.668984
de de SP 0.999961
espectro espectro NCMS000 1
; ; Fx 1
III iii NP00000 1
. . Fp 1

Cobertura cobertura NP00000 0.331016
de de SP 0.999961
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
frecuencia frecuencia NCFS000 1
; ; Fx 1
IV iv NP00000 1
. . Fp 1

Vigencia vigencia NP00000 0.331016
de de SP 0.999961
la el DA0FS0 0.98926
concesión concesión NCFS000 1
; ; Fx 1
V._Referencias v._referencias NP00000 1
de de SP 1
el el DA0MS0 1
valor valor NCMS000 1
de de SP 0.999961
mercado mercado NCMS000 0.999343
de de SP 0.999961
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
frecuencia frecuencia NCFS000 1
, , Fc 1
tanto tanto RG 0.806143
nacionales nacional AQ0CP00 1
como como CS 0.967153
internacionales internacional AQ0CP00 0.948505
, , Fc 1
y y CC 0.999989
VI vi NP00000 1
. . Fp 1

El el DA0MS0 1
cumplimiento cumplimiento NCMS000 1
de de SP 0.999961
los el DA0MP0 0.992728
objetivos objetivo NCMP000 0.962329
señalados señalar VMP00PM 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
6o 6o Z 1
. . Fp 1
y y CC 0.999989
28 28 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución constitución NP00000 1
; ; Fx 1
así_como así_como CC 1
de de SP 0.999961
los el DA0MP0 0.992728
establecidos establecer VMP00PM 1
en en SP 1
el el DA0MS0 1
Plan_Nacional_de_Desarrollo plan_nacional_de_desarrollo NP00000 1
y y CC 0.999989
demás demás DI0CP0 0.280093
instrumentos instrumento NCMP000 1
programáticos programático AQ0MP00 1
. . Fp 1

En en SP 1
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
de de SP 0.999961
opinión opinión NCFS000 1
que que PR0CN00 0.550139
formule formular VMSP3S0 0.634863
el el DA0MS0 1
Instituto instituto NP00000 1
a a SP 0.998775
la el DA0FS0 0.98926
Secretaría_de_Hacienda secretaría_de_hacienda NP00000 1
y y CC 0.999989
Crédito_Público crédito_público NP00000 1
, , Fc 1
deberá deber VMIF3S0 1
incluir incluir VMN0000 1
, , Fc 1
en en SP 1
lo el DA00S0 0.665165
aplicable aplicable AQ0CS00 1
, , Fc 1
la el DA0FS0 0.98926
información información NCFS000 1
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refieren referir VMIP3P0 1
las el DA0FP0 0.988184
fracciones fracción NCFP000 0.998103
I i NP00000 1
a a SP 0.998775
VI vi NP00000 1
de de SP 0.999961
este este DD0MS0 0.949201
artículo artículo NCMS000 1
, , Fc 1
así_como así_como CC 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
de de SP 0.999961
contraprestación contraprestación NCFS000 1
derivado derivar VMP00SM 0.623747
de de SP 1
el el DA0MS0 1
análisis análisis NCMN000 1
de de SP 0.999961
dicha decir VMP00SF 0.819767
información información NCFS000 1
. . Fp 1
” ” Frc 1
Tercero 3 AO0MS00 0.986928
. . Fp 1

Análisis_de_la_Solicitud_de_Modificación_Técnica análisis_de_la_solicitud_de_modificación_técnica NP00000 1
. . Fp 1

De de SP 0.999961
la el DA0FS0 0.98926
revisión revisión NCFS000 1
a a SP 1
el el DA0MS0 1
marco marco NCMS000 0.996894
legal legal AQ0CS00 1
aplicable aplicable AQ0CS00 1
, , Fc 1
se se P00CN00 0.494509
advierte advertir VMIP3S0 0.991071
que que CS 0.449861
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
de de SP 0.999961
procedencia procedencia NCFS000 1
que que PR0CN00 0.550139
debe deber VMIP3S0 0.998712
cumplir cumplir VMN0000 1
el el DA0MS0 1
Concesionario concesionario NP00000 1
que que CS 0.449861
solicite solicitar VMSP3S0 0.634863
una uno DI0FS0 0.951973
modificación modificación NCFS000 1
a a SP 0.998775
los el DA0MP0 0.992728
parámetros parámetro NCMP000 1
técnicos técnico AQ0MP00 0.287234
autorizados autorizar VMP00PM 1
son ser VSIP3P0 0.995197
: : Fd 1
Presentar presentar VMN0000 1
por por SP 1
escrito escribir VMP00SM 0.533113
su su DP3CSN 1
solicitud solicitud NCFS000 1
a a SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
en en SP 1
la el DA0FS0 0.98926
cual cual PR0CS00 0.930743
indique indicar VMSP3S0 0.63485
la el DA0FS0 0.98926
modificación modificación NCFS000 1
técnica técnico AQ0FS00 0.294798
que que PR0CN00 0.550139
requiere requerir VMIP3S0 0.945545
, , Fc 1
debiendo deber VMG0000 1
acompañar acompañar VMN0000 1
la el DA0FS0 0.98926
documentación documentación NCFS000 1
técnica técnico AQ0FS00 0.294798
consistente consistente AQ0CS00 1
en en SP 1
áreas área NCFP000 1
de de SP 0.999961
servicio servicio NCMS000 1
FM fm NP00000 1
( ( Fpa 1
AS-FM as-fm NP00000 0.47288
) ) Fpt 1
, , Fc 1
Plano_de_Ubicación plano_de_ubicación NP00000 1
( ( Fpa 1
PU-FM pu-fm NP00000 1
) ) Fpt 1
Opinión opinión NP00000 1
favorable favorable AQ0CS00 1
de de SP 0.999961
la el DA0FS0 0.98926
Dirección_General_de_Aeronáutica_Civil dirección_general_de_aeronáutica_civil NP00000 1
, , Fc 1
en en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
Croquis_de_Operación_Múltiple croquis_de_operación_múltiple NP00000 1
( ( Fpa 1
COM-FM com-fm NP00000 1
) ) Fpt 1
. . Fp 1

Comprobante comprobante NCMS000 0.668984
de de SP 0.999961
pago pago NCMS000 0.995283
de de SP 0.999961
derechos derecho NCMP000 0.996795
en en SP 1
términos término NCMP000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
124 124 Z 1
, , Fc 1
fracción fracción NCFS000 1
II_la_Ley_Federal_de_Derechos ii_la_ley_federal_de_derechos NP00000 1
, , Fc 1
vigente vigente AQ0CS00 1
a a SP 1
el el DA0MS0 1
momento momento NCMS000 1
de de SP 1
el el DA0MS0 1
inicio inicio NCMS000 0.996183
de de SP 1
