RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_OTORGA_A_FAVOR_DE_LA_UNIVERSIDAD_AUTÓNOMA_CHAPINGO_UNA_CONCESIÓN_PARA_USAR_Y_APROVECHAR_BANDAS_DE_FRECUENCIA_DE_EL_ESPECTRO_RADIOELÉCTRICO_PARA_USO_PÚBLICO resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_otorga_a_favor_de_la_universidad_autónoma_chapingo_una_concesión_para_usar_y_aprovechar_bandas_de_frecuencia_de_el_espectro_radioeléctrico_para_uso_público NP00000 1
transmitiendo transmitir VMG0000 1
los el DA0MP0 0.992728
avances avance NCMP000 0.990196
y y CC 0.999989
resultados resultado NCMP000 0.998596
de de SP 0.999961
la el DA0FS0 0.98926
investigación investigación NCFS000 1
, , Fc 1
impulsando impulsar VMG0000 1
la el DA0FS0 0.98926
libre libre AQ0CS00 0.957522
comunicación comunicación NCFS000 1
, , Fc 1
el el DA0MS0 1
fomento fomento NCMS000 0.989717
a a SP 1
el el DA0MS0 1
patrimonio patrimonio NCMS000 1
cultural cultural AQ0CS00 1
, , Fc 1
la el DA0FS0 0.98926
revalorización revalorización NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
formas forma NCFP000 0.960993
locales local AQ0CP00 0.618483
de de SP 0.999961
gran gran AQ0CS00 1
importancia importancia NCFS000 1
, , Fc 1
opinión opinión NCFS000 1
de de SP 0.999961
críticos crítico NCMP000 0.794118
y y CC 0.999989
estudiosos estudioso NCMP000 0.488667
de de SP 0.999961
los el DA0MP0 0.992728
temas tema NCMP000 0.99505
y y CC 0.999989
el el DA0MS0 1
aprovechamiento aprovechamiento NCMS000 1
de de SP 0.999961
los el DA0MP0 0.992728
contenidos contenido NCMP000 0.743902
. . Fp 1

En en SP 1
ese ese DD0MS0 0.966694
contexto contexto NCMS000 1
, , Fc 1
señala señalar VMIP3S0 0.997076
la el DA0FS0 0.98926
Universidad_ACh universidad_ach NP00000 1
que que CS 0.449861
con con SP 1
la el DA0FS0 0.98926
creciente creciente AQ0CS00 0.990196
demanda demanda NCFS000 0.967828
de de SP 0.999961
innovaciones innovación NCFP000 1
científicas científico AQ0FP00 0.97619
y y CC 0.999989
tecnológicas tecnológico AQ0FP00 1
, , Fc 1
los el DA0MP0 0.992728
medios medio NCMP000 0.997344
de de SP 0.999961
difusión difusión NCFS000 1
públicos público AQ0MP00 0.974537
satisfacen satisfacer VMIP3P0 1
la el DA0FS0 0.98926
necesidades necesidad NCFP000 1
de de SP 0.999961
comunicaciones comunicación NCFP000 1
de de SP 0.999961
las el DA0FP0 0.988184
comunidades comunidad NCFP000 1
rurales rural AQ0CP00 1
a a SP 1
el el DA0MS0 1
promover promover VMN0000 1
la el DA0FS0 0.98926
vinculación vinculación NCFS000 1
con con SP 1
la el DA0FS0 0.98926
universidad universidad NCFS000 1
, , Fc 1
para para SP 0.999834
generar generar VMN0000 1
un uno DI0MS0 0.99698
cambio cambio NCMS000 0.998705
social social AQ0CS00 0.998783
en en SP 1
el el DA0MS0 1
mejoramiento mejoramiento NCMS000 1
de de SP 1
el el DA0MS0 1
su su DP3CSN 1
nivel nivel NCMS000 1
económico económico AQ0MS00 1
y y CC 0.999989
cultural cultural AQ0CS00 1
de de SP 0.999961
sus su DP3CPN 0.999903
miembros miembro NCMP000 0.998938
, , Fc 1
a a SP 1
el el DA0MS0 1
mismo mismo AQ0MS00 0.802208
tiempo tiempo NCMS000 1
de de SP 0.999961
reconocer reconocer VMN0000 1
la el DA0FS0 0.98926
identidad identidad NCFS000 1
institucional institucional AQ0CS00 1
y y CC 0.999989
promover promover VMN0000 1
la el DA0FS0 0.98926
cultura cultura NCFS000 1
rural rural AQ0CS00 1
en en SP 1
la el DA0FS0 0.98926
comunidad comunidad NCFS000 1
estudiantil estudiantil AQ0CS00 1
a_través_de a_través_de SP 1
sus su DP3CPN 0.999903
programas programa NCMP000 0.996795
radiofónicos radiofónico AQ0MP00 1
. . Fp 1

Además además RG 1
, , Fc 1
insiste insistir VMIP3S0 0.987805
que que CS 0.449861
resulta resultar VMIP3S0 0.993808
necesario necesario AQ0MS00 1
hacer hacer VMN0000 1
llegar llegar VMN0000 1
a a SP 0.998775
la el DA0FS0 0.98926
sociedad sociedad NCFS000 1
la el DA0FS0 0.98926
información información NCFS000 1
de de SP 0.999961
fundamental fundamental AQ0CS00 1
importancia importancia NCFS000 1
en en SP 1
la el DA0FS0 0.98926
vida vida NCFS000 1
cultural cultural AQ0CS00 1
e y CC 0.987994
ideológica ideológico AQ0FS00 1
, , Fc 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
radio radio NCCS000 0.994505
es ser VSIP3S0 1
que que CS 0.449861
preserva preservar VMIP3S0 0.989241
la el DA0FS0 0.98926
imaginación imaginación NCFS000 1
, , Fc 1
la el DA0FS0 0.98926
percepción percepción NCFS000 1
y y CC 0.999989
de de SP 0.999961
construcción construcción NCFS000 1
que que PR0CN00 0.550139
envuelve envolver VMIP3S0 0.989241
e y CC 0.987994
involucra involucrar VMIP3S0 0.979074
a a SP 1
el el DA0MS0 1
individuo individuo NCMS000 0.986111
, , Fc 1
con con SP 1
la el DA0FS0 0.98926
ventaja ventaja NCFS000 1
de de SP 0.999961
que que CS 0.449861
el el DA0MS0 1
grado grado NCMS000 0.994792
de de SP 0.999961
penetración penetración NCFS000 1
es ser VSIP3S0 1
de de SP 0.999961
bajo bajo SP 0.909179
costo costo NCMS000 1
pues pues CS 0.999049
no no RN 0.999297
se se P00CN00 0.494509
necesita necesitar VMIP3S0 0.996032
de de SP 0.999961
una uno DI0FS0 0.951973
gran gran AQ0CS00 1
infraestructura infraestructura NCFS000 1
, , Fc 1
a_el_tiempo_que al_tiempo_que CS 1
permite permitir VMIP3S0 0.997312
el el DA0MS0 1
ejercicio ejercicio NCMS000 1
con con SP 1
plenitud plenitud NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
libertad libertad NCFS000 0.998188
de de SP 0.999961
expresión expresión NCFS000 1
, , Fc 1
estipulado estipular VMP00SM 1
por por SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
6 6 Z 1
constitucional constitucional AQ0CS00 1
y y CC 0.999989
el el DA0MS0 1
ejercicio ejercicio NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
radiodifusión radiodifusión NCFS000 1
universitaria universitario AQ0FS00 0.983871
se se P00CN00 0.494509
generan generar VMIP3P0 1
registros registro NCMP000 1
históricos histórico AQ0MP00 0.97619
que que PR0CN00 0.550139
pueden poder VMIP3P0 1
conformar conformar VMN0000 1
antologías antología NCFP000 1
de de SP 0.999961
datos dato NCMP000 1
o o CC 0.999864
elementos elemento NCMP000 1
de de SP 0.999961
análisis análisis NCMN000 1
en en SP 1
los el DA0MP0 0.992728
procesos proceso NCMP000 1
de de SP 0.999961
cambio cambio NCMS000 0.998705
social social AQ0CS00 0.998783
. . Fp 1

Por_otro_lado por_otro_lado RG 1
, , Fc 1
el el DA0MS0 1
Plan_de_Desarrollo_Institucional plan_de_desarrollo_institucional NP00000 1
2009-2015 2009-2015 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Universidad_ACh universidad_ach NP00000 1
, , Fc 1
en en SP 1
su su DP3CSN 1
segundo 2 AO0MS00 0.901147
objetivo objetivo NCMS000 0.972603
estratégico estratégico AQ0MS00 1
, , Fc 1
estableció establecer VMIS3S0 1
la el DA0FS0 0.98926
necesidad necesidad NCFS000 1
de de SP 0.999961
afianzar afianzar VMN0000 1
la el DA0FS0 0.98926
calidad calidad NCFS000 1
y y CC 0.999989
la el DA0FS0 0.98926
pertenencia pertenencia NCFS000 1
de de SP 1
el el DA0MS0 1
modelo modelo NCCS000 0.99763
académico académico AQ0MS00 0.5
universitario universitario AQ0MS00 0.743902
, , Fc 1
y y CC 0.999989
en en SP 1
su su DP3CSN 1
eje eje NCMS000 1
estratégico estratégico AQ0MS00 1
número número NCMS000 1
siete 7 Z 1
señaló señalar VMIS3S0 1
obligación obligación NCFS000 1
de de SP 0.999961
consolidar consolidar VMN0000 1
la el DA0FS0 0.98926
difusión difusión NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
cultura cultura NCFS000 1
, , Fc 1
la el DA0FS0 0.98926
identidad identidad NCFS000 1
universitaria universitario AQ0FS00 0.983871
y y CC 0.999989
la el DA0FS0 0.98926
promoción promoción NCFS000 1
prioritariamente prioritariamente RG 1
de de SP 1
el el DA0MS0 1
desarrollo desarrollo NCMS000 0.99884
de de SP 0.999961
las el DA0FP0 0.988184
cultural cultural AQ0CS00 1
rurales rural AQ0CP00 1
, , Fc 1
en en SP 1
la el DA0FS0 0.98926
línea línea NCFS000 0.998366
de de SP 0.999961
desarrollo desarrollo NCMS000 0.99884
siete 7 Z 1
estableció establecer VMIS3S0 1
que que CS 0.449861
deberá deber VMIF3S0 1
diseñar diseñar VMN0000 1
y y CC 0.999989
ejecutar ejecutar VMN0000 1
programas programa NCMP000 0.996795
de de SP 0.999961
comunicación comunicación NCFS000 1
e y CC 0.987994
imagen imagen NCFS000 1
institucional institucional AQ0CS00 1
, , Fc 1
para para SP 0.999834
ello ello PD00S00 1
es ser VSIP3S0 1
fundamental fundamental AQ0CS00 1
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
concesión concesión NCFS000 1
para para SP 0.999834
usar usar VMN0000 1
y y CC 0.999989
aprovechar aprovechar VMN0000 1
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
público público AQ0MS00 0.409696
en en SP 1
la el DA0FS0 0.98926
población población NCFS000 1
de de SP 0.999961
Texcoco_de_Mora texcoco_de_mora NP00000 1
, , Fc 1
Estado_de_México estado_de_méxico NP00000 1
, , Fc 1
pues pues CS 0.999049
con con SP 1
ello ello PD00S00 1
busca buscar VMIP3S0 0.556851
cumplir cumplir VMN0000 1
con con SP 1
los el DA0MP0 0.992728
objetivos objetivo NCMP000 0.962329
, , Fc 1
fines fin NCMP000 0.994186
de de SP 0.999961
la el DA0FS0 0.98926
Universidad_ACh universidad_ach NP00000 1
. . Fp 1

En_razón_de en_razón_de SP 1
lo el DA00S0 0.665165
expuesto exponer VMP00SM 1
, , Fc 1
esta este DD0FS0 0.978817
autoridad autoridad NCFS000 1
considera considerar VMIP3S0 0.998721
que que CS 0.449861
la el DA0FS0 0.98926
solicitante solicitante NCCS000 0.97619
que que PR0CN00 0.550139
cumple cumplir VMIP3S0 0.994186
el el DA0MS0 1
requisito requisito NCMS000 0.983871
señalado señalar VMP00SM 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
85 85 Z 1
fracción fracción NCFS000 1
III_de_la_Ley iii_de_la_ley NP00000 1
y y CC 0.999989
3 3 Z 1
fracción fracción NCFS000 1
III iii NP00000 1
, , Fc 1
inciso inciso AQ0MS00 0.66114
b b NCFS000 1
) ) Fpt 1
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos_Generales_para_el_Otorgamiento_de_las_Concesiones lineamientos_generales_para_el_otorgamiento_de_las_concesiones NP00000 1
, , Fc 1
toda todo DI0FS0 0.984467
vez vez NCFS000 1
que que PR0CN00 0.550139
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
para para SP 0.999834
uso uso NCMS000 0.998047
público público AQ0MS00 0.409696
permitirán permitir VMIF3P0 1
el el DA0MS0 1
cumplimiento cumplimiento NCMS000 1
de de SP 0.999961
los el DA0MP0 0.992728
fines fin NCMP000 0.994186
y y CC 0.999989
objeto objeto NCMS000 0.996183
propios propio AQ0MP00 0.956349
de de SP 1
el el DA0MS0 1
Solicitante solicitante NP00000 1
. . Fp 1

3 3 Z 1
. . Fp 1

Capacidad capacidad NP00000 0.331016
técnica técnico AQ0FS00 0.294798
, , Fc 1
económica económico AQ0FS00 1
, , Fc 1
jurídica jurídico AQ0FS00 1
y y CC 0.999989
administrativa administrativo AQ0FS00 0.661294
. . Fp 1

3.1 3.1 Z 1
. . Fp 1

Capacidad_Técnica capacidad_técnica NP00000 1
. . Fp 1

La el DA0FS0 0.98926
Universidad_ACh universidad_ach NP00000 1
manifestó manifestar VMIS3S0 1
que que CS 0.449861
cuenta contar VMIP3S0 0.768585
con con SP 1
los el DA0MP0 0.992728
servicios servicio NCMP000 1
de de SP 0.999961
asistencia asistencia NCFS000 1
técnica técnico AQ0FS00 0.294798
directa directo AQ0FS00 1
de de SP 1
el el DA0MS0 1
Ingeniero_Francisco_Javier_Espinosa_Jiménez ingeniero_francisco_javier_espinosa_jiménez NP00000 1
, , Fc 1
a a SP 1
el el DA0MS0 1
respecto respecto NCMS000 0.989726
adjunta adjunto AQ0FS00 0.478906
a a SP 0.998775
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
su su DP3CSN 1
Curriculum_Vitae curriculum_vitae NP00000 1
. . Fp 1

En en SP 1
donde donde PR00000 0.982827
se se P00CN00 0.494509
plasma plasmar VMIP3S0 0.12204
su su DP3CSN 1
experiencia experiencia NCFS000 1
profesional profesional AQ0CS00 0.769886
como como CS 0.967153
asesor asesor NCMS000 0.794118
y y CC 0.999989
soporte soporte NCMS000 0.919142
técnico técnico AQ0MS00 0.178172
en en SP 1
la el DA0FS0 0.98926
Universidad_ACh universidad_ach NP00000 1
; ; Fx 1
consultor consultor NCMS000 0.638706
en en SP 1
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
, , Fc 1
elaboración elaboración NCFS000 1
de de SP 0.999961
pruebas prueba NCFP000 0.997881
periciales pericial AQ0CP00 1
, , Fc 1
elaboración elaboración NCFS000 1
de de SP 0.999961
estudios estudio NCMP000 1
de de SP 0.999961
cobertura cobertura NCFS000 1
y y CC 0.999989
mediciones medición NCFP000 1
de de SP 0.999961
campo campo NCMS000 0.99867
para para SP 0.999834
radio radio NCCS000 0.994505
y y CC 0.999989
televisión televisión NCFS000 1
; ; Fx 1
responsable responsable AQ0CS00 0.241697
de de SP 0.999961
la el DA0FS0 0.98926
puesta puesta NCFS000 0.366071
en en SP 1
operación operación NCFS000 1
de de SP 1
el el DA0MS0 1
sistema sistema NCMS000 1
para para SP 0.999834
internet internet NCCN000 1
satelital satelital AQ0CS00 0.232921
y y CC 0.999989
coordinador coordinador NCMS000 0.932099
de de SP 0.999961
red red NCFS000 1
fija fijo AQ0FS00 0.684211
en en SP 1
la el DA0FS0 0.98926
empresa empresa NCFS000 1
Pegaso pegaso NP00000 1
; ; Fx 1
supervisor supervisor NCMS000 0.563695
de de SP 0.999961
instalación instalación NCFS000 1
de de SP 0.999961
up-links up-links NCMP000 1
satelitales satelitales AQ0CP00 0.275207
, , Fc 1
equipos equipo NCMP000 1
para para SP 0.999834
inserción inserción NCFS000 1
automática automático AQ0FS00 0.661294
de de SP 0.999961
comerciales comercial AQ0CP00 0.99569
y y CC 0.999989
equipos equipo NCMP000 1
para para SP 0.999834
operación operación NCFS000 1
y y CC 0.999989
monitoreo monitoreo NCMS000 1
, , Fc 1
mediciones medición NCFP000 1
de de SP 0.999961
intensidad intensidad NCFS000 1
de de SP 0.999961
campo campo NCMS000 0.99867
, , Fc 1
para para SP 0.999834
la el DA0FS0 0.98926
empresa empresa NCFS000 1
Televisión televisión NP00000 1
vía vía NCFS000 0.941729
satélite satélite AQ0CS00 0.361294
SKY sky NP00000 1
; ; Fx 1
desarrollador desarrollador NCMS000 1
y y CC 0.999989
diseño diseño NCMS000 0.983871
de de SP 0.999961
un uno DI0MS0 0.99698
sistema sistema NCMS000 1
codificador codificador AQ0MS00 0.461294
de de SP 0.999961
señales señal NCFP000 0.987805
de de SP 0.999961
TV tv NP00000 1
, , Fc 1
instalación instalación NCFS000 1
y y CC 0.999989
puesta puesta NCFS000 0.366071
en en SP 1
operación operación NCFS000 1
de de SP 0.999961
Centros_Repetidores_de_Televisión centros_repetidores_de_televisión NP00000 1
, , Fc 1
comprobación comprobación NCFS000 1
de de SP 0.999961
cobertura cobertura NCFS000 1
para para SP 0.999834
la el DA0FS0 0.98926
empresa empresa NCFS000 1
Televimex televimex NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
y y CC 0.999989
supervisor supervisor NCMS000 0.563695
de de SP 0.999961
plantas planta NCFP000 0.991803
transmisoras transmisor AQ0FP00 0.361294
de de SP 0.999961
radio radio NCCS000 0.994505
AM am NP00000 1
y y CC 0.999989
FM fm NP00000 1
, , Fc 1
para para SP 0.999834
la el DA0FS0 0.98926
empresa empresa NCFS000 1
radiopolis radiopolis NCFN000 1
. . Fp 1

Asimismo asimismo RG 1
presentó presentar VMIS3S0 1
en en SP 1
copia copia NCFS000 0.874645
simple simple AQ0CS00 0.997312
la el DA0FS0 0.98926
credencial credencial AQ0CS00 0.661294
número número NCMS000 1
169 169 Z 1
de de SP 1
el el DA0MS0 1
Ingeniero_Francisco_Javier_Espinosa_Jiménez ingeniero_francisco_javier_espinosa_jiménez NP00000 1
que que PR0CN00 0.550139
lo lo PP3MSA0 0.334764
acredita acreditar VMIP3S0 0.982424
como como CS 0.967153
perito perito NCMS000 0.581041
en en SP 1
telecomunicaciones telecomunicación NCFP000 1
expedida expedir VMP00SF 1
por por SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
. . Fp 1

En en SP 1
consideración consideración NCFS000 1
de de SP 0.999961
esta este DD0FS0 0.978817
autoridad autoridad NCFS000 1
, , Fc 1
la el DA0FS0 0.98926
Universidad_ACh universidad_ach NP00000 1
acredita acreditar VMIP3S0 0.982424
el el DA0MS0 1
requisito requisito NCMS000 0.983871
señalado señalar VMP00SM 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
85 85 Z 1
fracción fracción NCFS000 1
VII_de_la_Ley vii_de_la_ley NP00000 1
y y CC 0.999989
3 3 Z 1
fracción fracción NCFS000 1
IV iv NP00000 1
, , Fc 1
inciso inciso AQ0MS00 0.66114
a a SP 0.998775
) ) Fpt 1
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos_Generales_para_el_Otorgamiento_de_las_Concesiones lineamientos_generales_para_el_otorgamiento_de_las_concesiones NP00000 1
. . Fp 1

3.2 3.2 Z 1
. . Fp 1

Capacidad_Económica capacidad_económica NP00000 1
. . Fp 1

La el DA0FS0 0.98926
Universidad_ACh universidad_ach NP00000 1
manifestó manifestar VMIS3S0 1
que que CS 0.449861
es ser VSIP3S0 1
un uno DI0MS0 0.99698
organismo organismo NCMS000 1
descentralizado descentralizar VMP00SM 1
de de SP 0.999961
la el DA0FS0 0.98926
Administración_Pública_Federal administración_pública_federal NP00000 1
, , Fc 1
con con SP 1
patrimonio patrimonio NCMS000 1
propio propio AQ0MS00 0.998575
, , Fc 1
con con SP 1
autonomía autonomía NCFS000 1
de de SP 0.999961
operación operación NCFS000 1
técnica técnico AQ0FS00 0.294798
, , Fc 1
presupuestal presupuestal AQ0CS00 1
y y CC 0.999989
administrativa administrativo AQ0FS00 0.661294
y y CC 0.999989
que que CS 0.449861
de_acuerdo_con de_acuerdo_con SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
1 1 Z 1
y y CC 0.999989
12 12 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Orgánica ley_orgánica NP00000 1
, , Fc 1
el el DA0MS0 1
patrimonio patrimonio NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
universidad universidad NCFS000 1
se se P00CN00 0.494509
integra integrar VMIP3S0 0.989241
con con SP 1
las el DA0FP0 0.988184
asignaciones asignación NCFP000 1
presupuestales presupuestal AQ0CP00 0.995333
, , Fc 1
subsidios subsidio NCMP000 1
, , Fc 1
ingresos ingreso NCMP000 1
propios propio AQ0MP00 0.956349
y y CC 0.999989
demás demás DI0CP0 0.280093
bienes bien NCMP000 1
y y CC 0.999989
derechos derecho NCMP000 0.996795
por por SP 1
que que CS 0.449861
obtenga obtener VMSP3S0 0.634863
por por SP 1
actividades actividad NCFP000 1
relacionadas relacionar VMP00PF 1
con con SP 1
su su DP3CSN 1
objeto objeto NCMS000 0.996183
; ; Fx 1
y y CC 0.999989
acorde acorde NCMS000 0.638641
con con SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
39 39 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Presupuesto ley_federal_de_presupuesto NP00000 1
y y CC 0.999989
Responsabilidad_Hacendaria responsabilidad_hacendaria NP00000 1
, , Fc 1
el el DA0MS0 1
Presupuesto_de_Egresos presupuesto_de_egresos NP00000 1
aprueba aprobar VMIP3S0 0.989241
las el DA0FP0 0.988184
previsiones previsión NCFP000 1
de de SP 0.999961
gasto gasto NCMS000 0.995283
con con SP 1
un uno DI0MS0 0.99698
nivel nivel NCMS000 1
de de SP 0.999961
agregación agregación NCFS000 1
de de SP 0.999961
ramo ramo NCMS000 1
y y CC 0.999989
programa programa NCMS000 0.997879
, , Fc 1
que que PR0CN00 0.550139
en en SP 1
el el DA0MS0 1
caso caso NCMS000 0.999445
de de SP 0.999961
las el DA0FP0 0.988184
entidades entidad NCFP000 1
, , Fc 1
las el DA0FP0 0.988184
previsiones previsión NCFP000 1
de de SP 0.999961
gasto gasto NCMS000 0.995283
se se P00CN00 0.494509
aprueban aprobar VMIP3P0 1
por por SP 1
flujo flujo NCMS000 1
de de SP 0.999961
efectivo efectivo NCMS000 0.21831
y y CC 0.999989
programa programa NCMS000 0.997879
con con SP 1
aplicación aplicación NCFS000 1
durante durante SP 1
el el DA0MS0 1
periodo periodo NCMS000 1
de de SP 0.999961
un uno DI0MS0 0.99698
año año NCMS000 1
, , Fc 1
a_partir_de a_partir_de SP 1
el el DA0MS0 1
1_de_enero [??:1/1/??:??.??:??] W 1
de de SP 1
el el DA0MS0 1
año año NCMS000 1
respectivo respectivo AQ0MS00 1
. . Fp 1

A a SP 1
el el DA0MS0 1
efecto efecto NCMS000 1
exhibe exhibir VMIP3S0 0.989241
copia copia NCFS000 0.874645
simple simple AQ0CS00 0.997312
de de SP 1
el el DA0MS0 1
oficio oficio NCMS000 0.986111
No no NP00000 1
. . Fp 1
510.-2124 510.-2124 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
14_de_diciembre_de_2015 [??:14/12/2015:??.??:??] W 1
, , Fc 1
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
el el DA0MS0 1
Director_General_de_Programación director_general_de_programación NP00000 1
, , Fc 1
Presupuesto presupuesto NP00000 1
y y CC 0.999989
Finanzas_de_la_Secretaría_de_Agricultura finanzas_de_la_secretaría_de_agricultura NP00000 1
, , Fc 1
Ganadería ganadería NP00000 1
, , Fc 1
Desarrollo_Rural desarrollo_rural NP00000 1
, , Fc 1
Pesca pesca NP00000 1
y y CC 0.999989
Alimentación alimentación NP00000 1
, , Fc 1
informa informar VMIP3S0 0.840909
la el DA0FS0 0.98926
Rector_de_la_Universidad_ACh rector_de_la_universidad_ach NP00000 1
, , Fc 1
que que PR0CN00 0.550139
mediante mediante SP 0.99763
el el DA0MS0 1
oficio oficio NCMS000 0.986111
circular circular AQ0CS00 0.0232558
No no NP00000 1
. . Fp 1
307-A 307-A Z 1
. . Fp 1
- - Fg 1
4901 4901 Z 1
de de SP 1
el el DA0MS0 1
11_de_diciembre_de_2015 [??:11/12/2015:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Secretaría_de_Hacienda secretaría_de_hacienda NP00000 1
y y CC 0.999989
Crédito_Público crédito_público NP00000 1
comunica comunicar VMIP3S0 0.986111
el el DA0MS0 1
gasto gasto NCMS000 0.995283
autorizado autorizar VMP00SM 1
a a SP 0.998775
este este DD0MS0 0.949201
Sector sector NP00000 1
, , Fc 1
para para SP 0.999834
gasto gasto NCMS000 0.995283
de de SP 0.999961
operación operación NCFS000 1
de de SP 0.999961
esta este DD0FS0 0.978817
Unidad unidad NP00000 1
responsable responsable AQ0CS00 0.241697
, , Fc 1
la el DA0FS0 0.98926
cantidad cantidad NCFS000 1
de de SP 0.999961
$2 $2 Z 1
’ ’ Frc 1
553,400,000.00 553,400,000.00 Z 1
( ( Fpa 1
dos_mil_quinientos_cincuenta_y_tres_millones_cuatrocientos_mil_pesos $_CUP:2553400000 Zm 1
00/100 00/100 Z 1
M._N m._n NP00000 1
) ) Fpt 1
, , Fc 1
de_acuerdo_con de_acuerdo_con SP 1
el el DA0MS0 1
Presupuesto_de_Egresos_de_la_Federación presupuesto_de_egresos_de_la_federación NP00000 1
para para SP 0.999834
el el DA0MS0 1
ejercicio ejercicio NCMS000 1
fiscal fiscal AQ0CS00 0.438525
2016 2016 Z 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
fue ser VSIS3S0 0.980739
aprobado aprobar VMP00SM 0.958015
por por SP 1
la el DA0FS0 0.98926
H._Cámara_de_Diputados h._cámara_de_diputados NP00000 1
el el DA0MS0 1
12_de_noviembre [??:12/11/??:??.??:??] W 1
y y CC 0.999989
publicado publicar VMP00SM 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
27_de_noviembre_de_2015 [??:27/11/2015:??.??:??] W 1
. . Fp 1

A a SP 1
el el DA0MS0 1
respecto respecto NCMS000 0.989726
, , Fc 1
es ser VSIP3S0 1
importante importante AQ0CS00 1
destacar destacar VMN0000 1
que que CS 0.449861
es ser VSIP3S0 1
atribución atribución NCFS000 1
de de SP 1
el el DA0MS0 1
H._Consejo_Universitario_de_la_Universidad_ACh h._consejo_universitario_de_la_universidad_ach NP00000 1
, , Fc 1
conforme conforme CS 0.0981559
lo lo PP3MSA0 0.334764
establece establecer VMIP3S0 0.992424
el el DA0MS0 1
artículo artículo NCMS000 1
38 38 Z 1
, , Fc 1
fracción fracción NCFS000 1
III iii NP00000 1
, , Fc 1
de de SP 0.999961
su su DP3CSN 1
Ley_Orgánica ley_orgánica NP00000 1
aprobar aprobar VMN0000 1
el el DA0MS0 1
presupuesto presupuesto NCMS000 0.988439
anual anual AQ0CS00 1
de de SP 0.999961
ingresos ingreso NCMP000 1
y y CC 0.999989
egresos egreso NCMP000 1
, , Fc 1
así_como así_como CC 1
decidir decidir VMN0000 1
la el DA0FS0 0.98926
distribución distribución NCFS000 1
de de SP 1
el el DA0MS0 1
presupuesto presupuesto NCMS000 0.988439
recibido recibir VMP00SM 1
entre entre SP 0.980341
las el DA0FP0 0.988184
Unidades_Regionales unidades_regionales NP00000 1
de_acuerdo_con de_acuerdo_con SP 1
su su DP3CSN 1
normatividad normatividad NCFS000 1
. . Fp 1

A a SP 1
el el DA0MS0 1
efecto efecto NCMS000 1
exhibe exhibir VMIP3S0 0.989241
el el DA0MS0 1
oficio oficio NCMS000 0.986111
DG-030/16 DG-030/16 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
10_de_febrero_de_2016 [??:10/2/2016:??.??:??] W 1
, , Fc 1
por por SP 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
la el DA0FS0 0.98926
Dirección_General_de_Difusión_Cultura dirección_general_de_difusión_cultura NP00000 1
y y CC 0.999989
Servicio_de_la_Universidad_ACh servicio_de_la_universidad_ach NP00000 1
, , Fc 1
informa informar VMIP3S0 0.840909
a a SP 0.998775
la el DA0FS0 0.98926
Jefa_de_Departamento_de_Radio_Chapingo jefa_de_departamento_de_radio_chapingo NP00000 1
, , Fc 1
que que PR0CN00 0.550139
derivado derivado NCMS000 0.376253
de de SP 1
